From	To
Q3IW88	UniRef50_Q28UI8
P0DG55	UniRef50_Q99XY4
B1YAJ8	UniRef50_A1RRJ5
C0Q1X2	UniRef50_P06968
Q05983	UniRef50_Q05983
Q17XD4	UniRef50_P56419
Q96YR7	UniRef50_Q97WG8
Q2JT50	UniRef50_P77962
Q1QME2	UniRef50_Q89L00
Q9CBZ8	UniRef50_Q9RDK7
Q9PC79	UniRef50_Q1QCY5
Q823W2	UniRef50_Q9Z6J1
A0RPI2	UniRef50_Q9PHZ9
P63703	UniRef50_P63703
Q8U4K7	UniRef50_Q8U4K7
A0KRK1	UniRef50_P43911
P55299	UniRef50_P55299
Q876N3	UniRef50_P11484
B5FJD7	UniRef50_Q8FH00
B7L7A1	UniRef50_Q8ZRA1
Q8IRR5	UniRef50_Q8IRR5
C3KWG8	UniRef50_Q8KAK6
O46680	UniRef50_P36897-3
Q2YTF6	UniRef50_Q83WS0
Q48LP5	UniRef50_Q9HYT6
Q31YK5	UniRef50_Q83QU0
Q8SQU8	UniRef50_Q8SQU8
A9RY03	UniRef50_A9RY03
Q2A5Z4	UniRef50_P44814
Q1GAT6	UniRef50_Q1GAT6
Q155Z9	UniRef50_Q155Z9
Q2KZT7	UniRef50_Q8E9D9
Q9ZKX9	UniRef50_Q9Z6C1
Q81CE5	UniRef50_P37487
Q6BMW3	UniRef50_O13794
Q0W1M3	UniRef50_Q8PUG2
O49354	UniRef50_O49354
Q68VR3	UniRef50_Q9PPK3
B3CUJ5	UniRef50_A5CFP2
Q8ZYV1	UniRef50_Q8ZYV1
Q72L64	UniRef50_Q72L64
B3H0P8	UniRef50_Q5WH08
Q8DEH6	UniRef50_P44419
B5XI49	UniRef50_O07874
Q04596	UniRef50_Q6D9I5
B1JR44	UniRef50_Q6D1V5
Q2SZN5	UniRef50_Q142H3
C5CSF9	UniRef50_C5CSF9
P65273	UniRef50_P37949
Q6UDG6	UniRef50_Q6UDG6
B1KQY3	UniRef50_Q8XE74
A1K9C8	UniRef50_Q1LS73
B5E3A4	UniRef50_O34981
P12617	UniRef50_O95822
A6QL88	UniRef50_Q9NTJ5
Q3MFR5	UniRef50_P80244
A4WG77	UniRef50_P50921
Q9S7D8	UniRef50_Q9LIK9
O30408	UniRef50_O30408
Q02G12	UniRef50_A6VC58
A3PK23	UniRef50_Q89GV3
Q12SC1	UniRef50_Q6LMG1
P59114	UniRef50_Q9H4Z3
A6LJT9	UniRef50_A7HNL5
B7L5N2	UniRef50_Q7UAH4
B5ZWJ4	UniRef50_Q8UDM8
B8GL29	UniRef50_Q8EEU3
P57014	UniRef50_P55044
C0Q2F1	UniRef50_B8CNX9
B3QUZ7	UniRef50_O31618
B4S584	UniRef50_Q8KAY6
Q92245	UniRef50_G4NA54
Q92QA0	UniRef50_Q89KU5
A8GFI8	UniRef50_Q4K7D8
A0Q1T4	UniRef50_B9E021
Q28R88	UniRef50_Q168P4
Q57NL6	UniRef50_Q8XDH7
O78518	UniRef50_Q1XDF6
Q03440	UniRef50_Q03440
C9XTA5	UniRef50_P27859
O54067	UniRef50_O54067
Q088K8	UniRef50_Q8E9H5
Q39746	UniRef50_A0A0S4IJL0
Q8FAV1	UniRef50_P16677
B7KJY0	UniRef50_Q31RS8
Q9RTK1	UniRef50_Q9RTK1
Q9CNY2	UniRef50_P44689
A0PXW7	UniRef50_A3DJJ3
Q4WB37	UniRef50_Q875I9
Q92NT6	UniRef50_Q8UDU5
Q87LR6	UniRef50_Q9KUH2
A9M352	UniRef50_Q9K0B7
B9K795	UniRef50_Q9WXP6
Q1HR20	UniRef50_P34852
Q83C89	UniRef50_B6IZN9
Q8X4S5	UniRef50_Q8ZMJ9
Q79EM8	UniRef50_Q79EM8
Q5HPY1	UniRef50_O34328
Q6ZT98	UniRef50_Q6ZT98
Q6LXF3	UniRef50_Q6LXF3
Q2FI05	UniRef50_B5YLE5
Q1DN93	UniRef50_I1RNG8
Q8H0W2	UniRef50_Q8H0W2
B5XNR9	UniRef50_A4WCV2
Q1BD77	UniRef50_Q73S85
E4UW91	UniRef50_C0NAB3
A0L8G8	UniRef50_A0L8G8
B8I005	UniRef50_Q897E6
B0BPJ8	UniRef50_Q7MLR5
B0RB78	UniRef50_A8M4B8
B8DB34	UniRef50_P66700
Q7V4Y9	UniRef50_Q3AMV2
C0Q3L3	UniRef50_Q8X899
B1IWE3	UniRef50_B7UGW4
B8DPG1	UniRef50_B8DPG1
A1U1A6	UniRef50_Q9I4W3
A5U6Z5	UniRef50_P65769
C7YVN8	UniRef50_C1H9Q9
B5XZ52	UniRef50_Q8FBE0
A0A4P8WAD3	UniRef50_A0A4P8WAD3
Q2YLN5	UniRef50_Q8UA66
P70711	UniRef50_Q6ZWY6
P57897	UniRef50_P57897
O76240	UniRef50_P50244
Q58897	UniRef50_Q58897
Q9SUL7	UniRef50_Q9SUL7
Q7WQL8	UniRef50_A1W4B0
Q0BM96	UniRef50_Q3IK75
B0XM94	UniRef50_Q5BB53
Q736T1	UniRef50_P80244
Q71MY6	UniRef50_P03891
Q5BKW9	UniRef50_Q5BKW9
B7UKI3	UniRef50_P63486
B4JWL5	UniRef50_Q9W1V1
Q9P8G3	UniRef50_Q9HF04
A0QJB7	UniRef50_P80858
O25488	UniRef50_O25488
Q8DCG1	UniRef50_Q8ZRV8
O03066	UniRef50_Q8DLG8
Q874X5	UniRef50_Q7S4V5
Q0IIF0	UniRef50_Q9H0C8
A0A0B4FAW4	UniRef50_E9ET41
B8ZM41	UniRef50_Q88D02
Q9I0A4	UniRef50_Q9I0A4
Q33619	UniRef50_O03042
Q9ZZZ1	UniRef50_P03887
Q1H3S3	UniRef50_Q1IYG7
P59385	UniRef50_P19922
Q9JV25	UniRef50_Q9K012
Q8A9C1	UniRef50_Q8A9C1
Q04L76	UniRef50_O34925
Q6GEV1	UniRef50_P19670
Q634N8	UniRef50_P46347
Q7MAG3	UniRef50_O25360
B2FLM6	UniRef50_Q9PDM3
Q3Z2T6	UniRef50_P0ABG0
Q667Y8	UniRef50_Q9KTX5
Q6M0H5	UniRef50_Q6M0H5
A8H5G3	UniRef50_P21170
Q147F9	UniRef50_Q147F9
O31504	UniRef50_O31504
P69800	UniRef50_P69799
P04008	UniRef50_A5HBG1
B2STK3	UniRef50_B2STK3
C1CNP4	UniRef50_A3CJX7
Q831U2	UniRef50_Q831U2
Q9T009	UniRef50_Q9XIA9
B2IQ29	UniRef50_B1HVB2
Q2NES7	UniRef50_Q59007
Q72J72	UniRef50_Q60186
D0L1T6	UniRef50_Q6FEQ3
P34193	UniRef50_P23633
P18547	UniRef50_P03134
B9K767	UniRef50_Q9WXS4
Q8DQ18	UniRef50_Q97R46
P00783	UniRef50_P00782
Q661B6	UniRef50_Q0SN03
Q58346	UniRef50_Q58346
P09216	UniRef50_P16054
A8W3B4	UniRef50_Q6L3A5
P22699	UniRef50_P22699
P76341	UniRef50_P76341
Q64434	UniRef50_Q64434
A2BQY7	UniRef50_Q7V1D0
Q3A9N3	UniRef50_P37573
P39848	UniRef50_P39848
C1CEN2	UniRef50_Q9A0D0
Q3JCS0	UniRef50_Q820Q4
Q899N7	UniRef50_Q899N7
Q67MD4	UniRef50_Q67MD4
B9DVD9	UniRef50_B9DVD9
A1JHX0	UniRef50_Q8E9M0
C6DBH3	UniRef50_Q6D277
Q7V677	UniRef50_A2BVE5
Q4FQX9	UniRef50_Q4FQX9
B0KM36	UniRef50_Q8P558
B1XD52	UniRef50_A0KHH7
A5GNA0	UniRef50_Q7VA81
Q2SWF4	UniRef50_A3MK86
Q8XVU6	UniRef50_B2UC88
Q06549	UniRef50_Q06549
Q0TR21	UniRef50_Q8XKX4
Q6GJL2	UniRef50_Q5HRU5
Q1MRQ2	UniRef50_Q1MRQ2
Q7A713	UniRef50_Q49VI3
D1A8M1	UniRef50_Q2J7C9
Q03W69	UniRef50_A4ITU9
Q6EWH2	UniRef50_P06241
Q5WSS7	UniRef50_Q5ZRJ5
C6E2U6	UniRef50_B9M0X4
Q3KH22	UniRef50_Q9I541
Q9DF66	UniRef50_Q9PTU8
Q9Y577	UniRef50_Q9Y577
P68564	UniRef50_O57203
Q92CE4	UniRef50_Q8XHA6
Q6GQ23	UniRef50_Q5NDL3
Q03142	UniRef50_P22455-2
P03432	UniRef50_P03431
P69239	UniRef50_P69238
B2GEJ1	UniRef50_Q03Q56
A7I9D1	UniRef50_O59475
P35137	UniRef50_P35137
B7N8X6	UniRef50_Q8XE74
B2IE44	UniRef50_Q2G983
P00956	UniRef50_P18330
P74258	UniRef50_P74258
P9WFS8	UniRef50_Q8NN37
Q81Z96	UniRef50_P39593
Q6N5R2	UniRef50_Q6N5R2
A6UPT0	UniRef50_Q6LXR3
B2FLM4	UniRef50_A7HP26
Q3S2U2	UniRef50_Q9Y7D1
B4TNK3	UniRef50_A9MKV9
Q12UB0	UniRef50_Q12UB0
A1E9X9	UniRef50_Q37165
A1DJ47	UniRef50_Q4WG16
A6TZ43	UniRef50_Q8CTR6
A6UTV9	UniRef50_Q57741
C4ZZY2	UniRef50_C3K3R3
B4TWH8	UniRef50_Q48465
O54888	UniRef50_Q9H9Y6
P53541	UniRef50_P53541
A6Q5J0	UniRef50_Q30RL0
P23974	UniRef50_P23974
A9HYV0	UniRef50_Q7VZ56
Q28I33	UniRef50_Q6AYF6
A5E8K1	UniRef50_Q8L1Z7
Q9KS33	UniRef50_Q9KS33
O27720	UniRef50_O27720
A4Y6M4	UniRef50_Q8EEN9
B9E5U7	UniRef50_Q891U1
P26931	UniRef50_P18316
Q044D8	UniRef50_P31080
A4Y7H2	UniRef50_Q9PM72
A2SKB1	UniRef50_A2SKB1
A7HH64	UniRef50_Q748D3
A6UX80	UniRef50_O85732
Q4K4T2	UniRef50_Q88A98
Q5H4C6	UniRef50_B2FT78
A7IMA0	UniRef50_Q163C5
O26369	UniRef50_Q58201
Q04NC3	UniRef50_Q8EXC1
B4TWV8	UniRef50_P04787
C3LJZ1	UniRef50_Q97LS0
Q92Q51	UniRef50_Q89KP7
P24473	UniRef50_P24473
B8GAC1	UniRef50_A9WCA1
B8ZQ64	UniRef50_Q833W9
Q6AL81	UniRef50_O26158
Q93JQ8	UniRef50_Q93JQ8
B8IN20	UniRef50_Q6F8G5
Q8FXZ7	UniRef50_Q7V9P3
O85347	UniRef50_Q8EBQ9
Q8A8H2	UniRef50_Q8A8H2
A7ZTV7	UniRef50_Q8XAX4
Q2UH11	UniRef50_Q9UV64
B7UGB2	UniRef50_Q1BHI7
Q04033	UniRef50_Q04033
A8A9Z2	UniRef50_A8A9Z2
P47384	UniRef50_P75498
A2RCY1	UniRef50_Q8DSB7
Q42601	UniRef50_Q42601
C0MGV8	UniRef50_Q07876
O69538	UniRef50_O69538
Q7VRB5	UniRef50_Q7VRB5
Q64PM9	UniRef50_Q8A5W4
B0K363	UniRef50_B0KC92
Q1CA99	UniRef50_P75831
P30297	UniRef50_Q7M523
A7GTK8	UniRef50_P58694
Q1LZE6	UniRef50_Q8C025
Q65FN2	UniRef50_P40746
B7N6D8	UniRef50_Q8EBN8
Q32BF4	UniRef50_Q9CNJ3
Q0BGD7	UniRef50_Q8UBN2
A1VZH1	UniRef50_Q9PP96
B1IU35	UniRef50_Q87RT2
Q2GG34	UniRef50_Q5HBN3
B3QMN0	UniRef50_Q8KCL7
A1SRE0	UniRef50_Q8EAY1
B4SH35	UniRef50_A4SGY4
A8GRB9	UniRef50_A5CD22
Q57TF5	UniRef50_Q8ZRV2
Q07H98	UniRef50_Q07H98
A8ERP6	UniRef50_Q9PIB3
A0KQG0	UniRef50_Q9KP66
B2ILV2	UniRef50_Q8DSD1
Q8BQJ6	UniRef50_Q96GJ1
Q97WF1	UniRef50_Q97WF1
Q2K9S5	UniRef50_Q8YGK7
Q28NK0	UniRef50_O66567
Q72YG8	UniRef50_Q81XT3
B4TI56	UniRef50_Q57JQ4
Q31U72	UniRef50_Q9Z6C1
Q7W089	UniRef50_Q8Y2B9
A0KR49	UniRef50_P21151
B0KCJ3	UniRef50_B0K5G9
Q87MA8	UniRef50_Q56582
Q21LR0	UniRef50_Q5P2J0
Q04NG3	UniRef50_Q89SB5
A9BDC5	UniRef50_Q46IA9
Q4IJM4	UniRef50_Q9FVU9
B5FBZ5	UniRef50_Q5E6Q8
Q4JA70	UniRef50_Q5JCY6
B2S1P1	UniRef50_B8E2D3
Q88U40	UniRef50_Q88U40
A8EZ06	UniRef50_Q4ULS5
P06700	UniRef50_P06700
Q6D0F3	UniRef50_Q8ZRV2
Q09275	UniRef50_Q09275
A7I2V7	UniRef50_O25121
B9MCH5	UniRef50_Q9K1A2
Q82JK9	UniRef50_A1R4R0
P0DOM2	UniRef50_P23371
Q57B86	UniRef50_Q6C326
Q310Z1	UniRef50_Q310Z1
Q04ML5	UniRef50_Q5XEB4
B5RFJ0	UniRef50_Q8FB77
B8D7U7	UniRef50_Q7VQH3
Q30Q40	UniRef50_P56196
P63085	UniRef50_P63085
P20083	UniRef50_P20083
P39002	UniRef50_P30624
A8GDR8	UniRef50_Q4KC81
D7PHZ8	UniRef50_Q5B0C9
P17060	UniRef50_P54976
Q4FMN4	UniRef50_Q4FMN4
O64639	UniRef50_O64639
P0CM59	UniRef50_P0CM59
Q8ZGW4	UniRef50_Q749N8
Q8K387	UniRef50_Q70EL2
A6UDM7	UniRef50_Q5LNS5
A8IXB8	UniRef50_A8IXB8
A3Q9C4	UniRef50_Q8EK30
Q55320	UniRef50_Q55320
A9A9J5	UniRef50_Q58431
A6UVG7	UniRef50_Q2LTA1
Q3B2U2	UniRef50_Q8KCE8
Q46IK0	UniRef50_Q2GKB1
Q9JTN2	UniRef50_Q6FFX5
P22602	UniRef50_P0CJ93
A1JMX8	UniRef50_A1JMX8
C0Q060	UniRef50_Q8ZNE9
Q88FH2	UniRef50_Q9KGW3
Q33C30	UniRef50_P26304
Q6D0C3	UniRef50_P18330
Q8ZBZ1	UniRef50_Q56587
Q12099	UniRef50_Q755W0
B2GA02	UniRef50_P54262
P26600	UniRef50_P24481
Q83HR7	UniRef50_Q83GG2
Q1QD25	UniRef50_P45283
A1JPN5	UniRef50_Q83QT8
Q3YV19	UniRef50_Q8ZKL9
Q11Z53	UniRef50_Q8A245
B1XWC5	UniRef50_Q5E3U6
P0C0N1	UniRef50_Q01324
Q8NU97	UniRef50_Q8NU97
A0K4T1	UniRef50_A1JJN8
Q06FX6	UniRef50_P56757
A3MRJ1	UniRef50_B2JIM3
B5XZ79	UniRef50_P21310
Q9I3D2	UniRef50_P20708
Q9X6N4	UniRef50_Q9X6N4
Q0BE03	UniRef50_P44514
A4VG93	UniRef50_B5F0Z4
P30581	UniRef50_P30581
B5EBP9	UniRef50_Q748D4
Q97KE5	UniRef50_Q97KE5
P36175	UniRef50_P36175
P40830	UniRef50_P40830
Q31WX8	UniRef50_Q57JQ4
A5DNW6	UniRef50_A5DNW6
A6L330	UniRef50_P0A6C1
Q7MID0	UniRef50_Q57095
A1RDX6	UniRef50_Q8EKQ9
Q2G8D6	UniRef50_Q9RH76
B6JM81	UniRef50_Q9PNE6
Q87ME8	UniRef50_A7MY04
Q04770	UniRef50_Q04770
Q9SQI3	UniRef50_Q9SJE2
A4WHB8	UniRef50_Q8ZY15
D1A2S9	UniRef50_C9Z4D0
Q5SBP5	UniRef50_Q49SP7
A1WL89	UniRef50_B1Y4K6
A7ZW22	UniRef50_P04787
B3QB72	UniRef50_Q8GKS1
Q07VU4	UniRef50_P72247
A5F5Y8	UniRef50_Q87RV3
Q8HVP6	UniRef50_Q2MI46
Q3ABT4	UniRef50_Q2RHN7
Q63VN3	UniRef50_Q142H3
K7VCB9	UniRef50_Q9LIQ4
Q8U192	UniRef50_Q8U192
O67522	UniRef50_O67522
A8F397	UniRef50_Q9X0I6
O26710	UniRef50_O26710
Q5HEY9	UniRef50_P56878
Q63X50	UniRef50_A9KQC2
P9WJJ3	UniRef50_P0A5L7
Q87KX0	UniRef50_O34529
B5BIX4	UniRef50_Q8X8L5
C5CCD4	UniRef50_Q2JDK2
Q49113	UniRef50_Q49113
O32617	UniRef50_P71408
B1LIN5	UniRef50_P77608
A0KJS0	UniRef50_Q8EC52
A9VY77	UniRef50_B1ZJW1
Q03522	UniRef50_Q03522
B7GY31	UniRef50_Q9AGJ6
Q69BJ7	UniRef50_P47985
A5DK47	UniRef50_A5DK47
Q634M9	UniRef50_P54460
B1X4D6	UniRef50_B1X4D6
P25784	UniRef50_P25784
Q3J460	UniRef50_Q89K28
P36620	UniRef50_P36620
A5EK16	UniRef50_Q9PIB8
P69819	UniRef50_P69818
A4TKN7	UniRef50_A6TBN1
A3PBX1	UniRef50_Q83C10
Q8CRT9	UniRef50_P56255
B9KGU3	UniRef50_B9KGU3
Q4L874	UniRef50_Q99YH1
B6JPC9	UniRef50_P56065
Q1J6V6	UniRef50_P37949
Q2H0X9	UniRef50_Q4ILH3
D4D616	UniRef50_C0IPP1
Q2FDE7	UniRef50_Q4L2Z1
B5ZNB1	UniRef50_Q4UK97
P16067	UniRef50_P20594
A0A0H2WWV6	UniRef50_A0A0H2WWV6
Q9JII1	UniRef50_Q9NRR6
Q17QQ2	UniRef50_Q9Z0T0
Q8XDI4	UniRef50_P75289
B0VLB6	UniRef50_C3K3R3
B8EAU7	UniRef50_Q8EGR9
Q8DQ33	UniRef50_Q8DQ33
P45369	UniRef50_P45369
O89085	UniRef50_O89085
A0PSY6	UniRef50_Q73WF2
Q5CC92	UniRef50_Q5CC93
P47016	UniRef50_P47016
B1IRC5	UniRef50_A5F8N2
A4VWC6	UniRef50_Q8DTT9
B4LZW7	UniRef50_Q9VI55
A4QL04	UniRef50_P56757
Q1QAG2	UniRef50_Q9JXW4
Q63GI2	UniRef50_Q63GI2
Q9PUH9	UniRef50_P00598
Q72SC3	UniRef50_Q8F3A1
Q8PLR7	UniRef50_Q6FAU4
O31826	UniRef50_O31826
P0A637	UniRef50_Q8NQX9
A0A1D6GDY8	UniRef50_A0A1D6LAB7
A7IA92	UniRef50_Q8THK3
A3N0G6	UniRef50_P43914
Q9V5E1	UniRef50_Q9V5E1
Q6P5Z2	UniRef50_Q6P5Z2
A7MQB3	UniRef50_Q8EJU7
Q7U3S6	UniRef50_Q7VEF9
Q5ZZN4	UniRef50_Q4A936
Q9D1C1	UniRef50_Q9VTY6
B7MAI5	UniRef50_A7ZHF3
C3LP93	UniRef50_Q5E8Y5
B4TMJ2	UniRef50_Q8ZR88
Q27YG9	UniRef50_Q27YG9
Q8HVN2	UniRef50_Q2MI46
A5FJR8	UniRef50_P57703
Q8PET9	UniRef50_Q8YCQ2
Q5E9T4	UniRef50_Q5E9T4
P00957	UniRef50_Q8ZBT8
Q124R0	UniRef50_Q0AA41
B8H8Y9	UniRef50_B8H8Y9
Q4P460	UniRef50_Q4P460
B7MTC3	UniRef50_A6THH4
B1XAZ8	UniRef50_Q9KTX5
Q6ML73	UniRef50_Q6ML73
Q96LD8	UniRef50_Q96LD8
C4KKE6	UniRef50_Q974U1
Q50KA9	UniRef50_P15531
A1VA10	UniRef50_A9KQC2
P67162	UniRef50_B4TVU1
Q5E2E8	UniRef50_Q5E2E8
Q0RLT7	UniRef50_Q2J9Q3
B5E7M2	UniRef50_Q8Y6Q7
A4W8T4	UniRef50_Q65U20
Q8PI87	UniRef50_Q4UX86
A1JSN4	UniRef50_Q8XBC7
A5HYC0	UniRef50_A9NHH8
C0Z7P4	UniRef50_C0Z7P4
Q4WLV6	UniRef50_P20081
Q75DY2	UniRef50_Q6FM49
P57211	UniRef50_P57211
Q8KTQ9	UniRef50_Q8KTQ9
Q5NHZ4	UniRef50_Q5NHZ4
Q7NQB0	UniRef50_Q7NQB0
Q7WF21	UniRef50_Q7WF21
A8G6E7	UniRef50_P73848
O14027	UniRef50_P37527
Q48FC1	UniRef50_Q5NIQ4
B2U7N4	UniRef50_Q2YPD7
Q0T828	UniRef50_Q8X8X8
P31992	UniRef50_C4ZWN2
B8GVY5	UniRef50_A1UUE1
B2GUX4	UniRef50_Q9UK80-2
Q9G6J1	UniRef50_P00395
A7NC90	UniRef50_A0Q6D2
Q9F8Q3	UniRef50_A6LPJ5
P05505	UniRef50_P00415
Q8K936	UniRef50_Q8UJ04
Q0B9R9	UniRef50_Q4KGU2
B0TQX3	UniRef50_P21170
A7GJV7	UniRef50_P37550
D4APE3	UniRef50_E4V5C5
C1B4K2	UniRef50_C1B4K2
Q89AK5	UniRef50_Q89AK5
A5GLJ3	UniRef50_P39815
A0L6F1	UniRef50_A0L6F1
Q8Y6R2	UniRef50_Q8Y6R2
Q5ZXH8	UniRef50_Q5ZXH8
A1WVM9	UniRef50_Q12S01
Q58695	UniRef50_Q58695
Q47AF2	UniRef50_P58642
C3M9D7	UniRef50_Q8EEU0
A9BP19	UniRef50_Q21XW1
A2S516	UniRef50_P0A0U7
B7M1E5	UniRef50_Q8ZPU1
Q5I0A0	UniRef50_Q7ZWV9
B5ZBV6	UniRef50_B5ZBV6
B1IRB6	UniRef50_A7ZHF3
Q254P2	UniRef50_Q9Z8U0
Q0TFG4	UniRef50_A4XV08
Q84C00	UniRef50_A3DBX3
P67573	UniRef50_P54262
Q54RK5	UniRef50_P13929-2
Q5F742	UniRef50_Q9JY86
P51583	UniRef50_P22234
B0V710	UniRef50_Q9PB95
B0K3H3	UniRef50_B1I4C7
B8D2I3	UniRef50_Q74FC3
A6WNQ4	UniRef50_A6VQA5
A7X2A2	UniRef50_Q49XM9
Q1JKC8	UniRef50_Q97SE7
B0SYY1	UniRef50_Q9A7K3
Q603L5	UniRef50_A1JRM4
Q6N6D6	UniRef50_Q89LH6
A8GTS8	UniRef50_Q6C326
Q7WEN2	UniRef50_Q5ZTY0
C0MG10	UniRef50_Q04M23
A1DPG0	UniRef50_Q5BB53
Q6D1B5	UniRef50_P44039
Q07Z07	UniRef50_Q7MBD6
B7JYJ3	UniRef50_B0JY52
A1AVM5	UniRef50_Q9S0Q8
C3PGS1	UniRef50_Q8NPZ0
P52826	UniRef50_P52826
Q604D9	UniRef50_Q604D9
O95427	UniRef50_O95427
Q04K52	UniRef50_Q04K52
B1K0Y2	UniRef50_Q8Y3H5
Q0A6U0	UniRef50_P57703
P58221	UniRef50_P32173
P30950	UniRef50_P30950
B2I9F9	UniRef50_Q6LLW6
C1F8I0	UniRef50_C1F8I0
A6QEI0	UniRef50_P22250
Q91UL0	UniRef50_Q91UL0
B5Z8S2	UniRef50_P56141
B1YGB0	UniRef50_Q5WAG0
A8A533	UniRef50_Q8ZLQ7
B8AZ14	UniRef50_Q9SF37
P9WN00	UniRef50_A0R2K8
B9DY74	UniRef50_Q81XT3
P36721	UniRef50_O40619
Q5ZWR3	UniRef50_A5IFN1
A6QD40	UniRef50_Q9PLU8
A7ZIF6	UniRef50_Q8FKC6
A5GTT4	UniRef50_Q7NP63
P65790	UniRef50_Q1MA75
B7MNR9	UniRef50_A7ZHF3
Q7UHU7	UniRef50_Q7UHU7
Q0CZX6	UniRef50_A1CHT0
Q9KDV3	UniRef50_P21977
A5G903	UniRef50_Q747Q7
P71241	UniRef50_P71241
Q5PI55	UniRef50_Q8ZKZ9
P75388	UniRef50_P47518
O51253	UniRef50_O51253
Q82AM7	UniRef50_Q82AM7
A9MBN7	UniRef50_A6X566
P9WFY6	UniRef50_O33017
Q7V1X3	UniRef50_Q7VCZ3
P08326	UniRef50_Q07599
Q5WB47	UniRef50_Q5LNS5
O29329	UniRef50_Q58414
A8AQI1	UniRef50_P44786
P63578	UniRef50_P9WPZ0
Q1CI19	UniRef50_O85139
Q99Y66	UniRef50_Q99Y66
Q9K6C1	UniRef50_Q5WB34
B1L1Z3	UniRef50_Q8RC98
Q31G67	UniRef50_B4EDA2
Q5M5S1	UniRef50_Q820T1
B5Z9V7	UniRef50_P56089
B0Z4W6	UniRef50_P56757
P49469	UniRef50_P56304
A7Z0F1	UniRef50_Q5WLY2
Q5P2L1	UniRef50_Q5P2L1
C3PDF7	UniRef50_O32106
P10797	UniRef50_P10795
B1L5K9	UniRef50_B1L5K9
P37527	UniRef50_P37527
B1L9S2	UniRef50_Q9WY73
Q99TF5	UniRef50_Q7A552
B1NKT7	UniRef50_O37061
Q979L9	UniRef50_Q9HJJ6
Q3ALR7	UniRef50_P73290
Q5BGG1	UniRef50_Q5BGG1
Q3K1W8	UniRef50_Q9CHU9
Q92QN2	UniRef50_Q6N5P6
P63737	UniRef50_P00968
