Entry,uniref50id,EC number,Taxonomic lineage (SUPERKINGDOM),EMBL_CDS_id
P22146,UniRef50_P22146,2.4.1.-,Eukaryota,DAA10208.1
O93927,UniRef50_O93927,2.4.1.34,Eukaryota,AAD11794.1
Q8ZYP2,UniRef50_Q8ZYP2,3.1.21.7,Archaea,AAL62951.1
Q9SVM4,UniRef50_Q9SVM4,2.1.2.1,Eukaryota,AEE83342.1
Q9V1N4,UniRef50_O59517,3.1.26.5,Archaea,CAB49315.1
Q3IZQ8,UniRef50_Q5LWB2,6.1.1.17,Bacteria,ABA79976.1
A3DJF7,UniRef50_A3P027,4.3.2.10,Bacteria,ABN54086.1
B1W4P7,UniRef50_P58741,3.6.1.27,Bacteria,BAG23064.1
P75388,UniRef50_P47518,2.4.2.7,Bacteria,AAG34752.1
Q3Z1X8,UniRef50_Q8E8D4,3.5.4.4,Bacteria,AAZ88234.1
Q88FH2,UniRef50_Q9KGW3,7.1.1.-,Bacteria,AAN69707.1
B5YCT4,UniRef50_Q9WXP6,3.5.4.16,Bacteria,ACI18288.1
Q5LV87,UniRef50_Q89WE4,4.2.1.20,Bacteria,AAV94120.1
P03923,UniRef50_P03923,7.1.1.2,Eukaryota,AAR95328.1
B0KMR5,UniRef50_O86062,3.6.1.22,Bacteria,ABY99519.1
P39250,UniRef50_P39250,3.1.21.9,Viruses,AHY83756.1
Q94CE3,UniRef50_Q94CE3,4.2.1.1,Eukaryota,AAM67519.1
P67490,UniRef50_O34634,3.1.-.-,Bacteria,BAB42708.1
P18079,UniRef50_P18079,2.3.1.37,Bacteria,ADE85192.1
P23469,UniRef50_P49446,3.1.3.48,Eukaryota,AAC50324.1
P61909,UniRef50_Q04QV4,3.6.1.23,Bacteria,AAS71124.1
B1LDY3,UniRef50_P59086,2.6.1.81,Bacteria,ACB15928.1
Q11186,UniRef50_Q11186,3.1.1.3,Eukaryota,CCD63196.1
Q17RS7,UniRef50_Q17RS7,3.1.-.-,Eukaryota,AAI17205.1
Q7U0A6,UniRef50_A0R2B1,2.2.1.5; 4.1.1.71; 1.2.4.2; 2.3.1.61,Bacteria,SIT99881.1
A1TQF0,UniRef50_A1W8H0,2.1.1.166,Bacteria,ABM33188.1
P03923,UniRef50_P03923,7.1.1.2,Eukaryota,AAR95120.1
B9KDM7,UniRef50_Q9PIH3,2.6.1.52,Bacteria,ACM64665.1
Q12884,UniRef50_Q12884,3.4.21.26; 3.4.14.5; 3.4.21.-; 3.4.14.5; 3.4.21.-; 3.4.21.26,Eukaryota,EAX11353.1
Q8TVJ1,UniRef50_Q8TVJ1,2.7.1.161,Archaea,AAM02611.1
Q0TQJ7,UniRef50_P77835,2.4.2.1,Bacteria,ABG84661.1
A7FFJ4,UniRef50_Q57T14,6.1.1.15,Bacteria,ABS46680.1
Q2IU23,UniRef50_O32483,4.1.1.31,Bacteria,ABD08287.1
Q9I0J5,UniRef50_A4XV08,7.1.1.-,Bacteria,AAG06031.1
A7KII6,UniRef50_Q8UW64,3.4.25.1,Eukaryota,ABQ59652.1
Q13VF8,UniRef50_Q8XDP0,3.1.-.-,Bacteria,ABE31931.1
A8A215,UniRef50_Q8X635,3.1.2.12,Bacteria,ABV06569.1
B8G5F1,UniRef50_A7NK07,2.8.1.13,Bacteria,ACL25657.1
Q8C2B3,UniRef50_Q8WUI4-8,3.5.1.98,Eukaryota,AAH57332.1
P24893,UniRef50_P24893,7.1.1.9,Eukaryota,CAA38159.1
Q3K1E6,UniRef50_P00512,2.7.1.11,Bacteria,ABA44705.1
Q8R2U4,UniRef50_Q9BV86,2.1.1.244,Eukaryota,EDL08490.1
Q7FGZ2,UniRef50_Q7FGZ2,3.6.4.13,Eukaryota,CAB78627.1
Q95YM9,UniRef50_Q4H3K6,2.7.10.1,Eukaryota,BAB59007.1
B7NT32,UniRef50_Q32G87,3.5.3.23,Bacteria,CAR17443.1
Q1J4Y7,UniRef50_O05518,2.3.1.234,Bacteria,ABF38599.1
Q03F65,UniRef50_O67081,6.1.1.14,Bacteria,ABJ68157.1
B0Y6E0,UniRef50_Q00177,3.2.1.8,Eukaryota,EDP50325.1
Q71YH8,UniRef50_Q8Y662,2.1.3.2,Bacteria,AAT04636.1
Q9PKU9,UniRef50_Q9Z8L2,2.4.1.25,Bacteria,AAF39223.1
B4TQK6,UniRef50_Q9L9I5,3.6.1.22,Bacteria,ACF89850.1
Q9BYT3,UniRef50_Q9BYT3,2.7.11.1,Eukaryota,CAH56302.1
A0A4Z3,UniRef50_A0A4Z3,2.4.1.87,Eukaryota,AAH61714.1
A6W5D5,UniRef50_Q7MZI3,3.5.2.9,Bacteria,ABS02024.1
Q2J735,UniRef50_A0QVQ5,2.7.7.8,Bacteria,ABD12907.1
Q8NNK5,UniRef50_Q8NNK5,7.1.1.8,Bacteria,BAB99584.1
Q89AT6,UniRef50_Q89AT6,7.1.1.-,Bacteria,AAO26887.1
Q0SQ34,UniRef50_Q0TMD6,2.1.1.182,Bacteria,ABG85765.1
Q9NUP7,UniRef50_Q9NUP7,2.1.1.225,Eukaryota,AAH75811.1
A3KFX0,UniRef50_Q9BXI3,3.1.3.5,Eukaryota,AAI47731.1
Q3YXV7,UniRef50_B7J5S6,5.3.1.6,Bacteria,AAZ89655.1
Q13X06,UniRef50_B4EDA2,2.5.1.55,Bacteria,ABE31383.1
Q8BRH4,UniRef50_Q8NEZ4,2.1.1.354,Eukaryota,AAN11291.1
Q7NZD5,UniRef50_A8LY09,4.2.1.10,Bacteria,AAQ58661.1
B8GYT1,UniRef50_Q9A5Z3,2.7.7.23; 2.3.1.157,Bacteria,ACL95854.1
Q12974,UniRef50_Q12974,3.1.3.48,Eukaryota,BAF85392.1
B3EP77,UniRef50_Q8KAE8,6.3.5.-,Bacteria,ACE05216.1
Q76EQ0,UniRef50_Q9QZX7,5.1.1.18; 4.3.1.18; 4.3.1.17,Eukaryota,AAH82014.1
O95477,UniRef50_O95477,7.6.2.1,Eukaryota,AAD49851.1
Q8X7A5,UniRef50_Q9Z6C1,3.6.1.26,Bacteria,AAG59111.1
B3R663,UniRef50_Q8XWQ8,3.4.11.1; 3.4.11.10,Bacteria,CAQ70397.1
B2I937,UniRef50_Q9PDT8,4.2.1.11,Bacteria,ACB92012.1
Q1LS40,UniRef50_Q8Y342,2.4.2.10,Bacteria,ABF07036.1
Q038Q9,UniRef50_Q88D02,3.1.1.96,Bacteria,ABJ70313.1
Q6B8R7,UniRef50_P51251,2.7.7.6,Eukaryota,AAT79718.1
P20448,UniRef50_P20448,3.6.4.13,Eukaryota,AAT93137.1
C3LFT4,UniRef50_Q72X44,2.3.1.31,Bacteria,ACP14734.1
Q8NBU5,UniRef50_Q8NBU5,3.6.1.3,Eukaryota,EAW50179.1
B2TW72,UniRef50_Q9KQM0,3.1.3.89,Bacteria,ACD09242.1
B5BJP4,UniRef50_Q89WM2,2.7.1.33,Bacteria,CAR61980.1
Q1QHE3,UniRef50_A8IQ73,2.1.1.192,Bacteria,ABE64354.1
C3LEN8,UniRef50_A8FI72,4.2.1.59,Bacteria,ACP14249.1
Q8N490,UniRef50_Q8N490,3.-.-.-,Eukaryota,AAL25716.1
P9WKC8,UniRef50_P9WKC9,2.3.1.20,Bacteria,AAK47554.1
Q8NQH4,UniRef50_Q9CIQ6,7.3.2.2,Bacteria,BAB98853.1
Q6BRU4,UniRef50_P46586,2.4.2.17,Eukaryota,CAG87244.1
Q9X6N4,UniRef50_Q9X6N4,6.3.2.13,Bacteria,AAF95549.1
P54378,UniRef50_P54378,2.1.2.10,Bacteria,CAB14388.2
P0CC78,UniRef50_P0CC32,7.1.1.-,Eukaryota,ABG74672.1
O02350,UniRef50_O02350,3.4.17.-,Eukaryota,AAB96576.1
Q72JN8,UniRef50_Q9ZHI0,6.5.1.2,Bacteria,AAS81080.1
O67779,UniRef50_O67779,2.7.7.7,Bacteria,AAC07735.1
Q86X55,UniRef50_Q9WVG6,2.1.1.319,Eukaryota,EAW84156.1
Q65IW0,UniRef50_Q65IW0,4.2.1.8,Bacteria,AAU41004.1
P13134,UniRef50_P13134,3.4.21.61,Eukaryota,CAA93360.1
Q58CX6,UniRef50_Q58CX6,2.3.1.108,Eukaryota,AAI42376.1
P22134,UniRef50_P22134,3.2.2.21,Eukaryota,CAA39989.1
P47277,UniRef50_P75080,2.7.7.7,Bacteria,AAD12336.1
A2SR93,UniRef50_A2SR93,2.1.1.177,Archaea,ABN06849.1
Q7XTC7,UniRef50_Q7XTC7,3.1.3.16,Eukaryota,BAF14845.2
Q47690,UniRef50_Q47690,2.1.1.10,Bacteria,AAC73364.1
O29836,UniRef50_O29836,6.1.1.16,Archaea,AAB90823.1
A1RUC0,UniRef50_B1YBH2,3.6.1.-,Archaea,ABL88552.1
Q1H152,UniRef50_Q1H152,2.4.1.182,Bacteria,ABE49785.1
Q3IX40,UniRef50_Q3IX40,7.6.2.10,Bacteria,ABA80894.1
C4ZD30,UniRef50_Q8GE08,2.1.1.199,Bacteria,ACR75993.1
B7I973,UniRef50_Q9JXW4,2.4.99.17,Bacteria,ACJ41982.1
A7I472,UniRef50_A3CRE5,4.3.3.6; 3.5.1.2,Archaea,ABS54533.1
B2U566,UniRef50_Q8Z2B3,6.1.1.14,Bacteria,ACD08243.1
P35788,UniRef50_Q7RVF7,2.4.2.10,Eukaryota,AAB24061.1
B4TWF9,UniRef50_P33038,2.5.1.7,Bacteria,ACF91522.1
Q5E0T4,UniRef50_Q7ME63,7.3.2.5,Bacteria,AAW87362.1
Q4L882,UniRef50_Q8CML6,5.4.99.12,Bacteria,BAE04143.1
Q7VZ72,UniRef50_Q9JY86,4.1.1.98,Bacteria,CAE41359.1
A8H9P4,UniRef50_A8H9P4,2.2.1.9,Bacteria,ABV89281.1
Q81ZX2,UniRef50_Q81ZX2,2.1.1.163,Bacteria,BAC72543.1
C6DZK7,UniRef50_B5EBQ2,6.3.2.8,Bacteria,ACT16589.1
O60177,UniRef50_O60177,3.6.4.-,Eukaryota,CAA18870.1
C4LJL4,UniRef50_A0R200,7.1.2.2,Bacteria,ACR18019.1
A9IKX8,UniRef50_Q6G5B1,2.7.11.32; 2.7.4.27,Bacteria,CAK00506.1
A1W0I1,UniRef50_O25372,6.3.5.-,Bacteria,EAQ72157.1
P51829,UniRef50_P51828,4.6.1.1,Eukaryota,BAE32743.1
B2V4I1,UniRef50_A6LSR6,2.8.4.4,Bacteria,ACD53057.1
A1V2L9,UniRef50_Q5ZRU1,7.1.1.-,Bacteria,ABM50672.1
Q9I4X1,UniRef50_Q9I4X1,2.3.1.230,Bacteria,AAG04387.1
Q8H183,UniRef50_Q9UBR1,3.5.1.6,Eukaryota,AAO33358.1
P29677,UniRef50_O04308,7.1.1.8,Eukaryota,CAA46990.1
D7GXG1,UniRef50_D7GXG1,3.2.1.178,Bacteria,CBM41183.1
P29030,UniRef50_P29030,3.2.1.14,Eukaryota,AAA27854.1
P30181,UniRef50_P30181,5.6.2.1,Eukaryota,AAM14018.1
A4FMT5,UniRef50_Q820Y1,2.8.1.13,Bacteria,CAM05360.1
Q2KY19,UniRef50_Q9AP33,4.2.1.108,Bacteria,CAJ49982.1
Q81Z96,UniRef50_P39593,2.7.1.50,Bacteria,AAT52693.1
O81148,UniRef50_O81148,3.4.25.1,Eukaryota,CAA73624.1
A0A325,UniRef50_P56764,2.7.7.6,Eukaryota,ABJ89669.1
O04931,UniRef50_O04931,3.2.1.20,Eukaryota,BAA20343.1
Q9VUY9,UniRef50_Q9VUY9,5.4.2.2,Eukaryota,AAQ22512.1
Q8NN57,UniRef50_Q9RDK7,2.7.7.18,Bacteria,CAF21017.1
Q65RZ4,UniRef50_Q8PPA3,3.5.1.108,Bacteria,AAU38266.1
Q9Y5Z6,UniRef50_Q9Y5Z6,2.4.1.86,Eukaryota,AAI01546.1
Q92993,UniRef50_Q92993,2.3.1.48,Eukaryota,AAB18236.1
Q2JB14,UniRef50_Q2JB14,7.3.2.2,Bacteria,ABD11528.1
Q61881,UniRef50_P33993,3.6.4.12,Eukaryota,AAH66024.1
Q0E0P0,UniRef50_Q0E0P0,3.2.1.26,Eukaryota,BAB90855.1
A0A2Z5CVA1,UniRef50_A0A2Z5CVA1,2.4.1.-,Eukaryota,AXB26715.1
O34246,UniRef50_Q1IYG7,4.1.1.11,Bacteria,CAE10709.1
Q2W3I5,UniRef50_A1B497,7.1.1.-,Bacteria,BAE51590.1
Q8Y065,UniRef50_Q8Y065,6.1.1.17,Bacteria,CAD14881.1
A0QX51,UniRef50_A0QX51,3.4.23.36,Bacteria,ABK75519.1
Q6LV34,UniRef50_Q7VKV0,3.6.4.-,Bacteria,CAG18841.1
Q6H442,UniRef50_Q9C5V6,5.6.2.2,Eukaryota,BAD26507.1
B2UX29,UniRef50_B2UX29,2.8.1.4,Bacteria,ACD53918.1
P50897,UniRef50_P50897,3.1.2.22,Eukaryota,AAA85337.1
Q1BBQ1,UniRef50_A3PWR3,7.1.1.-,Bacteria,ABG07683.1
Q0UWA6,UniRef50_Q0UWA6,3.6.4.13,Eukaryota,EAT89163.2
P07089,UniRef50_P31333,4.1.1.39,Eukaryota,CAA28711.1
Q6KZ30,UniRef50_Q6KZ30,4.2.1.9,Archaea,AAT44022.1
Q9ZMG6,UniRef50_Q7VGP6,2.8.4.3,Bacteria,AAD05846.1
Q9CYA0,UniRef50_Q9CYA0,5.3.4.1,Eukaryota,BAE38436.1
P21675,UniRef50_P21675,2.3.1.48; 2.7.11.1,Eukaryota,CAM98557.1
P03923,UniRef50_P03923,7.1.1.2,Eukaryota,AAR94483.1
Q96EM0,UniRef50_Q96EM0,4.2.1.77,Eukaryota,AAH12131.1
B6I2L3,UniRef50_P39380,2.7.1.-,Bacteria,BAG80130.1
C5BDA3,UniRef50_Q8XCC6,2.7.8.-,Bacteria,ACR68855.1
Q3JPG7,UniRef50_A9BVD2,3.6.1.41,Bacteria,ABA48648.1
Q7UFS3,UniRef50_Q7UFS3,6.3.5.2,Bacteria,CAD78607.1
Q9Z9W9,UniRef50_B7GFW3,6.3.5.7,Bacteria,BAB04385.1
Q96LI5,UniRef50_Q96LI5,3.1.13.4,Eukaryota,CAB61415.1
Q68WZ0,UniRef50_Q9ZDE5,3.6.4.12,Bacteria,AAU03852.1
A0R1E8,UniRef50_A0A089QRB9,2.3.1.-,Bacteria,ABK75252.1
B7NV92,UniRef50_Q8ZGK8,4.2.1.8,Bacteria,CAR20892.1
Q66EJ1,UniRef50_Q8ZBI0,2.7.1.24,Bacteria,CAH19942.1
P35918,UniRef50_P35968,2.7.10.1,Eukaryota,AAB25043.1
Q99942,UniRef50_Q99942,2.3.2.27,Eukaryota,AAI19743.1
A0LWW8,UniRef50_A0LWW8,2.1.1.-,Bacteria,ABK53928.1
B9MMM6,UniRef50_B7GJ46,6.1.1.16,Bacteria,ACM61325.1
C5MG55,UniRef50_C5MG55,2.3.1.35; 2.3.1.1,Eukaryota,EER31318.1
B7J1H9,UniRef50_Q6MSR0,6.1.1.4,Bacteria,ACK75155.1
P09841,UniRef50_P42665,3.4.22.34,Eukaryota,AAA29895.1
Q9LMT1,UniRef50_Q9LMT1,3.1.3.16,Eukaryota,AAL16282.1
A4TPG7,UniRef50_Q49YJ6,2.5.1.78,Bacteria,ABP41179.1
B4HBU3,UniRef50_O97143,2.7.11.21,Eukaryota,EDW39537.1
Q8Y5Y0,UniRef50_Q9S400,2.5.1.19,Bacteria,CAD00001.1
Q8YJ42,UniRef50_Q5LNS5,2.2.1.2,Bacteria,AAL51426.1
Q7MT07,UniRef50_Q7MT07,3.5.1.88,Bacteria,AAQ67143.1
P0C1B3,UniRef50_P0C1B3,3.2.1.1,Eukaryota,CAA31219.1
B0VKU6,UniRef50_Q4FQC0,5.2.1.8,Bacteria,CAP02315.1
P03923,UniRef50_P03923,7.1.1.2,Eukaryota,AAP89866.1
B4MXR6,UniRef50_O13642,2.8.1.8,Eukaryota,EDW76835.1
Q9Q1T8,UniRef50_P03587,2.1.1.-; 2.7.7.-; 2.7.7.48; 3.6.4.13; 2.1.1.-; 2.7.7.-; 3.6.4.13,Viruses,CAB62911.1
A2BUK0,UniRef50_A2BP19,3.5.1.15,Bacteria,ABM71461.1
A0PXW7,UniRef50_A3DJJ3,2.7.4.3,Bacteria,ABK62133.1
A6VX53,UniRef50_P59421,6.1.1.16,Bacteria,ABR71032.1
P04977,UniRef50_P04977,2.4.2.-,Bacteria,CAA07479.1
Q54443,UniRef50_Q54443,3.2.1.11,Bacteria,BAA08409.1
Q6NI61,UniRef50_Q886M3,4.2.1.11,Bacteria,CAE49433.1
P07392,UniRef50_P07392,2.7.7.6,Viruses,AAO89377.1
A1VJD7,UniRef50_P54380,6.1.1.14,Bacteria,ABM35765.1
A6UV59,UniRef50_Q58018,2.4.2.59,Archaea,ABR56381.1
C4R4B3,UniRef50_C4R4B3,2.4.1.80,Eukaryota,AAK73020.1
O13535,UniRef50_Q07163,3.4.23.-; 2.7.7.49; 2.7.7.7; 3.1.26.4,Eukaryota,AAB69744.1
A4J5D2,UniRef50_Q2RJD1,3.1.3.5,Bacteria,ABO50285.1
Q9SFU3,UniRef50_Q9SFU3,3.1.3.-; 3.1.3.2,Eukaryota,AEE74502.1
Q8NWE6,UniRef50_Q49XV1,3.1.26.11,Bacteria,BAB95323.1
Q6FE58,UniRef50_Q6FE58,2.4.2.9,Bacteria,CAG67650.1
Q16DL0,UniRef50_A9HI30,3.2.2.23; 4.2.99.18,Bacteria,ABG29933.1
P07102,UniRef50_P07102,3.1.3.2; 3.1.3.26,Bacteria,BAA35745.1
Q3J713,UniRef50_Q5E3U6,4.2.3.5,Bacteria,ABA59383.1
Q9JXY0,UniRef50_Q9JXY0,2.7.7.99,Bacteria,AAF42176.1
C3N0H9,UniRef50_Q97WC6,2.1.1.195,Archaea,ACP54140.1
Q93YW7,UniRef50_Q93YW7,2.7.8.41,Eukaryota,AAL24147.1
Q9HDD0,UniRef50_Q9HDD0,2.3.1.-; 3.1.1.32; 3.1.1.4,Eukaryota,EAW78078.1
O31214,UniRef50_O31214,7.1.1.8,Bacteria,ADC61040.1
A1VPQ8,UniRef50_Q7UH05,7.1.2.2,Bacteria,ABM37636.1
A9KFQ4,UniRef50_Q5P721,2.4.99.17,Bacteria,ABS76634.1
Q0VPH7,UniRef50_P43875,4.2.3.5,Bacteria,CAL16921.1
Q12D73,UniRef50_Q1LS73,2.8.1.6,Bacteria,ABE43519.1
P9WHU8,UniRef50_P0C1E2,2.7.2.11,Bacteria,AAK46812.1
B7MGV7,UniRef50_Q9KT58,4.2.1.17; 5.1.2.3; 1.1.1.35,Bacteria,CAR03766.1
P0DB41,UniRef50_C7N8L9,3.2.1.85,Bacteria,BAC64746.1
Q42601,UniRef50_Q42601,6.3.5.5,Eukaryota,AAM91378.1
Q47WT5,UniRef50_Q9KU60,6.1.1.6,Bacteria,AAZ26689.1
Q2R3K3,UniRef50_Q2R3K3,2.3.1.50,Eukaryota,BAT14191.1
P16508,UniRef50_P03431,2.7.7.48,Viruses,AAA43635.1
Q0BTM0,UniRef50_Q2L160,2.7.4.22,Bacteria,ABI61832.1
Q8X963,UniRef50_Q8X963,2.5.1.72,Bacteria,AAG55079.1
