From	To
Q8XDF7	BAB37906.1
Q3A008	ABA90299.1
Q21XH1	ABD69532.1
Q1Q974	ABE75779.1
A4YNP1	CAL75517.1
P44995	AAC22691.1
Q31WG4	ABB67594.1
P0AEA9	AAG58476.1
P0AEA9	BAB37642.1
Q47DJ9	AAZ47082.1
A4W920	ABP60200.1
Q96VH4	CAC42959.1
Q96VH4	DAA07458.1
P09738	BAB86870.1
P09738	AAN58363.1
B4EY23	CAR45233.1
Q9F437	CAC14884.1
Q6D797	CAG74338.1
A8A348	ABV06952.1
Q8YBC6	AAL54215.1
Q8YBC6	AAL54216.1
Q08258	AAC60547.1
A5UAE1	ABQ97742.1
P77161	AAB93851.1
P77161	AAB40262.1
P77161	AAC73611.1
P77161	BAE76287.1
Q6YW50	BAD17197.1
Q6YW50	BAD17610.1
Q6YW50	EAZ22265.1
Q6BM09	CAG89103.2
Q61767	AAA39374.1
Q61767	AAH13449.1
C3PMB3	ACP53073.1
Q5FG00	CAI28150.1
Q9AF95	AAK27220.2
A1VE02	ABM28668.1
B4TT18	ACF90629.1
C1ASU1	BAH48873.1
B7MIE9	CAR02349.1
Q9BV57	BAD10866.1
Q9BV57	AAP97173.1
Q9BV57	BAD38646.1
Q9BV57	BAA91901.1
Q9BV57	BAC86996.1
Q9BV57	BAD96187.1
Q9BV57	AAX82038.1
Q9BV57	AAY24022.1
Q9BV57	EAX01064.1
Q9BV57	EAX01065.1
Q9BV57	AAH01467.1
Q9BV57	AAL25800.1
P81221	AAA87437.1
I1RF61	CEF74604.1
Q54D04	EAL61103.1
B7K5G6	ACK66699.1
Q4WZ69	EAL94096.1
A1A9R5	ABJ00405.1
Q634V8	AAU16290.1
A9M068	ABX72329.1
A6L849	ABR41863.1
Q3BX06	CAJ22607.1
Q49UH1	BAE19605.1
B7MRJ2	CAR06758.1
Q5E225	AAW86921.1
P14941	CAA46053.1
Q7MZH1	CAE16689.1
A6V0A3	ABR81075.1
B3FWS5	ACD39759.1
B3FWS5	ACD39768.1
Q9PTM5	AAD56312.1
A9N917	ABX77771.1
Q7S891	EAA32553.1
P40609	AAA62190.1
P40609	BAC61072.1
A7N2Q0	ABU74072.1
P94135	AAC44727.1
P94135	AAR31044.1
P94135	AAZ65769.1
Q8EN68	BAC14575.1
Q88DZ0	AAN70251.1
P95389	AAC44919.1
E5AE42	CBY01481.1
Q3Z5X9	AAZ86833.1
A6T6Q6	ABR76277.1
P07773	AAC46426.1
P07773	CAG68305.1
Q84MF1	AAP20854.1
Q84MF1	ABF96687.1
Q84MF1	BAF12307.1
Q84MF1	BAS84757.1
Q84MF1	EAZ27374.1
Q7U3U2	CAE08852.1
P51550	CAA45375.1
M1VWN4	CCE31577.1
A3MWU9	ABO09116.1
Q39L16	ABB06850.1
Q4AEH4	BAE17016.1
Q2G4X5	ABD27098.1
Q9MTN7	CAB67138.2
Q7ME99	BAC96797.1
Q46PT7	AAZ64847.1
C1CQX9	ACO22830.1
Q12452	AAB67544.1
Q12452	CAA97664.1
Q12452	DAA09417.1
A2SKR5	ABM96154.1
B2I985	ACB93340.1
B2V7Y2	ACD66055.1
E5A7D6	CBX99531.1
A1RIA7	ABM24402.1
A8MRX0	AAG12579.1
A8MRX0	AEE28841.1
A8MRX0	AEE28842.1
A8MRX0	ANM60976.1
A8MRX0	ABO45690.1
Q64669	AAA80184.1
Q64669	AAB32718.1
A8N6B4	EAU91530.1
O80763	AAC24068.1
O80763	AEE33684.1
O80763	AAL38874.1
O80763	AAM51306.1
O80763	AAM64945.1
A4UHT7	ABO93462.1
A9N804	ABX67966.1
B1YJL9	ACB60049.1
Q9SIE0	AAD23616.2
Q9SIE0	AEC07286.1
Q9SIE0	ANM62872.1
Q9SIE0	ANM62873.1
Q9SIE0	ANM62874.1
P78733	AAA62243.1
Q5L0J6	BAD75540.1
P65461	SIT99087.1
B1N1A2	ABM05923.1
Q3B182	ABB24899.1
O86034	AAD12733.1
O86034	CAC49536.1
A9JPE2	CAP53938.1
Q5L1H7	BAD75203.1
A9KXA9	ABX47505.1
Q09G47	ABI49777.1
Q43497	AAC41654.1
A2RL29	CAL97995.1
Q8X150	AAK81883.1
Q2P4B2	BAE68615.1
A1TRN6	ABM33624.1
Q7VQX0	CAD83522.1
H6BDU4	AEF32527.1
A5U830	ABQ75180.1
A7ZKB5	ABV17307.1
O61309	AAC17487.1
A3GF86	EAZ63709.2
Q5PK75	AAV79722.1
Q7MIG6	BAC95315.1
P50972	AAB93305.2
B2LMI8	ACB86522.1
P36655	CAA85375.1
P36655	CAA54781.1
P36655	AAA97035.1
P36655	AAC77096.1
P36655	BAE78138.1
O07824	AAB61370.1
P9WPM3	CCP42861.1
P81382	CAB71136.1
Q92TP3	CAC49864.1
Q6GGJ5	CAG40575.1
P43800	AAC22344.1
Q057Y0	ABJ90569.1
P0A2C9	AAC38650.1
P0A2C9	AAL20124.1
B1YLQ1	ACB60384.1
Q55030	AAA64845.1
Q55030	ACK65833.1
Q83N18	AAO44283.1
B7UI92	CAS07595.1
P21898	AAA28351.1
Q12HV8	ABE56968.1
P27364	AAA41352.1
P27364	AAH92571.1
G5ED44	AAF97548.1
G5ED44	CAB04924.1
P59954	SIU00032.1
P0A4J4	AAM99675.1
Q6N869	CAE27476.1
Q723F9	AAT03302.1
Q46509	CAA54439.1
Q884R9	AAO55537.1
Q4VRV8	AAV73841.1
Q4VRV8	AAV74388.1
O21241	AAD11868.1
B5ZZA8	ACI54701.1
Q7NTY1	AAQ60590.1
U5S003	AGY78320.1
Q9K1G8	AAF40641.1
A8E534	AAI53447.1
O28440	AAB89415.1
Q83B08	AAO91209.1
Q66AQ6	CAH21312.1
Q7XU38	CAD30852.1
Q7XU38	CAD41584.3
Q7XU38	BAF15513.1
Q7XU38	BAS90563.1
P37778	CAA50768.1
P37778	AAA53680.1
P37778	AAN43642.1
P37778	AAP17471.1
P31657	CAA79622.1
A5I7A3	ABS36188.1
A5I7A3	CAL84937.1
Q6AK09	CAG37317.1
Q49A26	AAQ57265.1
Q49A26	AAQ14242.1
Q49A26	AAK15524.1
Q49A26	BAG59409.1
Q49A26	EAW85252.1
Q49A26	EAW85257.1
Q49A26	AAH03693.1
Q49A26	AAH32855.1
Q49A26	AAH47223.1
Q49A26	AAH64940.1
B7H069	ACJ58210.1
Q74CB9	AAR35132.1
A1R585	ABM10170.1
B9JJ30	ACM29922.1
Q08078	CAA44753.1
Q64PY9	BAD50442.1
Q9SUC0	CAB45888.1
Q9SUC0	CAB79093.1
Q9SUC0	AEE84377.1
Q9SUC0	ABF74718.1
Q9SUC0	BAF00489.1
Q9SUC0	AAM63893.1
Q8DQ37	AAK99670.1
Q63KK8	CAH38825.1
C0RIC3	ACO00581.1
Q9KVT3	AAF93234.1
Q9PWF7	BAA83685.1
P64788	SIT99893.1
A6TD45	ABR78516.1
Q7A1Y7	BAB94007.1
Q1JGV8	ABF34036.1
Q46871	AAA89149.1
Q46871	AAC76105.1
Q46871	BAE77120.1
Q47PU3	AAZ55526.1
C1DC72	ACO73489.1
Q9ZD97	CAA14902.1
A6TFG7	ABR79301.1
P72495	AAA62496.1
Q9MUM1	AAF43877.1
Q3ICF0	CAI89530.1
P13715	BAA00463.1
Q9C991	AAG51697.1
Q9C991	AEE35168.1
Q9C991	BAF01017.1
P56761	BAA84380.1
O52384	AAD12612.1
Q0KEJ5	CAJ91576.1
Q196Z5	ABF82095.1
Q5TCH4	AAF76722.1
Q5TCH4	AAQ21367.1
Q5TCH4	AAQ21368.1
Q5TCH4	CAI19737.1
Q5TCH4	CAI19738.1
Q5TCH4	AAI48249.1
P09555	AAT37643.2
P09555	CAA30364.1
P42026	CAA46154.1
P42026	AAI09717.1
Q2LCP5	ABC60398.4
A9M9Q4	ABX63099.1
B1M7L6	ACB23741.1
A0A1L9WUX8	OJJ99912.1
Q8PUN1	AAM31997.1
C0Q4L5	ACN44270.1
Q03LZ4	ABJ65778.1
P63893	BAB57558.1
Q6LNU2	CAG21034.1
B8NJH1	EED49870.1
A7GMD4	ABS21292.1
A0R420	ABK69700.1
A0R420	AFP41965.1
Q92211	AAC49800.1
Q92211	EEQ44715.1
A0R647	ABK71142.1
A0R647	AFP42680.1
P00337	AAC27617.1
P00337	AAG48560.1
O13471	CAA70698.1
O13471	CAH01111.1
Q4ZSC0	AAY37952.1
C6DFC0	ACT12829.1
A9W3H9	ABY30135.1
Q9V5L3	AAF58791.3
Q9V5L3	AAF58793.2
Q9V5L3	AAM68760.2
Q9V5L3	AAL68266.1
Q9V5L3	AAM27517.1
Q9V5L3	ACL68691.1
A0RD64	ABK85157.1
A6WD69	ABS04758.1
Q05114	AAA91100.1
Q05114	AAD00777.1
Q05114	AAD00778.1
Q05114	AAD00779.1
Q05114	AAD00780.1
Q05114	AAD00781.1
Q05114	AAD00782.1
Q05114	AAD00783.1
Q05114	AAD00784.1
Q05114	AAD00785.1
Q05114	AAD00786.1
Q05114	AAD00787.1
Q05114	AAD00788.1
Q05114	AAD00789.1
Q05114	AAD00790.1
Q05114	AAD00791.1
Q05114	AAD00792.1
Q05114	AAD00793.1
Q05114	EDW77442.1
Q05114	AAF72724.1
P0AFI7	AAA24709.1
P0AFI7	AAC74710.1
P0AFI7	BAA15399.1
Q1GVE7	ABF52375.1
B1XPG7	ACA98524.1
Q3UXZ9	BAE22414.1
Q3UXZ9	BAE26113.1
Q3UXZ9	BAE38548.1
Q3UXZ9	AAH80691.1
P65194	AAO29279.1
O81815	CAA07574.1
O81815	CAB10354.1
O81815	CAB78618.1
O81815	AEE83647.1
O81815	BAD42916.1
O81815	BAD42962.1
O81815	BAD43057.1
O81815	BAD43099.1
O81815	BAD43117.1
O81815	BAD43175.1
O81815	BAD43229.1
O81815	BAD43250.1
O81815	BAD44098.1
O81815	BAD44197.1
O81815	BAD44286.1
O81815	BAD44364.1
O81815	BAD44464.1
O81815	BAD44478.1
O81815	BAD44505.1
O81815	BAD44509.1
O30078	AAB91069.1
A2XVG1	CAA61981.1
A2XVG1	CAH68004.1
A2XVG1	EAY94821.1
Q9Y7Z9	CAB46765.2
B7MM89	CAR04418.1
C3KT80	ACQ52314.1
Q54YT4	EAL68220.1
Q1AWA3	ABG04325.1
P9WQ14	AAK47598.1
P66830	BAB56295.1
B9KIH0	ACM49282.1
Q8ZEX9	CAL20653.1
Q8ZEX9	AAM85850.1
Q8ZEX9	AAS62084.1
Q7XEJ5	AAP53794.1
Q7XEJ5	BAF26533.1
Q7XEJ5	BAT10877.1
Q7XEJ5	EAZ16097.1
Q7XEJ5	BAG92429.1
Q8XAV0	AAG55623.1
Q8XAV0	BAB34676.1
Q8ZFV8	CAL20214.1
Q8ZFV8	AAM86151.1
Q8ZFV8	AAS61696.1
H8F1Z2	BAL67972.1
P14925	AAC05602.1
P14925	AAC05603.1
P14925	AAC05607.1
P14925	AAC05605.1
P14925	AAC05604.1
P14925	AAC05608.1
P14925	AAC05606.1
P14925	AAA41803.1
P14925	AAA41804.1
P14925	AAA42068.1
P14925	CAA42206.1
P14925	CAA42207.1
P14925	CAA42208.1
P14925	CAA42209.1
P14925	CAA42210.1
P14925	AAB00162.1
O22769	AAC78260.1
O22769	CAB80751.1
O22769	AEE82198.1
O22769	AAK96519.1
O22769	AAN64531.1
P76373	AAC75089.1
P76373	BAA15860.1
Q0T8E9	ABF02327.1
B3CM44	CAQ54963.1
Q9F6X6	AAG15209.1
Q9F6X6	ABY35763.1
Q5E3Y1	AAW86265.1
A6U077	ABR51845.1
Q3AM89	ABB34083.1
Q3AM89	ABB34293.1
Q751L8	AAS54170.2
C1DHY0	ACO80713.1
Q58806	AAB99418.1
O65100	AAC06026.1
P24903	AAA52156.1
P24903	AAL69652.1
P24903	ABO41976.1
P24903	ABO41977.1
P24903	ABO41978.1
P24903	ABO41979.1
P24903	ABO41980.1
P24903	AAI09057.1
Q4USQ4	AAY49919.1
Q1QDK8	ABE74245.1
B5XYB9	ACI06962.1
Q6FCX7	CAG68082.1
O33605	CAB09347.1
Q214F0	ABD88236.1
B1JQS0	ACA68921.1
Q88J44	AAN68413.1
A3QDE1	ABO23489.1
Q02189	AAA27343.1
Q02189	AAK77915.1
Q9CGD5	AAK05260.1
A4SVT8	ABP33602.1
C3LQT6	ACP06614.1
A4G0A1	ABO35885.1
Q4WZ63	EAL94102.1
P0A4J1	AAK04506.1
Q9NZ01	AAC39872.1
Q9NZ01	AAC39873.1
Q9NZ01	AAF32373.1
Q9NZ01	BAG37802.1
Q9NZ01	AAP35843.1
Q9NZ01	CAG33173.1
Q9NZ01	AAH00174.2
Q9NZ01	AAH02425.1
Q9NZ01	AAH05952.1
Q9NZ01	AAH07801.1
Q9NZ01	AAH13881.1
B5Y008	ACI07067.1
A7FP92	ABS46756.1
B2VBI9	CAO97427.1
B5REV7	CAR39047.1
Q9TNF7	BAA82782.1
A2BXK2	ABM72513.1
B7N7X5	CAR11325.1
Q20EY7	ABB81926.1
A7ZWZ8	ABV04802.1
B8G186	ACL19301.1
O55044	AAC00204.1
B4EA68	CAR51051.1
A5CF77	CAM80978.1
P54354	BAA08117.1
P54354	BAD50187.1
P0A9L9	AAN41981.1
P0A9L9	AAP15859.1
C4KHB6	ACR41980.1
B2GHT4	BAG29637.1
Q6GIG7	CAG39889.1
A1BED6	ABL64763.1
Q01H90	CAH68056.1
Q01H90	EAY95149.1
A7FI92	ABS48583.1
B0UXP9	CAQ13978.1
Q1C4U4	ABG14528.1
P41977	CAA54319.1
P41977	CAA59790.1
P41977	CCD63614.1
B4EFZ7	CAR53866.1
Q07RK6	ABJ05428.1
A8W3B9	ABW83690.1
A9AFB4	ABX14256.1
A9AFB4	BAG44590.1
Q9RVQ9	AAF10536.1
Q9PHN0	CAL34782.1
P58796	AAM04610.1
Q5AEK8	AOW28301.1
Q8S932	BAB89351.1
Q07536	AAA30650.1
O46512	AAC04698.1
O46512	AAC04699.1
O46512	CAB38442.1
A6LGR5	ABR44879.1
Q9KAH1	BAB06035.1
O43272	AAB88789.1
O43272	AAD24775.1
O43272	AAF21464.1
O43272	AAH68260.1
O43272	AAH94736.1
O43272	AAI18598.1
O43272	AAI21810.1
O43272	BAD92709.1
O43272	AAC39529.1
O08405	CAA69193.1
P63722	SIU00516.1
P17721	CAA51205.1
P17721	AAD35770.1
Q69TY4	BAD35693.1
Q69TY4	BAD37738.1
Q69TY4	BAF20027.1
Q69TY4	BAS98695.1
Q69TY4	BAG86701.1
Q69TY4	BAG96441.1
A8YTT2	ABX26673.1
P55023	CAA65000.1
Q128T0	ABE44962.1
Q46046	BAA05930.1
P56992	AAF40801.1
P15538	AAA52149.1
P15538	CAA39290.1
P15538	BAB71992.1
P15538	BAA03717.1
P15538	ABY87528.1
P15538	EAW82293.1
P15538	AAH96286.1
P15538	AAH96287.1
P15538	AAA52148.1
P15538	BAA01039.1
A4IQA1	ABO67505.1
B4SYX1	ACF64868.1
Q8YQD8	BAB75594.1
Q1LIF4	ABF10072.1
B0UMS9	ACA18567.1
B1XC53	ACB01257.1
B7JN03	ACK87719.1
P71317	AAC72240.1
A6SUF7	ABR88801.1
A1WVQ7	ABM61769.1
P69925	AAG57364.1
P69925	BAB36541.1
O48902	AAB99753.1
P29804	CAA37180.1
Q7W733	CAE37995.1
Q30S58	ABB44173.1
Q0HGB4	ABI39903.1
B5ZSU2	ACI53891.1
B5YWZ7	ACI38621.1
Q6EMI9	AAO12527.1
B7LLD0	CAQ88359.1
Q66EJ0	CAH19943.1
A7N7P0	ABU74964.1
A3D0Y7	ABN60400.1
O59715	CAA18296.1
Q0UK49	EAT85331.1
A7HMQ2	ABS61185.1
Q2P757	BAE67620.1
C3K3D3	CAY53023.1
A1WAZ1	ABM43416.1
P0A005	BAB43887.1
B7I7P6	ACJ40681.1
A9WG69	ABY33990.1
B1YG64	ACB62448.1
P41981	CAA57658.1
P41981	CAA57657.1
P74562	BAA18669.1
O68949	AAC14336.1
Q8GXR9	CAC35879.1
Q8GXR9	AED91343.1
Q8GXR9	BAC42708.1
Q8GXR9	AAL08280.1
Q8GXR9	AAM91048.1
Q8GXR9	CAG29362.1
Q9LU86	BAB01069.1
Q9LU86	AEE77109.1
Q9LU86	AAK82526.1
Q9LU86	AAL62017.1
B2V726	ACD65808.1
Q12209	CAA64294.1
Q12209	CAA97577.1
Q12209	DAA09365.1
Q17QH8	AAI18350.1
B5EV28	ACH64570.1
Q9P7F4	CAB83005.1
O77809	BAA33789.1
Q5FP90	AAW61806.1
P19573	CAA37714.2
Q9HRF0	AAG19208.1
B2SFF5	ACD30308.1
A2QCV4	CAK47663.1
Q6SZS5	AAR17523.1
Q6SZS5	CAG62883.1
P37079	CAA46856.1
P78027	AAB96160.1
B3QFM9	ACF02542.1
P25857	AAD10210.1
P25857	AAA32795.1
P25857	AAG51517.1
P25857	AEE31933.1
P25857	AAK64065.1
P25857	AAK62594.1
P25857	AAL85133.1
P25857	AAM19948.1
P25857	AAM98232.1
P25857	AAN72278.1
P25857	BAF02115.1
B5XLJ8	ACI61210.1
O78508	AAC35699.1
Q0ZJ21	ABE47533.1
C6BW12	ACS80215.1
Q96SQ9	AAK13498.1
Q96SQ9	AAQ88966.1
Q96SQ9	BAB55227.1
Q96SQ9	AAH33691.1
Q9C167	AAK14804.2
Q9C167	EAA33584.1
B2HTC8	ACC55865.1
Q8CP51	AAO04785.1
A1UTM3	ABM44744.1
Q75IM9	AAS90672.2
Q75IM9	AAT39231.1
Q75IM9	BAF16435.1
Q75IM9	BAS92064.1
Q75IM9	EEE62179.1
Q75IM9	BAG89906.1
P0AE52	AAB88562.1
P0AE52	AAC75533.1
P0AE52	BAA16358.1
P0AE52	AAC46233.1
P63940	BAB58686.1
Q9M5K2	AAF34796.1
Q9M5K2	AEE75925.1
Q9M5K2	AEE75926.1
Q9M5K2	AEE75927.1
Q9M5K2	ABD38917.1
Q9M5K2	AAM64759.1
Q9M5K2	CAA11554.1
Q0THD7	ABG69642.1
Q9STK7	CAB41171.1
Q9STK7	AEE78393.1
Q8DR03	AAK99207.1
Q22633	CAA90315.1
Q830P3	AAO82434.1
P49645	AAC60755.2
B0VL49	CAP02317.1
E3VWI3	ADO85571.1
Q7XUR2	CAD41075.2
Q7XUR2	BAF15459.1
Q96UB1	CAD12887.1
Q96UB1	CAD11356.1
Q96UB1	EAA31955.3
P17570	CAA32218.1
B8DWI3	ACL28834.1
Q8J136	AAO13382.1
A8MFE2	ABW19105.1
Q0BN25	ABI82509.1
Q639D2	AAU17365.1
A1JK30	CAL11369.1
Q5QX02	AAV81453.1
Q94B35	AAW82381.1
Q94B35	AAN87171.1
Q94B35	CAB36712.1
Q94B35	CAB80152.1
Q94B35	AEE86362.1
Q94B35	AAK68817.1
Q94B35	AAM10016.1
Q94B35	BAH20366.1
Q94B35	BAD94833.1
A4IJP9	ABO65553.1
O34354	AAC46334.1
O34354	CAB13095.1
A0T0W4	ABK20799.1
A0T0W4	ABK20841.1
B1J5A5	ACA72157.1
Q70Q35	CAD88591.1
Q9L4M8	CAB69078.1
Q55DH8	AAQ94087.1
Q55DH8	EAL71903.1
Q55DH8	AAD55449.1
B9IZ41	ACM14680.1
P43256	AAA67317.1
P43256	AEC06618.1
P43256	AAL15311.1
P43256	AAN28869.1
Q9WV23	CAB44648.1
Q9V0V0	CAB49603.1
Q9V0V0	CCE70080.1
P54377	BAA12548.1
P54377	CAB14386.1
A6H5G6	BAF64932.1
Q4L7T9	BAE04286.1
B2V847	ACD66120.1
Q08698	CAA51699.1
Q08698	AAL21692.1
Q39173	CAA89262.1
Q39173	CAC01712.1
Q39173	AED92367.1
Q39173	AAM14259.1
Q39173	AAL38729.1
A1RYE4	ABL78224.1
P60337	BAB43710.1
B4SDK7	ACF44375.1
Q66ES1	CAH19860.1
Q9HWT7	AAG07478.1
B5Z372	ACI37818.1
C7GPP6	EEU07220.1
A7ZTE9	ABV20147.1
Q97DP4	AAK81358.1
Q5HKZ5	AAW53010.1
B7JVV5	ACK65644.1
Q57724	AAB98264.1
Q795Y4	CAB14664.1
Q4UR77	AAY50446.1
Q148G5	AAI18354.1
P27346	AAA62756.1
A0A3G9GR23	BBG28483.1
A9VRT5	ABY43120.1
Q5E9H7	AAX08960.1
B7NLC1	CAR18277.1
Q6ENW4	BAD27292.1
Q5HVM4	AAW35841.1
Q18006	CCD64563.1
A1ABI3	ABJ01023.1
Q86ZV0	BAC75870.2
Q86ZV0	ACR55076.1
Q86ZV0	ACR55077.1
Q86ZV0	BAE64390.1
Q0IH28	AAI23347.1
P08065	AAA22746.1
P08065	CAA99547.1
P08065	CAB14804.2
P08624	CAA30384.1
Q8Y640	CAC99938.1
A9MVL0	ABX69918.1
O94207	CAB39316.1
Q9WXB4	BAA76536.1
B2I1H7	ACC58825.1
Q9CFV1	AAK05462.1
Q0HYM7	ABI41778.1
P05108	AAA52162.1
P05108	CAA28965.1
P05108	BAG51810.1
P05108	BAF84989.1
P05108	EAW99341.1
P05108	EAW99342.1
P05108	AAH32329.1
P05108	CAA32471.1
P05108	AAA36404.1
A7ZLX7	ABV17618.1
Q7MFL5	BAC96331.1
B7GZQ9	ACJ57648.1
