Entry	Entry name	Length	EC number	Cross-reference (Pfam)	Taxonomic lineage (SUPERKINGDOM)
B1J0S8	ACDH_ECOLC	316	1.2.1.10	PF09290;PF01118;	Bacteria
O74935	ACOX2_YARLI	700	1.3.3.6	PF01756;PF00441;PF02770;PF14749;	Eukaryota
P31937	3HIDH_HUMAN	336	1.1.1.31	PF14833;PF03446;	Eukaryota
Q9FFR3	6PGD3_ARATH	487	1.1.1.44	PF00393;PF03446;	Eukaryota
A9MYQ4	ABDH_SALPB	474	1.2.1.19; 1.2.1.-	PF00171;	Bacteria
O64894	ACOX2_CUCMA	690	1.3.3.6	PF01756;PF00441;PF02770;	Eukaryota
Q5IFP1	3BHS_CANLF	373	1.1.1.145; 5.3.3.1	PF01073;	Eukaryota
Q67477	3BHS_FOWPN	370	1.1.1.145; 5.3.3.1	PF01073;	Viruses
O35936	ALOX8_MOUSE	677	1.13.11.-	PF00305;PF01477;	Eukaryota
P00325	ADH1B_HUMAN	375	1.1.1.105	PF08240;PF00107;	Eukaryota
Q8YX57	ACSF1_NOSS1	351	1.14.13.81	PF02915;	Bacteria
Q64415	ADH1_GEOKN	375	1.1.1.1	PF08240;PF00107;	Eukaryota
P28469	ADH1A_MACMU	375	1.1.1.1	PF08240;PF00107;	Eukaryota
Q85FX6	ACSF_CYAM1	335	1.14.13.81	PF02915;	Eukaryota
O45687	ADH2_CAEEL	351	1.1.1.1	PF08240;PF00107;	Eukaryota
Q5R1W2	ADH1B_PANTR	375	1.1.1.105	PF08240;PF00107;	Eukaryota
Q7V3Y9	ACSF_PROMM	349	1.14.13.81	PF02915;	Bacteria
J3QMK6	AL3B3_MOUSE	479	1.2.1.3	PF00171;	Eukaryota
Q7V1M1	ACSF_PROMP	390	1.14.13.81	PF02915;	Bacteria
Q70UP5	ADH2_CERCO	258	1.1.1.1	PF00106;	Eukaryota
P71011	ALBA_BACSU	448	1.21.98.-	PF05402;PF04055;PF13186;	Bacteria
Q00278	AFLD_ASPPU	271	1.1.1.349	PF00106;	Eukaryota
P0A388	ADHB_GLUPO	468	1.1.5.5	PF00034;PF13442;	Bacteria
P25720	ADH2_DROBU	254	1.1.1.1	PF00106;	Eukaryota
Q29228	AL9A1_PIG	494	1.2.1.47; 1.2.1.3	PF00171;	Eukaryota
P9WQB9	ADHD_MYCTU	368	1.1.1.1	PF08240;PF00107;	Bacteria
A0A411PQP6	AGN1_PAEDI	149	1.-.-.-	PF07110;	Eukaryota
P51550	ADH_DROTS	256	1.1.1.1	PF00106;	Eukaryota
Q9NAR7	ADH_BACOL	258	1.1.1.1	PF00106;	Eukaryota
Q6GBM4	ADH_STAAS	336	1.1.1.1	PF08240;PF00107;	Bacteria
Q9SQR2	ADRC2_ARATH	272	1.1.1.-		Eukaryota
P51552	ADH_ZAPTU	256	1.1.1.1	PF00106;	Eukaryota
Q54KG7	ADRO_DICDI	515	1.18.1.6	PF07992;	Eukaryota
Q5RFM9	AL1L1_PONAB	902	1.5.1.6	PF00171;PF02911;PF00551;PF00550;	Eukaryota
Q50LG1	AF111_ALTAL	509	1.-.-.-	PF00067;	Eukaryota
P12762	ALDH2_HORSE	500	1.2.1.3	PF00171;	Eukaryota
Q3KRA9	ALKB6_HUMAN	238	1.14.11.-	PF13532;	Eukaryota
Q8R0Y6	AL1L1_MOUSE	902	1.5.1.6	PF00171;PF02911;PF00551;	Eukaryota
B2IHZ4	AHPD_BEII9	180	1.11.1.15	PF02627;	Bacteria
B2HD59	AHPD_MYCMM	178	1.11.1.15	PF02627;	Bacteria
P0A155	AHPF_PSEPK	520	1.8.1.-	PF07992;PF13192;	Bacteria
P38918	ARK73_RAT	327	1.-.-.-	PF00248;	Eukaryota
Q8NHP1	ARK74_HUMAN	331	1.-.-.-	PF00248;	Eukaryota
P50167	ARDH_PICST	278	1.1.1.250		Eukaryota
A6SUN9	ARGC_JANMA	345	1.2.1.38	PF01118;PF02774;	Bacteria
A0A2H3CNT9	ARMD3_ARMGA	309	1.1.1.-	PF00106;	Eukaryota
B7JY20	ARGC_RIPO1	352	1.2.1.38	PF01118;PF02774;	Bacteria
A4QDY8	ARGC_CORGB	347	1.2.1.38	PF01118;PF02774;	Bacteria
A0A1L9WVI3	ANEF_ASPA1	495	1.-.-.-	PF00067;	Eukaryota
P54895	ARGC_STRCO	342	1.2.1.38	PF01118;PF02774;	Bacteria
B6I1Z5	AROE_ECOSE	272	1.1.1.25	PF18317;PF01488;PF08501;	Bacteria
Q15ZX4	AROE_PSEA6	272	1.1.1.25	PF18317;PF01488;PF08501;	Bacteria
Q08A18	AROE_SHEFN	277	1.1.1.25	PF18317;PF01488;PF08501;	Bacteria
Q8J1Z2	AOX_GELSS	362	1.-.-.-	PF01786;	Eukaryota
Q20YZ3	AROE_RHOPB	277	1.1.1.25	PF18317;PF01488;PF08501;	Bacteria
A3P4L6	ASPD_BURP0	271	1.4.1.21	PF01958;PF03447;	Bacteria
B0TLD8	AROE_SHEHH	279	1.1.1.25	PF18317;PF01488;PF08501;	Bacteria
B3PVT4	AROE_RHIE6	285	1.1.1.25	PF18317;PF01488;PF08501;	Bacteria
A4SDK2	AROE_CHLPM	290	1.1.1.25	PF18317;PF08501;	Bacteria
B7V620	ARGC_PSEA8	344	1.2.1.38	PF01118;PF02774;	Bacteria
A4G075	ARGC_METM5	343	1.2.1.38	PF01118;PF02774;	Archaea
Q5HZW3	ASPH2_RAT	343	1.14.11.-	PF05118;	Eukaryota
Q3YWX7	AROE_SHISS	272	1.1.1.25	PF18317;PF01488;PF08501;	Bacteria
Q5AR53	ASQJ_EMENI	416	1.14.-.-	PF05721;	Eukaryota
Q31YK2	ARNA_SHIBS	660	2.1.2.13; 1.1.1.305	PF01370;PF02911;PF00551;	Bacteria
Q58325	ASPD_METJA	267	1.4.1.21	PF01958;PF03447;	Archaea
A7F7H0	ARO1_SCLS1	1576	4.2.3.4; 2.5.1.19; 2.7.1.71; 4.2.1.10; 1.1.1.25	PF01761;PF01487;PF00275;PF08501;PF01202;	Eukaryota
Q2YR04	AROE_BRUA2	289	1.1.1.25	PF18317;PF01488;PF08501;	Bacteria
A7GP55	ARSC_BACCN	134	1.20.4.4	PF01451;	Bacteria
A9QZ61	ASTD_YERPG	505	1.2.1.71	PF00171;	Bacteria
A7MX96	ASTD_VIBCB	485	1.2.1.71	PF00171;	Bacteria
Q12QD2	ASTD1_SHEDO	498	1.2.1.71	PF00171;	Bacteria
B5Z1R0	BETA_ECO5E	562	1.1.99.1; 1.2.1.8	PF05199;PF00732;	Bacteria
P08695	BPHC_PSEFK	303	1.13.11.39	PF00903;	Bacteria
Q2T6D0	BETA_BURTA	565	1.1.99.1; 1.2.1.8	PF05199;PF00732;	Bacteria
P50206	BPHB_PSES1	276	1.3.1.56	PF00106;	Bacteria
Q9JJS6	BCDO1_MOUSE	566	1.13.11.63	PF03055;	Eukaryota
Q02338	BDH_HUMAN	343	1.1.1.30	PF00106;	Eukaryota
Q09660	CC44_CAEEL	489	1.14.-.-	PF00067;	Eukaryota
Q0JF01	C99A3_ORYSJ	502	1.14.14.111	PF00067;	Eukaryota
B4TIH2	CAIA_SALHS	380	1.3.8.13	PF00441;PF02770;PF02771;	Bacteria
P58046	C71AF_ARATH	496	1.14.-.-	PF00067;	Eukaryota
Q9STL1	C71AM_ARATH	490	1.14.-.-	PF00067;	Eukaryota
Q9FH66	C71AG_ARATH	497	1.14.-.-	PF00067;	Eukaryota
Q9VMS9	C4AC1_DROME	509	1.14.-.-	PF00067;	Eukaryota
Q8GB20	CAIA_PROSL	380	1.3.8.13	PF00441;PF02770;PF02771;	Bacteria
W8JWW3	CA225_CATRO	538	1.14.-.-	PF00067;	Eukaryota
O49482	CADH5_ARATH	357	1.1.1.195	PF08240;PF00107;	Eukaryota
Q43135	C79A1_SORBI	558	1.14.14.36	PF00067;	Eukaryota
P26180	CHLN_PINCO	459	1.3.7.7	PF00148;	Eukaryota
A0A1D6GQ67	C71Z6_MAIZE	506	1.14.14.159	PF00067;	Eukaryota
Q9FLC8	C79A2_ARATH	529	1.14.14.40	PF00067;	Eukaryota
Q9V770	C6A17_DROME	501	1.14.-.-	PF00067;	Eukaryota
Q0I8P4	CHLL_SYNS3	296	1.3.7.7	PF00142;	Bacteria
B6HYZ0	CAIA_ECOSE	380	1.3.8.13	PF00441;PF02770;PF02771;	Bacteria
Q22230	DECR_CAEEL	309	1.3.1.34		Eukaryota
P19913	DCML_HYDPS	803	1.2.5.3	PF01315;PF02738;	Bacteria
A9M3H7	DAPB_NEIM0	269	1.17.1.8	PF05173;PF01113;	Bacteria
Q2YJN7	DAPB_BRUA2	268	1.17.1.8	PF05173;PF01113;	Bacteria
B9KP40	DAPB_RHOSK	269	1.17.1.8	PF05173;PF01113;	Bacteria
B1VXZ4	DAPB_STRGG	250	1.17.1.8	PF05173;PF01113;	Bacteria
A4JBH8	DAPB_BURVG	265	1.17.1.8	PF05173;PF01113;	Bacteria
B6JL92	DAPB_HELP2	254	1.17.1.8	PF05173;PF01113;	Bacteria
A3PYA0	DAPB_MYCSJ	245	1.17.1.8	PF05173;PF01113;	Bacteria
Q2J314	DAPB_RHOP2	271	1.17.1.8	PF05173;PF01113;	Bacteria
Q9X1K8	DAPB_THEMA	216	1.17.1.8	PF05173;PF01113;	Bacteria
B1JKZ4	DAPB_YERPY	273	1.17.1.8	PF05173;PF01113;	Bacteria
A4SD53	DAPB_CHLPM	248	1.17.1.8	PF05173;PF01113;	Bacteria
B6J4U6	DAPB_COXB1	239	1.17.1.8	PF05173;PF01113;	Bacteria
Q1IF57	DAPB_PSEE4	267	1.17.1.8	PF05173;PF01113;	Bacteria
O57314	DHB12_ANAPL	312	1.1.1.330; 1.1.1.62	PF00106;	Eukaryota
A1RVM8	DPDH_PYRIL	363	1.5.99.13	PF01266;	Archaea
Q4R5G7	DHB12_MACFA	312	1.1.1.330; 1.1.1.62	PF00106;	Eukaryota
Q8Z0C0	DFA2_NOSS1	579	1.-.-.-	PF01613;PF00753;	Bacteria
F2Z610	DHE_HALSI	416	1.4.1.-	PF00208;PF02812;	Archaea
Q23629	DHTK1_CAEEL	911	1.2.4.2	PF00676;PF16870;PF02779;	Eukaryota
P13650	DHGB_ACICA	478	1.1.5.2	PF07995;	Bacteria
B7N223	DLGD_ECO81	332	1.1.1.130	PF02615;	Bacteria
B7JW41	DAPB_RIPO1	275	1.17.1.8	PF05173;PF01113;	Bacteria
Q5R7H0	DHTK1_PONAB	919	1.2.4.2	PF00676;PF16870;PF02779;	Eukaryota
P23247	DHAS2_VIBCH	337	1.2.1.11	PF01118;PF02774;	Bacteria
P0A9R1	DHAS_SHIFL	367	1.2.1.11	PF01118;PF02774;	Bacteria
Q08352	DHA_BACSU	378	1.4.1.1	PF01262;PF05222;	Bacteria
Q13268	DHRS2_HUMAN	280	1.1.1.-		Eukaryota
P52986	DHOM_SYNY3	433	1.1.1.3	PF01842;PF00742;PF03447;	Bacteria
Q11177	DHS27_CAEEL	816	1.-.-.-	PF00106;PF07914;	Eukaryota
Q8TVI1	DHQS_METKA	402	1.4.1.24	PF01959;	Archaea
B7MMA9	E4PD_ECO45	339	1.2.1.72	PF02800;PF00044;	Bacteria
B7LFI3	E4PD_ECO55	339	1.2.1.72	PF02800;PF00044;	Bacteria
B1LDD2	E4PD_ECOSM	339	1.2.1.72	PF02800;PF00044;	Bacteria
Q7Z5J1	DHI1L_HUMAN	315	1.1.1.-	PF00106;	Eukaryota
Q7M9M7	DXR_WOLSU	358	1.1.1.267	PF08436;PF02670;PF13288;	Bacteria
B7LYU4	E4PD_ECO8A	339	1.2.1.72	PF02800;PF00044;	Bacteria
A7FFH3	DXR_YERP3	398	1.1.1.267	PF08436;PF02670;PF13288;	Bacteria
Q8D2G6	DXR_WIGBR	397	1.1.1.267	PF08436;PF02670;PF13288;	Bacteria
Q9RS64	DPS1_DEIRA	207	1.16.-.-	PF00210;	Bacteria
B7LC95	DPS_ECO55	167	1.16.-.-	PF00210;	Bacteria
Q9U8B8	DYR_HELVI	185	1.5.1.3	PF00186;	Eukaryota
P44606	DUSC_HAEIN	310	1.3.1.-	PF01207;	Bacteria
Q9CLW3	DUSB_PASMU	332	1.3.1.-	PF01207;	Bacteria
A8MHH5	DXR_ALKOO	381	1.1.1.267	PF08436;PF02670;PF13288;	Bacteria
Q63T18	DXR_BURPS	398	1.1.1.267	PF08436;PF02670;PF13288;	Bacteria
C6DEE2	DPS_PECCP	167	1.16.-.-	PF00210;	Bacteria
Q9CBW1	DYR_MYCLE	165	1.5.1.3	PF00186;	Bacteria
P78028	DYR_MYCPN	160	1.5.1.3	PF00186;	Bacteria
Q81WL4	DXR2_BACAN	380	1.1.1.267	PF08436;PF02670;PF13288;	Bacteria
C4ZA70	DXR_AGARV	380	1.1.1.267	PF08436;PF02670;PF13288;	Bacteria
B5EQQ4	DXR_ACIF5	391	1.1.1.267	PF08436;PF02670;PF13288;	Bacteria
C3L0C4	DXR_CLOB6	385	1.1.1.267	PF08436;PF02670;PF13288;	Bacteria
B8HVK1	DXR_CYAP4	387	1.1.1.267	PF08436;PF02670;PF13288;	Bacteria
Q8NP10	DXR_CORGL	392	1.1.1.267	PF08436;PF02670;PF13288;	Bacteria
Q0TPQ9	DXR_CLOP1	384	1.1.1.267	PF08436;PF02670;PF13288;	Bacteria
A4IFM3	DR9C7_BOVIN	313	1.1.1.-	PF00106;	Eukaryota
B3PQ37	DXR_RHIE6	396	1.1.1.267	PF08436;PF02670;PF13288;	Bacteria
Q8R622	DXR_FUSNN	387	1.1.1.267	PF08436;PF02670;PF13288;	Bacteria
A7NAP0	DXR_FRATF	385	1.1.1.267	PF08436;PF02670;PF13288;	Bacteria
Q4ZWS2	DXR_PSEU2	396	1.1.1.267	PF08436;PF02670;PF13288;	Bacteria
B2US45	DXR_HELPS	368	1.1.1.267	PF08436;PF02670;PF13288;	Bacteria
Q2YBA1	DXR_NITMU	395	1.1.1.267	PF08436;PF02670;PF13288;	Bacteria
B2S968	AROE_BRUA1	289	1.1.1.25	PF18317;PF01488;PF08501;	Bacteria
Q5HRI4	ARSC1_STAEQ	132	1.20.4.4	PF01451;	Bacteria
A8A0T8	ASTD_ECOHS	492	1.2.1.71	PF00171;	Bacteria
C1ESM8	AROE_BACC3	277	1.1.1.25	PF18317;PF01488;PF08501;	Bacteria
D1ZA70	ARO1_SORMK	1563	4.2.3.4; 2.5.1.19; 2.7.1.71; 4.2.1.10; 1.1.1.25	PF01761;PF01487;PF00275;PF08501;PF01202;	Eukaryota
O24174	BADH1_ORYSJ	505	1.2.1.8	PF00171;	Eukaryota
Q8X1P0	CATA_BLUGH	718	1.11.1.6	PF00199;PF06628;PF18011;	Eukaryota
P98188	C94A2_VICSA	513	1.14.-.-	PF00067;	Eukaryota
O46051	C4D14_DROME	507	1.14.-.-	PF00067;	Eukaryota
Q54SN0	C513E_DICDI	504	1.14.-.-	PF00067;	Eukaryota
Q9STK8	C71AP_ARATH	490	1.14.-.-	PF00067;	Eukaryota
Q0J6T3	CADH5_ORYSJ	354	1.1.1.195	PF08240;PF00107;	Eukaryota
B7UI85	CAIA_ECO27	380	1.3.8.13	PF00441;PF02770;PF02771;	Bacteria
Q9SAE4	C71BT_ARATH	490	1.14.-.-	PF00067;	Eukaryota
Q54LT7	C519E_DICDI	506	1.14.-.-	PF00067;	Eukaryota
O65790	C81F1_ARATH	500	1.14.-.-	PF00067;	Eukaryota
P54207	CHLL_SYNE7	286	1.3.7.7	PF00142;	Bacteria
Q6YXP4	CHLN_PHYPA	474	1.3.7.7	PF00148;	Eukaryota
Q54QD0	C5174_DICDI	483	1.14.-.-	PF00067;	Eukaryota
Q8CPT6	CDR_STAES	438	1.8.1.14	PF07992;PF02852;	Bacteria
A0A3G9HAL8	CDMF_TALVE	256	1.1.1.-		Eukaryota
P9WPR4	CCO_MYCTO	501	1.13.11.-	PF03055;	Bacteria
P00431	CCPR_YEAST	361	1.11.1.5	PF00141;	Eukaryota
O32085	CDOA_BACSU	161	1.13.11.20	PF05995;	Bacteria
P9WP89	COBK_MYCTU	244	1.3.1.54	PF02571;	Bacteria
Q6G6B0	CRTP_STAAS	497	1.14.99.-	PF01593;	Bacteria
Q7WT72	CRTDH_FLAS9	488	1.3.99.27	PF01593;	Bacteria
A4G1T0	COQ7_HERAR	211	1.14.99.60	PF03232;	Bacteria
Q12573	CP52W_CANAP	519	1.14.14.-	PF00067;	Eukaryota
O15528	CP27B_HUMAN	508	1.14.15.18	PF00067;	Eukaryota
Q14IS8	COQ7_FRAT1	211	1.14.99.60	PF03232;	Bacteria
Q92104	CP11B_LITCT	517	1.14.15.4	PF00067;	Eukaryota
O46658	CP2DP_PIG	500	1.14.15.15	PF00067;	Eukaryota
Q9GQM9	CP6L1_BLAGE	503	1.14.-.-	PF00067;	Eukaryota
E9Q816	CP2W1_MOUSE	493	1.14.14.-	PF00067;	Eukaryota
Q9VRM7	CP307_DROME	543	1.14.-.-	PF00067;	Eukaryota
Q2UG11	CPAO_ASPOR	455	1.21.99.1		Eukaryota
B2UCY7	COQ7_RALPJ	217	1.14.99.60	PF03232;	Bacteria
P22680	CP7A1_HUMAN	504	1.14.14.26; 1.14.14.23	PF00067;	Eukaryota
F5HN72	CPAO_ASPOZ	455	1.21.99.1		Eukaryota
Q8XVH7	COQ7_RALSO	211	1.14.99.60	PF03232;	Bacteria
Q9EPT4	CP11A_MESAU	520	1.14.15.6	PF00067;	Eukaryota
P15129	CP4B1_RAT	511	1.14.14.1	PF00067;	Eukaryota
P22443	CP19A_RAT	508	1.14.14.14	PF00067;	Eukaryota
Q57KH7	CYSJ_SALCH	599	1.8.1.2	PF00667;PF00258;PF00175;	Bacteria
Q64403	CP2DG_CAVPO	500	1.14.14.1	PF00067;	Eukaryota
Q00557	CP1A1_MESAU	524	1.14.14.1; 4.2.1.152	PF00067;	Eukaryota
Q5TCH4	CP4AM_HUMAN	519	1.14.14.80	PF00067;	Eukaryota
Q92113	CP17A_SQUAC	509	1.14.14.19; 1.14.14.32	PF00067;	Eukaryota
Q925G2	CYBR1_MOUSE	290	1.-.-.-	PF03188;	Eukaryota
G4MWB2	CYP3B_MAGO7	513	1.-.-.-	PF00067;	Eukaryota
A0K5P0	DADA_BURCH	428	1.4.99.-	PF01266;	Bacteria
Q9PUB4	CP26A_CHICK	492	1.14.13.-	PF00067;	Eukaryota
A0A0U2V7I8	CYP3_USTMD	540	1.-.-.-	PF00067;	Eukaryota
P33274	CP4F1_RAT	524	1.14.14.94	PF00067;	Eukaryota
Q8FVC0	DADA_BRUSU	416	1.4.99.-	PF01266;	Bacteria
Q3JQ00	DADA_BURP1	428	1.4.99.-	PF01266;	Bacteria
Q5QJ60	CYND4_CYNDA	522	1.-.-.-	PF08031;PF01565;	Eukaryota
P04800	CP3A1_RAT	504	1.14.14.1	PF00067;	Eukaryota
B5F429	CYSH_SALA4	244	1.8.4.8	PF01507;	Bacteria
Q5PEH8	CYSI_SALPA	570	1.8.1.2	PF01077;PF03460;	Bacteria
B7VI85	CYSI_VIBTL	575	1.8.1.2	PF01077;PF03460;	Bacteria
Q0HYB3	CYSI_SHESR	565	1.8.1.2	PF01077;PF03460;	Bacteria
Q8K9D3	CYSJ_BUCAP	602	1.8.1.2	PF00667;PF00258;PF00175;	Bacteria
Q1MIP9	CTAA_RHIL3	367	1.3.-.-	PF02628;	Bacteria
C0Q0F3	CYSG_SALPC	457	2.1.1.107; 1.3.1.76; 4.99.1.4	PF10414;PF14824;PF00590;	Bacteria
Q31VS0	CYSG_SHIBS	457	2.1.1.107; 1.3.1.76; 4.99.1.4	PF10414;PF14824;PF00590;	Bacteria
B7N6Z6	CYSH_ECOLU	244	1.8.4.8	PF01507;	Bacteria
A1KL82	CYSH_MYCBP	254	1.8.4.8	PF01507;	Bacteria
Q2G350	CTAA_NOVAD	350	1.3.-.-	PF02628;	Bacteria
B3CLF8	CTAA_WOLPP	331	1.3.-.-	PF02628;	Bacteria
A7GMW0	CYSH_BACCN	234	1.8.4.8	PF01507;	Bacteria
A8A5H5	CYSG_ECOHS	457	2.1.1.107; 1.3.1.76; 4.99.1.4	PF10414;PF14824;PF00590;	Bacteria
B9IV11	CYSH_BACCQ	234	1.8.4.8	PF01507;	Bacteria
Q8ZEL7	DADA_YERPE	434	1.4.99.-	PF01266;	Bacteria
B6ELM6	CYSH_ALISL	253	1.8.4.8	PF01507;	Bacteria
B7UW11	CYSG_PSEA8	465	2.1.1.107; 1.3.1.76; 4.99.1.4	PF10414;PF14824;PF00590;	Bacteria
Q3YWQ3	CYSG_SHISS	457	2.1.1.107; 1.3.1.76; 4.99.1.4	PF10414;PF14824;PF00590;	Bacteria
Q6HLD4	CYSH_BACHK	234	1.8.4.8	PF01507;	Bacteria
P79699	CP19A_COTJA	327	1.14.14.14	PF00067;	Eukaryota
E2JA28	DDAC_ENTAG	329	1.-.-.-	PF02668;	Bacteria
Q6CZS0	CYSG2_PECAS	459	2.1.1.107; 1.3.1.76; 4.99.1.4	PF10414;PF14824;PF00590;	Bacteria
Q5RBV3	DECR2_PONAB	292	1.3.1.34		Eukaryota
Q15392	DHC24_HUMAN	516	1.3.1.72	PF01565;	Eukaryota
Q54KB7	DHE3_DICDI	502	1.4.1.3	PF00208;PF02812;	Eukaryota
Q47950	DHE3_PYRAB	420	1.4.1.3	PF00208;PF02812;	Archaea
P95596	DLDH_RHOCA	454	1.8.1.4	PF07992;PF02852;	Bacteria
P0C934	DHE2_PORGI	445	1.4.1.2	PF00208;PF02812;	Bacteria
P31026	DHE4_CORGL	447	1.4.1.4	PF00208;PF02812;	Bacteria
P07262	DHE4_YEAST	454	1.4.1.4	PF00208;PF02812;	Eukaryota
Q6H3Y7	DHE3_ORYSJ	411	1.4.1.3	PF00208;PF02812;	Eukaryota
P16421	DHSS_ANACY	383	1.12.-.-	PF00266;	Bacteria
Q4PHU4	DOHH_USTMA	360	1.14.99.29		Eukaryota
P0A1F9	DHAS_SALTI	368	1.2.1.11	PF01118;PF02774;	Bacteria
Q8FCR6	DHAS_ECOL6	367	1.2.1.11	PF01118;PF02774;	Bacteria
O31219	DHAS_LEGPN	347	1.2.1.11	PF01118;PF02774;	Bacteria
Q7S891	DOHH_NEUCR	324	1.14.99.29		Eukaryota
B5FLE5	DLGD_SALDC	332	1.1.1.130	PF02615;	Bacteria
P0C1D8	DHAS_CORGL	344	1.2.1.11	PF01118;PF02774;	Bacteria
P0A392	DHLE_BACCR	366	1.4.1.9	PF00208;PF02812;	Bacteria
B0R336	DHQS_HALS3	387	1.4.1.24	PF01959;	Archaea
P00393	DHNA_ECOLI	434	1.6.99.3	PF07992;	Bacteria
A0L0K7	E4PD_SHESA	338	1.2.1.72	PF02800;PF00044;	Bacteria
Q7MHL0	E4PD_VIBVY	346	1.2.1.72	PF02800;PF00044;	Bacteria
C6DFH8	E4PD_PECCP	338	1.2.1.72	PF02800;PF00044;	Bacteria
B7UHW9	E4PD_ECO27	339	1.2.1.72	PF02800;PF00044;	Bacteria
Q05763	DRTS2_ARATH	565	1.5.1.3; 2.1.1.45	PF00186;PF00303;	Eukaryota
B4THF4	E4PD_SALHS	348	1.2.1.72	PF02800;PF00044;	Bacteria
Q23695	DRTS_CRIFA	515	1.5.1.3; 2.1.1.45	PF00186;PF00303;	Eukaryota
Q47KB1	DYP_THEFY	430	1.11.1.19	PF04261;	Bacteria
Q5V600	DYR2_HALMA	167	1.5.1.3	PF00186;	Archaea
Q8CIY2	DUOX1_RAT	1551	1.11.1.-; 1.6.3.1	PF03098;PF00036;PF08022;PF01794;PF08030;	Eukaryota
O31546	DUS2_BACSU	325	1.3.1.-	PF01207;	Bacteria
P51820	DRTS_SOYBN	530	1.5.1.3; 2.1.1.45	PF00186;PF00303;	Eukaryota
Q1REB2	DPS_ECOUT	167	1.16.-.-	PF00210;	Bacteria
Q0T616	EFEB_SHIF8	421	1.11.1.-	PF04261;	Bacteria
Q8EAJ0	DUSA_SHEON	335	1.3.1.-; 1.3.1.91	PF01207;	Bacteria
O04847	DV4H_CATRO	401	1.14.11.20	PF03171;PF14226;	Eukaryota
K0E678	ECDG_ASPRU	338	1.14.-.-	PF03171;	Eukaryota
Q81B49	DXR1_BACCR	385	1.1.1.267	PF08436;PF02670;PF13288;	Bacteria
B7GQ02	DXR_BIFLS	396	1.1.1.267	PF08436;PF02670;PF13288;	Bacteria
A7A1S5	DUS3_YEAS7	668	1.3.1.89	PF01207;	Eukaryota
A2QAU6	DUS3_ASPNC	748	1.3.1.89	PF01207;	Eukaryota
B5FP96	DPS_SALDC	167	1.16.-.-	PF00210;	Bacteria
A3M654	DXR_ACIBT	398	1.1.1.267	PF08436;PF02670;PF13288;	Bacteria
A4JF69	DXR_BURVG	398	1.1.1.267	PF08436;PF02670;PF13288;	Bacteria
Q8Y8G1	DPS_LISMO	156	1.16.-.-	PF00210;	Bacteria
Q884C6	DUSC_PSESM	317	1.3.1.-	PF01207;	Bacteria
Q64PY9	DXR_BACFR	388	1.1.1.267	PF08436;PF02670;PF13288;	Bacteria
B3DQ62	DXR_BIFLD	396	1.1.1.267	PF08436;PF02670;PF13288;	Bacteria
Q3JR34	DXR_BURP1	398	1.1.1.267	PF08436;PF02670;PF13288;	Bacteria
