Entry,uniref50id,EC number,Taxonomic lineage (SUPERKINGDOM),EMBL_CDS_id
P30008,UniRef50_P30008,1.8.7.1,Bacteria,ABB56051.1
Q5KX35,UniRef50_P58667,1.17.7.3,Bacteria,BAD76751.1
A5GQ77,UniRef50_P31087,1.97.1.12,Bacteria,CAK27036.1
C1AYB3,UniRef50_Q53WH9,1.2.1.10,Bacteria,BAH54108.1
Q7UZS3,UniRef50_P72848,1.3.3.3,Bacteria,CAE20041.1
D5VGV4,UniRef50_C9QZ64,1.14.99.46,Bacteria,ADG10547.1
Q2NVE9,UniRef50_P40861,1.2.1.41,Bacteria,BAE73876.1
A8FFW6,UniRef50_C8WR67,1.1.1.86,Bacteria,ABV63133.1
P0A395,UniRef50_P0A394,1.5.1.16; 1.5.1.11,Bacteria,CAA25174.1
Q9AQ97,UniRef50_Q9AQ99,1.1.1.86,Bacteria,AAK01027.1
Q8P1F1,UniRef50_P65666,1.1.1.169,Bacteria,AAL97561.1
C5BR49,UniRef50_C5BR49,1.1.1.290,Bacteria,ACR11693.1
P0AEK5,UniRef50_P16657,1.3.1.9,Bacteria,AAG56524.1
P0AEK5,UniRef50_P16657,1.3.1.9,Bacteria,BAB35284.1
Q3YVX3,UniRef50_Q8EKN9,1.1.1.94,Bacteria,AAZ90339.1
O67232,UniRef50_O67251,1.-.-.-,Bacteria,AAC07200.1
Q700X4,UniRef50_Q700X4,1.14.11.43,Bacteria,CAF32813.1
Q5FG15,UniRef50_Q2GHC3,1.1.1.94,Bacteria,CAI28135.1
Q9X2A2,UniRef50_Q9X2A2,1.2.1.38,Bacteria,AAD36845.1
Q87AS0,UniRef50_Q9HYF4,1.1.5.4,Bacteria,AAO29586.1
C4ZYA1,UniRef50_A6T9Y6,1.4.3.5,Bacteria,ACR65349.1
C1DRI9,UniRef50_C1DRI9,1.2.1.10,Bacteria,ACO77727.1
Q2RRM4,UniRef50_Q2RRM4,1.2.1.38,Bacteria,ABC23221.1
A5IVY0,UniRef50_Q4A0E7,1.2.1.88,Bacteria,ABQ50353.1
Q5HKZ5,UniRef50_P94498,1.8.4.8,Bacteria,AAW53010.1
Q0A961,UniRef50_C1I202,1.6.5.2,Bacteria,ABI56626.1
A6URJ1,UniRef50_Q6M1B0,1.4.1.24,Archaea,ABR55113.1
B9JD13,UniRef50_Q92QR7,1.2.1.38,Bacteria,ACM26150.1
A9MH27,UniRef50_Q7N571,1.1.1.79; 1.1.1.81,Bacteria,ABX21747.1
Q7W850,UniRef50_Q7VX83,1.4.1.21,Bacteria,CAE37593.1
Q7W977,UniRef50_Q7WHJ0,1.14.11.55,Bacteria,CAE37192.1
B4EKD5,UniRef50_B4EKD5,1.3.1.9,Bacteria,CAR56514.1
A0LCZ1,UniRef50_Q3SG61,1.2.1.41,Bacteria,ABK45834.1
A3Q9C6,UniRef50_P59309,1.2.1.38,Bacteria,ABO22074.1
Q5KXG9,UniRef50_P54550,1.6.99.1,Bacteria,BAD76617.1
B3E8C4,UniRef50_B5EGQ4,1.7.1.17,Bacteria,ACD95161.1
A5CW97,UniRef50_A1AX01,1.2.1.70,Bacteria,BAF61787.1
Q87ST5,UniRef50_P58717,1.1.1.262,Bacteria,BAC58600.1
Q83R81,UniRef50_Q8X9S9,1.7.1.17,Bacteria,AAN43371.1
Q83R81,UniRef50_Q8X9S9,1.7.1.17,Bacteria,AAP16862.1
B2TTB0,UniRef50_Q60006,1.5.1.5; 3.5.4.9,Bacteria,ACD07032.1
P28304,UniRef50_P28304,1.6.5.5,Bacteria,AAA23691.1
P28304,UniRef50_P28304,1.6.5.5,Bacteria,AAC43145.1
P28304,UniRef50_P28304,1.6.5.5,Bacteria,AAC77021.1
P28304,UniRef50_P28304,1.6.5.5,Bacteria,BAE78053.1
A4W6X5,UniRef50_P40861,1.2.1.41,Bacteria,ABP59455.1
Q888A4,UniRef50_Q48MT7,1.6.3.5,Bacteria,AAO54655.1
B5E4Y3,UniRef50_O05269,1.7.1.7,Bacteria,ACF56688.1
C4K2Y8,UniRef50_Q9ZC86,1.3.3.3,Bacteria,ACR47933.1
C3LVU3,UniRef50_P39185,1.9.6.1,Bacteria,ACP07598.1
P72324,UniRef50_P72324,1.1.1.1; 1.1.1.-; 1.1.1.284,Bacteria,AAB09774.1
P72324,UniRef50_P72324,1.1.1.1; 1.1.1.-; 1.1.1.284,Bacteria,ABA78733.1
O33686,UniRef50_P0A4J6,1.15.1.1,Bacteria,CAB09362.1
O33686,UniRef50_P0A4J6,1.15.1.1,Bacteria,CAB16335.1
O33686,UniRef50_P0A4J6,1.15.1.1,Bacteria,CAB16336.1
A0L7X6,UniRef50_Q5ZZ95,1.4.4.2,Bacteria,ABK44069.1
P81102,UniRef50_P81102,1.-.-.-,Bacteria,AAB81173.1
P81102,UniRef50_P81102,1.-.-.-,Bacteria,AAB72053.1
P81102,UniRef50_P81102,1.-.-.-,Bacteria,CAB13846.1
Q28SE8,UniRef50_Q5LSJ4,1.13.11.6,Bacteria,ABD54364.1
B2SUY3,UniRef50_C3K053,1.1.-.-,Bacteria,ACD56688.1
Q400K4,UniRef50_P17295,1.13.11.16,Bacteria,AAQ10534.1
P80491,UniRef50_P80491,1.12.98.1,Archaea,CAA74092.1
P80491,UniRef50_P80491,1.12.98.1,Archaea,AAZ69432.1
Q974S8,UniRef50_Q974S8,1.11.1.15,Archaea,BAK54339.1
B2U5C2,UniRef50_C3K053,1.1.-.-,Bacteria,ACD10439.1
A9WZ04,UniRef50_Q9ANL0,1.11.1.15,Bacteria,ABY39670.1
Q5NZG9,UniRef50_C3K601,1.1.1.267,Bacteria,CAI09545.1
Q0TRF3,UniRef50_P58675,1.17.7.4,Bacteria,ABG83019.1
Q8D849,UniRef50_Q87MS5,1.8.4.12,Bacteria,AAO11459.2
Q3BQZ6,UniRef50_Q128T0,1.14.11.-,Bacteria,CAJ24817.1
Q74BW9,UniRef50_K4LVZ1,1.1.1.86,Bacteria,AAR35285.1
P32816,UniRef50_P32816,1.1.1.6,Bacteria,AAA22477.1
Q0HX57,UniRef50_Q9KTX1,1.17.7.3,Bacteria,ABI42298.1
E7FHN9,UniRef50_E7FHN9,1.12.98.4,Archaea,AAF61851.1
E7FHN9,UniRef50_E7FHN9,1.12.98.4,Archaea,AAL81453.1
B9JD11,UniRef50_Q7CZN9,1.3.-.-,Bacteria,ACM26148.1
Q39VU8,UniRef50_Q74D29,1.1.1.25,Bacteria,ABB31626.1
B7UFL9,UniRef50_P39185,1.9.6.1,Bacteria,CAS09898.1
Q5WHI2,UniRef50_Q5WHI2,1.1.1.25,Bacteria,BAD64173.1
B6JH72,UniRef50_Q6N5Q6,1.1.1.267,Bacteria,ACI93082.1
B6JH72,UniRef50_Q6N5Q6,1.1.1.267,Bacteria,AEI06769.1
A5UAS0,UniRef50_Q8EKN9,1.1.1.94,Bacteria,ABQ97871.1
B7GH18,UniRef50_K4LVZ1,1.1.1.86,Bacteria,ACJ32974.1
O84835,UniRef50_Q9Z6S4,1.17.4.1,Bacteria,AAC68425.1
Q9KD18,UniRef50_P54482,1.17.7.3,Bacteria,BAB05120.1
P76553,UniRef50_P76553,1.1.-.-,Bacteria,AAC75506.2
P76553,UniRef50_P76553,1.1.-.-,Bacteria,BAA16331.1
B0K4D2,UniRef50_Q9X2A2,1.2.1.38,Bacteria,ABY91965.1
A2BUP5,UniRef50_Q7VDS2,1.17.7.4,Bacteria,ABM71506.1
Q39DG2,UniRef50_Q1LK00,1.13.11.11,Bacteria,ABB09504.1
Q3JRQ3,UniRef50_Q82XV0,1.17.7.3,Bacteria,ABA48559.1
P61746,UniRef50_Q2RND0,1.1.1.94,Bacteria,CAE25698.1
Q59985,UniRef50_Q9ZH99,1.1.1.42,Bacteria,AAA98355.1
Q828K8,UniRef50_Q828K8,1.13.11.54; 1.13.11.53,Bacteria,BAC74372.1
Q6N9J7,UniRef50_P0DJN9,1.14.13.81,Bacteria,CAE26993.1
P0A088,UniRef50_Q5WH73,1.8.4.12,Bacteria,AAK83252.1
P0A088,UniRef50_Q5WH73,1.8.4.12,Bacteria,ABD30523.1
B5XPH2,UniRef50_P00459,1.18.6.1,Bacteria,ACI11459.1
B1JKC0,UniRef50_P40402,1.14.14.5,Bacteria,ACA66725.1
A8GS71,UniRef50_Q9ZD32,1.5.1.5; 3.5.4.9,Bacteria,ABV76246.1
Q2W064,UniRef50_P93052,1.1.1.37,Bacteria,BAE52761.1
Q2FH42,UniRef50_Q49XJ8,1.17.1.8,Bacteria,ABD22356.1
A1VBA6,UniRef50_Q728Q5,1.7.1.17,Bacteria,ABM27722.1
B9E9F9,UniRef50_Q8FLV6,1.1.1.27,Bacteria,BAH16870.1
A1WDX8,UniRef50_Q59680,1.1.1.94,Bacteria,ABM55835.1
P15047,UniRef50_P15047,1.3.1.28,Bacteria,AAA16103.1
P15047,UniRef50_P15047,1.3.1.28,Bacteria,AAA76836.1
P15047,UniRef50_P15047,1.3.1.28,Bacteria,AAB40796.1
P15047,UniRef50_P15047,1.3.1.28,Bacteria,AAC73697.1
P15047,UniRef50_P15047,1.3.1.28,Bacteria,BAE76351.1
A7GNY4,UniRef50_P54550,1.6.99.1,Bacteria,ABS21842.1
Q9AJD6,UniRef50_Q9AJD6,1.1.3.12,Bacteria,BAB39853.1
P22320,UniRef50_P22320,1.12.1.2,Bacteria,AAC06143.1
P22320,UniRef50_P22320,1.12.1.2,Bacteria,AAP85844.1
O84381,UniRef50_O84381,1.1.1.37,Bacteria,AAC67972.1
Q0AMW9,UniRef50_Q0C566,1.3.1.98,Bacteria,ABI66368.1
B4SEU9,UniRef50_Q8KBD8,1.17.1.8,Bacteria,ACF44625.1
C4ZPV7,UniRef50_Q8ZRX8,1.17.1.8,Bacteria,ACR62758.1
Q7CJY7,UniRef50_Q8EG21,1.5.1.5; 3.5.4.9,Bacteria,CAL21437.1
Q7CJY7,UniRef50_Q8EG21,1.5.1.5; 3.5.4.9,Bacteria,AAM84688.1
Q7CJY7,UniRef50_Q8EG21,1.5.1.5; 3.5.4.9,Bacteria,AAS61114.1
Q0C3K3,UniRef50_Q0C3K3,1.7.1.17,Bacteria,ABI78756.1
Q87KU1,UniRef50_Q9KV66,1.3.1.-,Bacteria,BAC61147.1
Q32K21,UniRef50_P56933,1.1.1.85,Bacteria,ABB60336.1
C7QJ42,UniRef50_C7QJ42,1.14.11.-,Bacteria,ACU69184.1
B1LM32,UniRef50_P28793,4.2.1.17; 5.1.2.3; 5.3.3.8; 1.1.1.35,Bacteria,ACB20011.1
B1Z1S8,UniRef50_B4EKD5,1.3.1.9,Bacteria,ACB67783.1
B9MDS3,UniRef50_Q5P6G9,1.7.1.13,Bacteria,ACM34082.1
A7GSF4,UniRef50_A7GSF4,1.2.1.38,Bacteria,ABS23062.1
A3MTM6,UniRef50_A8MC03,1.1.1.261,Archaea,ABO07993.1
Q3JCS0,UniRef50_Q820Q4,2.1.1.107; 1.3.1.76; 4.99.1.4,Bacteria,ABA57376.1
B2GHT4,UniRef50_B0RIK6,1.3.5.2,Bacteria,BAG29637.1
C0RHC3,UniRef50_A6WWA8,1.4.3.5,Bacteria,ACO00231.1
P0A406,UniRef50_P0A405,1.97.1.12,Bacteria,CAA45304.1
A6QIQ2,UniRef50_C8WR67,1.1.1.86,Bacteria,BAF68234.1
P9WGP8,UniRef50_P9WGP8,1.-.-.-,Bacteria,AAK47506.1
A6QEP0,UniRef50_Q49VE0,1.11.1.-,Bacteria,BAF66822.1
A2SQU1,UniRef50_Q2FTL0,1.2.1.70,Archaea,ABN06697.1
Q768T5,UniRef50_A0QTU8,1.14.13.227,Bacteria,BAD03956.2
Q3Z5Y1,UniRef50_A9MR43,1.17.7.4,Bacteria,AAZ86831.1
Q979N7,UniRef50_Q974S8,1.11.1.15,Archaea,BAB60265.1
Q7MIS5,UniRef50_Q87MM3,4.2.1.17; 5.1.2.3; 1.1.1.35,Bacteria,BAC95204.1
Q3M4S2,UniRef50_Q3M4S2,1.7.1.13,Bacteria,ABA24014.1
Q8DIV4,UniRef50_P0A444,1.10.3.9,Bacteria,BAC09029.1
C0PZ88,UniRef50_Q83QN1,1.3.3.3,Bacteria,ACN45371.1
Q0AHU2,UniRef50_A2SD47,1.2.1.70,Bacteria,ABI59090.1
Q3Z7C7,UniRef50_P00459,1.18.6.1,Bacteria,AAW39625.1
Q83RE8,UniRef50_P39831,1.1.1.381; 1.1.1.298,Bacteria,AAN43145.2
Q83RE8,UniRef50_P39831,1.1.1.381; 1.1.1.298,Bacteria,AAP17037.1
C5CXD8,UniRef50_Q7NWQ6,1.5.1.5; 3.5.4.9,Bacteria,ACS18794.1
P57655,UniRef50_P05989,1.1.1.86,Bacteria,BAB13284.1
P57655,UniRef50_P05989,1.1.1.86,Bacteria,AAK01029.1
P12676,UniRef50_P12676,1.1.3.6; 5.3.3.1,Bacteria,AAA26719.1
Q1MHV8,UniRef50_Q8UG34,1.7.1.17,Bacteria,CAK07452.1
P0C0J2,UniRef50_P0C0J2,1.1.1.27,Bacteria,AAV27786.1
B1MHK0,UniRef50_A0QPD3,1.-.-.-,Bacteria,CAM64081.1
P84820,UniRef50_Q51799,1.2.7.1; 1.2.7.7,Archaea,EHR79315.1
A5FZM1,UniRef50_O59651,1.11.1.21,Bacteria,ABQ31053.1
F4BEN2,UniRef50_F4BEN2,1.17.99.6,Bacteria,AEB27724.1
A3PEU9,UniRef50_Q7VA53,1.7.1.13,Bacteria,ABO18274.1
Q5ZZ97,UniRef50_Q2YCK3,1.4.4.2,Bacteria,AAU26221.1
B7UK62,UniRef50_A7ME22,1.6.5.2,Bacteria,CAS11149.1
C3NZS9,UniRef50_Q81C25,1.1.5.4,Bacteria,ACQ47121.1
A1KUZ8,UniRef50_Q888N4,1.1.1.86,Bacteria,CAM10697.1
A9AGH1,UniRef50_Q1LK00,1.13.11.11,Bacteria,ABX14413.1
A9AGH1,UniRef50_Q1LK00,1.13.11.11,Bacteria,BAG44433.1
P0A8G8,UniRef50_Q8X4B4,1.6.5.2,Bacteria,AAN42634.1
P0A8G8,UniRef50_Q8X4B4,1.6.5.2,Bacteria,AAP16518.1
A8A2L0,UniRef50_Q9KT58,4.2.1.17; 5.1.2.3; 1.1.1.35,Bacteria,ABV06764.1
Q8XFA5,UniRef50_Q8CM25,1.10.3.9,Bacteria,BAB75989.1
Q8XFA5,UniRef50_Q8CM25,1.10.3.9,Bacteria,BAB76247.1
A0RPL8,UniRef50_Q9PPM1,1.17.7.3,Bacteria,ABK82969.1
Q9ZKE7,UniRef50_O25151,1.11.1.15,Bacteria,AAD06572.1
C3PGV9,UniRef50_Q50441,1.11.1.15,Bacteria,ACP33063.1
Q6GFZ8,UniRef50_Q6LX40,1.4.1.1,Bacteria,CAG40778.1
Q5HPE6,UniRef50_Q49XJ8,1.17.1.8,Bacteria,AAW54298.1
Q92EQ7,UniRef50_P42412,1.2.1.-; 1.2.1.27,Bacteria,CAC95634.1
A7Z3T1,UniRef50_Q7NEF6,1.2.1.41,Bacteria,ABS73657.1
P58672,UniRef50_Q9KTX1,1.17.7.3,Bacteria,CAL21490.1
P58672,UniRef50_Q9KTX1,1.17.7.3,Bacteria,AAM84926.1
P58672,UniRef50_Q9KTX1,1.17.7.3,Bacteria,AAS62933.1
P9WPP5,UniRef50_P63708,1.14.-.-,Bacteria,CCP43513.1
A3PF83,UniRef50_Q93SN8,1.3.7.2,Bacteria,ABO18408.1
B2TWA2,UniRef50_Q7N2B2,1.1.1.290,Bacteria,ACD07262.1
P9WKD4,UniRef50_Q9CCE3,1.10.3.-,Bacteria,AAK46492.1
Q8Z9L2,UniRef50_B4EY23,1.3.8.13,Bacteria,CAD01227.1
Q8Z9L2,UniRef50_B4EY23,1.3.8.13,Bacteria,AAO67807.1
Q9ZA11,UniRef50_Q9FDS1,1.2.1.3,Bacteria,BAA75070.1
Q9ZA11,UniRef50_Q9FDS1,1.2.1.3,Bacteria,ABC21732.1
Q4L975,UniRef50_Q4L975,1.3.8.-,Bacteria,BAE03800.1
Q8TXG3,UniRef50_Q8TXG3,1.1.1.23,Archaea,AAM01925.1
P9WIZ9,UniRef50_P9WIZ8,1.-.-.-,Bacteria,CCP44805.1
B1X9D1,UniRef50_C8U5H2,1.-.-.-,Bacteria,ACB02211.1
Q81JK8,UniRef50_P54375,1.15.1.1,Bacteria,AAP29328.1
