P0CW05	AAM30191.1
A5GPT0	CAK24945.1
A6VHX1	ABR66047.1
Q87EL2	AAO28178.1
B6HZ30	BAG75574.1
A3P4L6	ABN94857.1
A4G861	CAL62698.2
P61526	AAS82043.1
B2SDP9	ACD31263.1
B0TLD8	ABZ74611.1
B6J892	ACJ20491.1
A2BJL6	ABM80177.1
Q0T0B0	ABF05255.1
B3PVT4	ACE89007.1
A1SB13	ABM01570.1
A4SDK2	ABP36561.1
B5QXQ2	CAR35487.1
A7MMW6	ABU79204.1
B7V620	CAW25368.1
Q9CEU0	AAK05842.1
Q8DLW0	BAC07918.1
B5F845	ACH52941.1
B9MRP5	ACM60349.1
B7LK89	CAQ91477.1
B7GVV0	ACJ58422.1
O83567	AAC26560.1
Q9RVD3	AAF10666.1
Q63X54	CAH34676.1
A4G075	ABO35859.1
C6DJG0	ACT15259.1
B7N583	CAR13232.1
Q3YWX7	AAZ89985.1
Q07VN9	ABJ03995.1
A6UBS2	ABR61102.1
B6I2U7	BAG79174.1
Q3J2J0	ABA78994.1
Q31YK2	ABB66856.1
Q8Y0Y6	CAD14609.1
Q71Y92	AAT04722.1
C1B4I1	BAH55170.1
A9H0U2	CAP57173.1
A9H0U2	ACI52862.1
A5I5A4	ABS37966.1
A5I5A4	CAL84231.1
Q8CPU3	AAO04254.1
B7LS90	CAQ90833.1
Q8K939	AAM68062.1
Q822F7	AAP05467.1
A0LLU6	ABK18398.1
Q5LIQ7	CAH05969.1
Q5M0L5	AAV62241.1
A9N159	ABX67362.1
B7MG24	CAR03686.1
A2BZ94	ABM73105.1
B7MAQ3	CAR03052.1
Q6D872	CAG74013.1
Q03LG8	ABJ65954.1
A1TKW2	ABM31600.1
B0U6K0	ACA11716.1
Q5E3U6	AAW86300.1
Q0TNY3	ABG83177.1
Q58325	AAB98920.1
C1FPC5	ACO84771.1
C6DAW3	ACT13947.1
A8GLK7	ABV43997.1
A3D4A6	ABN61569.1
A1JPP5	CAL12261.1
A1ATU4	ABL00765.1
P61190	AAS09710.1
B6HZI8	BAG75933.1
Q6MHP7	CAE78285.1
A1RJF8	ABM24803.1
Q92ME6	CAC47256.1
Q5PHC1	AAV77471.1
A6TZT3	ABR51701.1
Q1JHJ1	ABF33745.1
Q2S9Q5	ABC32619.1
Q1C8B1	ABG13311.1
A5UAU8	ABQ97899.1
Q329T3	ABB63922.1
A9N275	ABX67424.1
A5FRZ6	ABQ17028.1
Q2YR04	CAJ12026.1
A7GP55	ABS21913.1
A6WNA1	ABS08290.1
B8D7T4	ACL30199.1
Q8FFM2	AAN81250.1
A9QZ61	ABX86840.1
C5C5T3	ACQ80274.1
B5FKP3	ACH75891.1
Q0SI58	ABG92778.1
B5YXP9	ACI38416.1
B7USC9	CAS09424.1
Q21A81	ABD86705.1
Q12CG7	ABE43775.1
A5EXJ7	ABQ14078.1
A7MX96	ABU69137.1
Q730Z4	AAS43173.1
Q4FP38	AAZ21051.1
A1W6C8	ABM41803.1
Q1B9H4	ABG08460.1
Q12QD2	ABE54344.1
B8DYT2	ACK41464.1
B5RFW3	CAR39357.1
O26278	AAB84682.1
Q74N90	AAR38979.1
B5EYZ6	ACH52777.1
A3CM14	ABN44219.1
Q7WF89	CAE34754.1
Q2Y8G9	ABB74952.1
Q3YZN2	AAZ89030.1
A1KW11	CAM11067.1
Q3KJA2	ABA72154.1
C0R5I6	ACN95028.1
A9W2R3	ABY29869.1
P05038	CAA26340.1
Q6GEX2	CAG41172.1
A9AVV2	ABX06702.1
A6TU88	ABR49756.1
A4G1F1	CAL60338.1
Q2YKB8	CAJ12910.1
B3E599	ACD96086.1
B2JKL8	ACC70845.1
C0RI93	ACO00551.1
P66950	AAL21388.1
A7H303	ABS43401.1
Q255G8	BAE81070.1
B1Y1E7	ACB34246.1
B5Z1R0	ACI38177.1
Q17VA0	CAK00426.1
P08695	AAA25753.1
Q2T6D0	ABC35233.1
B4RLI6	ACF29673.1
B0V8X8	CAM87764.1
P14489	AAB60534.1
P14489	AAA25648.1
P50206	BAA04140.1
Q8D8N2	AAO11271.1
Q5DZH9	AAW87817.2
A0KF11	ABK36065.1
Q02Y22	ABJ73150.1
P00864	CAA29332.1
P00864	AAC43062.1
P00864	AAC76938.1
P00864	BAE77355.1
P00864	CAA25847.1
P00733	CAA39319.1
A5N646	EDK32777.1
Q4J9A0	AAY80630.1
B2IR74	ACB90793.1
B2JZD9	ACC87112.1
C4KGR1	ACR41775.1
C4KJM8	ACR40748.1
Q8KDC5	AAM72362.1
B7KNJ8	ACK81946.1
P61988	CAF30759.1
A4TBY6	ABP46215.1
B4EW50	CAR44665.1
Q05628	AAA27255.1
Q05628	AAL20936.1
A5VHN6	ABQ82360.1
A1UFK4	ABL91612.1
Q0TRE4	ABG83743.1
O28126	AAB89084.1
B4TIH2	ACF69378.1
A7ZHC9	ABV18658.1
Q63W75	CAH35009.1
Q97Y84	AAK41681.1
Q57TI9	AAX63972.1
A6VN94	ABR74441.1
O07431	CCP42914.1
Q8GB20	CAD48579.1
O66727	AAC06674.1
Q8U086	AAL81837.1
B1LNM1	ACB15759.1
Q0I8P4	ABI46262.1
B6HYZ0	BAG75564.1
B5YJS1	ACI20463.1
B2I9F9	ACB92053.1
B2K504	ACC90806.1
Q608K0	AAU92477.1
Q8KRT5	AAM91930.1
Q8KRT5	AAT40584.1
Q8KRT5	CBJ91835.1
Q8FA51	AAN83888.1
Q0I2N7	ABI25023.1
B2UUU1	ACD48623.1
B7N2V7	CAV18211.1
Q3MGA0	ABA19986.1
Q7NRS9	AAQ61363.1
Q9CLE6	AAK03375.1
A6VMI0	ABR74177.1
Q92J26	AAL02781.1
Q7N931	CAE12816.1
A1S477	ABL99183.1
Q01399	BAA14413.1
Q8P4F9	AAM43006.1
O34925	AAB72065.1
O34925	AAB81164.1
O34925	CAB13854.1
Q9RV25	AAF10775.1
B2VE16	CAO95932.1
A8GIE9	ABV42889.1
B9L8Q2	ACM92285.1
Q9CIS4	AAK04380.1
B3W7C1	CAQ65267.1
Q8Y5V1	CAD00032.1
G3XD76	BAA75911.1
G3XD76	AAG07054.1
A8ALX7	ABV14490.1
Q31I42	ABB41181.1
Q8D5P5	AAO07786.1
Q032G8	ABJ71904.1
P95477	CAA70530.1
A6TXS4	ABR50992.1
A1KVL1	CAM10915.1
Q476V3	AAZ59580.1
Q1GZ04	ABE50533.1
A0QIQ8	ABK67759.1
B7KQM2	ACK83786.1
C3PMU6	ACP53256.1
B2JHF8	ACC71843.1
A7H8W4	ABS25160.1
Q18B86	CAJ68077.1
A5CSL3	CAN02084.1
A0K488	ABK07315.1
A5VJ57	ABQ82881.1
A1KM64	CAL72727.1
B4E6J0	CAR53783.1
Q2Y641	ABB75780.1
A5EMF5	ABQ37349.1
Q87XN2	AAO57600.1
Q0TG25	ABG70104.1
P57962	AAK03787.1
Q0HJ36	ABI38931.1
Q1GIU7	ABF63419.1
P57948	AAK03643.1
B5FNU5	ACH75293.1
Q57AJ2	AAX75342.1
B7HUS8	ACJ79092.1
Q9ZDB7	CAA14872.1
Q1MA15	CAK10225.2
Q13DT7	ABE37752.1
Q83BZ9	AAO90841.2
Q81U23	AAP25050.1
Q81U23	AAT30170.2
Q81U23	AAT53323.1
A8GC41	ABV40681.1
A3DNG5	ABN70175.1
B0K292	ABY93043.1
Q2GCG4	ABD45817.1
B3PDU1	ACE84576.1
B7M7Q6	CAR00971.1
A9VI98	ABY42241.1
Q0VTE1	CAL15579.1
B2UA12	ACD27706.1
Q7WQS9	CAE30745.1
A7GS09	ABS22917.1
C1DFV8	ACO76285.1
B2TXP7	ACD09797.1
B6IPH8	ACI99680.1
B9L8M1	ACM92401.1
P19913	AAD00363.1
B0CJG6	ABY38918.1
Q9JXM2	AAF42304.1
D2Z025	BAI70376.1
A6GVN8	CAL42160.1
Q8ZW23	AAL63879.1
Q82X50	CAD84356.1
A9KCZ5	ABS77403.2
Q9HK20	CAC11919.1
A8AKS6	ABV14089.1
Q11TJ6	ABG59268.1
A9R2H7	ABX88696.1
A9WT08	ABY23946.1
Q5FUW9	AAW59858.1
A9M3H7	ABX74071.1
Q2YJN7	CAJ13178.1
A0K9K6	ABK09183.1
B9KTA6	ACM03284.1
Q72U22	AAS69456.1
B9KP40	ACM02362.1
B1VXZ4	BAG18610.1
A7MHG9	ABU76420.1
A4JBH8	ABO53631.1
Q9HU20	AAG08550.1
Q8EQJ1	BAC13664.1
A8ZUK5	ABW68037.1
B7H6W7	ACK61460.1
B9KHN3	ACM48995.1
A6UWW5	ABR56987.1
B6JL92	ACJ07670.1
B6JGA4	ACI92955.1
B6JGA4	AEI06889.1
A3PYA0	ABN97877.1
Q7NS72	AAQ61216.1
Q2J314	ABD05146.1
Q474W3	AAZ60070.1
Q5P236	CAI08628.1
Q9X1K8	AAD36587.1
Q7VKK9	AAP96618.1
P43797	AAC21921.1
B1JKZ4	ACA69851.1
A8Z3X3	ABX29341.1
C4K288	ACR47685.1
Q9AKJ9	CAC33657.1
A4XSW1	ABP84427.1
B4S5J5	ACF45592.1
B1JDB7	ACA74455.1
A0RR66	ABK82585.1
Q8XRN1	CAD17951.1
A4SD53	ABP36412.1
B5E4D5	ACF55846.1
B9JWL2	ACM36640.1
Q97R25	AAK75130.1
B6J4U6	ACJ19611.1
A6URH2	ABR55094.1
Q1IF57	CAK13697.1
Q55418	BAA10516.1
Q3AGW5	ABB36167.1
B2SI43	ACD60285.1
Q7WHW8	CAE33580.1
O29150	AAB90127.1
Q9PLC9	AAF39049.1
A1RVM8	BAB88883.1
A1RVM8	ABL89010.1
O26366	AAB84772.1
B8GFL8	ACL16066.1
B6YW36	ACJ17402.1
A8A8L4	ABU81266.1
A3DMX9	ABN69989.1
Q8Z0C0	BAB77702.1
F2Z610	AAW19066.1
B1IQI0	ACA79113.1
Q8ZBM5	CAL21972.1
Q8ZBM5	AAM84393.1
Q8ZBM5	AAS60577.1
Q8U1Z6	AAL81182.1
P13650	CAA33881.1
B7N223	CAR10394.2
B7JW41	ACK65730.1
P9WMR8	AAK46969.1
P23247	CAA39048.1
P23247	CAA75569.1
P23247	AAF95253.1
Q8X8L4	AAG59026.1
Q8X8L4	BAB38183.1
Q59156	CAA67184.1
Q59156	ACM60539.1
Q2MFP1	CAF32374.1
P76237	AAC74856.2
P76237	BAA15587.2
O28088	AAB89061.1
P9WNU4	AAK45935.1
Q9PJJ7	AAF39632.1
Q99ZA6	AAK34156.1
Q99ZA6	AAZ51691.1
C1FLS8	ACO84729.1
Q4UN15	AAY61043.1
P0A9R1	AAN44916.2
P0A9R1	AAP19265.1
C1B1S4	BAH54769.1
A5U776	ABQ74876.1
Q08352	AAA16038.1
Q08352	CAB04775.1
Q08352	CAB15181.1
Q6YQD6	BAD04523.1
A8M5E3	ABV97017.1
P72588	BAA16588.1
P52986	BAA10325.1
Q1GVQ2	ABF52270.1
Q8FZQ3	AAN30333.1
Q8FZQ3	AEM18749.1
P0A1G9	AAA86422.1
P0A1G9	AAC44792.1
P0A1G9	AAL19221.1
P0A1G9	AAA27192.2
B2GDS9	BAG27811.1
A4SYV5	ABP34669.1
P44121	AAA95982.1
P44121	AAC22836.1
P44121	AAC22846.1
Q8TVI1	AAM02621.1
Q2NFJ8	ABC57405.1
Q32DE2	ABB62663.1
Q8CXK6	BAC12716.1
B2TIZ7	ACD22265.1
A1BDQ5	ABL64532.1
A7IA21	ABS56582.1
B0TDL0	ABZ85535.1
Q28PE1	ABD55421.1
A6W7L4	ABS02803.1
B7MMA9	CAR04438.1
A3NKA8	ABN85870.2
A4FYP1	ABO35325.1
Q8D357	BAC24290.1
A9A6D8	ABX01126.1
Q12CQ9	ABE43683.1
A9NHW0	ABX81940.1
A9IW95	CAK01920.1
Q48NX0	AAZ35348.1
B8DU32	ACL29511.1
B7LFI3	CAU99194.1
Q0VR01	CAL16397.1
Q15W93	ABG39845.1
Q0TUN8	ABG82220.1
Q03I82	ABJ67090.1
A5IKD4	ABQ46657.1
B1LDD2	ACB15704.1
Q5YTA2	BAD58589.1
Q72U01	AAS69477.1
Q7M9M7	CAE09925.1
B7LYU4	CAQ99862.1
Q9S5E2	BAA83344.1
Q9S5E2	CAG77421.1
Q9S5E2	BAE07067.1
Q58488	AAB99089.1
B9JAL7	ACM25700.1
O59610	BAA31074.1
A3PYK6	ABN97983.1
Q9HH84	CAC12850.1
P9WNP0	AAK45175.1
Q5WF63	BAD64997.1
A7FFH3	ABS47902.1
Q8D2G6	BAC24534.1
P77933	BAA06142.2
P77933	BAD84190.1
Q47BJ0	AAZ47791.1
A7I2V7	ABS51357.1
Q9RS64	AAF11811.1
A5FRB9	ABQ17259.1
B7LC95	CAU96722.1
Q6G4D1	CAF27244.1
Q65HJ2	AAU41472.1
Q65HJ2	AAU24113.2
P44606	AAC21936.1
Q9CLW3	AAK03171.1
A8MHH5	ABW19062.1
Q63T18	CAH36155.1
C6DEE2	ACT12627.1
Q9CBW1	CAC30469.1
P9WNR6	AAK48350.1
P78028	AAB96163.1
Q81WL4	AAP27688.1
Q81WL4	AAT33073.1
Q81WL4	AAT55974.1
C4ZA70	ACR75511.1
Q8XHV2	BAB82080.1
C5CGW6	ACR80635.1
P40735	BAA10983.1
P40735	CAB11921.2
P40735	AAA22219.1
B5EQQ4	ACH83404.1
B2HD97	ACC41234.1
Q87NZ6	BAC59985.1
C3L0C4	ACQ51795.1
Q21LH6	ABD80453.1
B8HVK1	ACL46313.1
Q8NP10	BAB99409.1
Q8NP10	CAF20356.1
Q1Q8K9	ABE75994.1
Q3JD71	ABA57225.1
A9KXA7	ABX47503.1
Q1GNW6	ABF54656.1
Q2FXU2	ABD30812.1
A8AZ80	ABV09326.1
B8I3F5	ACL76298.1
Q0TPQ9	ABG82870.1
Q0C1P4	ABI77652.1
P63998	AAN00800.1
Q0HQC0	ABI44685.1
Q5X9T5	AAT87828.1
B2RM63	BAG34458.1
B3PQ37	ACE93049.1
Q8R622	AAL95520.1
A7NAP0	ABU61043.1
Q7MTG7	AAQ66965.1
Q9V2R8	CAB48930.1
Q9V2R8	CCE69373.1
Q4ZWS2	AAY36400.1
B2US45	ACD47677.1
Q2YBA1	ABB73970.1
B3H319	ACE62689.1
Q4L6X8	BAE04597.1
A0RUG0	ABK76977.1
A9MXC1	ABX70132.1
B2S968	ACD73420.1
P58687	AAL20283.1
Q5HRI4	AAW53573.1
P0CZ78	AAM79151.1
A7MVW7	ABU71096.1
Q9A435	AAK24970.1
Q5H3H4	AAW74497.1
P56073	AAD07220.1
Q8A602	AAO77191.1
Q1Q8Q8	ABE75945.1
A8A0T8	ABV06142.1
Q4JVG1	CAI37196.1
Q1AW05	ABG04423.1
C5BL71	ACR14400.1
C1ESM8	ACO29972.1
C4LB08	ACQ94211.1
B7HVH9	ACJ77163.1
B7MG93	CAR03755.1
A9MFF9	ABX21564.1
B1I6J9	ACA60626.1
Q5NLU3	AAV90317.1
P80358	AAC46011.1
P80358	AAG04286.1
B4EZG9	CAR43746.1
B3GZB8	ACE62604.1
A1UR47	ABM45491.1
B2SEX9	ACD30224.1
A7GV58	ABS24016.1
A4XAW2	ABP56061.1
Q5NQY9	AAV88865.1
A3QJR0	ABO25708.1
A8F004	ABV73937.1
A1U7H6	ABM20945.1
Q92LK8	CAC47613.1
P45269	AAC23250.1
B8J638	ACL66933.1
C3NHZ5	ACP48755.1
A8G779	ABV51460.1
Q9CPN2	AAK02089.1
A6V1A0	ABR84834.1
P0A4X5	AAB96957.1
P0A4X5	SIU00199.1
Q6D606	CAG74785.1
Q318G7	ABB50728.1
Q9HI95	CAC12566.1
Q03LF7	ABJ65965.1
A9AA91	ABX02264.1
Q1RKE4	ABE04170.1
Q7WIP8	CAE33295.1
A8MG25	ABW18563.1
B2T6V1	ACD18123.1
Q9A4D6	AAK24862.1
A0KFU8	ABK39687.1
Q8Z9L8	AAB66481.1
Q8Z9L8	CAD01220.1
Q8Z9L8	AAO67800.1
P0DA12	AAM79168.1
P0C2S1	AAC06139.1
P31551	CAA52114.1
P31551	AAC73147.2
P31551	BAB96605.2
B7UI85	CAS07588.1
Q05E21	BAF34780.1
Q5PIR4	AAV79673.1
B7GPW1	ACJ51841.1
B7GPW1	BAJ68341.1
A0A0H3B0B8	ACA66878.1
P54207	CAA47923.1
P54207	ABB57449.1
B0R6F1	CAP14320.1
Q2FQQ4	ABD41574.1
Q4KG36	AAY90966.1
Q65RG8	AAU38442.1
Q9HU05	AAG08569.1
Q9HU05	AAK73353.1
B7M1E5	CAQ98650.1
C6DDS7	ACT12539.1
Q2KV65	CAJ48634.1
Q2LR65	ABC76572.1
Q1BRL2	ABF77743.1
A5G222	ABQ31904.1
Q8CPT6	AAO04266.1
P44459	AAC21700.1
Q0TGV2	ABG69827.1
Q12X42	ABE51984.1
Q92S04	AAA86679.1
Q92S04	CAC45216.1
B7NPE0	CAR20260.1
B0R4J5	CAP13660.1
Q9I6V7	AAG03565.1
D9IA43	ADI99999.1
B3GYJ4	ACE62225.1
Q74DS2	AAR34619.1
Q88GG4	AAN69354.1
P9WPR4	AAK44908.1
Q87T89	BAC58444.1
C0RFX5	ACO01797.1
B5YEA6	ACI18414.1
Q0TBH5	ABG71704.1
O32085	CAB15092.1
A0AKF8	CAK21490.1
B7M3C8	CAQ98921.1
B9JXX1	ACM35001.1
B0BQ73	ABY69708.1
Q82DL5	BAC72673.1
B0REL6	CAQ00863.1
B3EQL4	ACE04047.1
Q603L5	AAU91098.1
A8AKV0	ABV14113.1
B4UCU5	ACG73342.1
B9L9C2	ACM93281.1
A3DEX9	ABN52508.1
Q6AFJ7	AAT88848.1
C5CFP6	ACR80394.1
Q7MY37	CAE17228.1
P9WP89	CCP44844.1
P0A9J9	AAG57710.1
P0A9J9	BAB36885.1
A4JI00	ABO55903.1
B7JSQ5	ACK90876.1
Q3A3X5	ABA88932.1
A4W599	ABP58879.1
Q2GJ76	ABD43910.1
Q09KQ6	ABM06247.1
Q09KQ6	ABI49649.1
A1UIA4	ABL92562.1
A5D447	BAF58985.1
B2TJ12	ACD23628.1
Q2G3T3	ABD27490.1
C1L254	CAS04920.1
Q31AW9	ABB49976.1
B8ZU51	CAR70325.1
A4VIY1	ABP78932.1
Q49VZ2	BAE19068.1
Q38VS6	CAI55707.1
Q0TGW2	ABG69817.1
C1DQT0	ACO77603.1
B3PFU2	ACE84434.1
Q3B314	ABB24267.1
Q1QUG4	ABE59894.1
A0AF20	CAK19602.1
B8F3G3	ACL31865.1
Q21SD6	ABD71317.1
Q1RJM0	ABE04444.1
P63830	BAB57850.1
B5YR15	ACI38021.1
B7MW64	CAR08330.2
Q28NI7	ABD55725.1
P63785	BAB56930.1
A8FM27	ABV52514.1
B0K1X4	ABY93022.1
Q8D2R5	BAC24435.1
Q7MJ72	BAC95054.1
B0K2K2	ABY91622.1
Q8E1A6	AAM99357.1
A1VE85	ABM28751.1
A8A1K5	ABV06409.1
Q03SM3	ABJ63799.1
Q3J3E2	ABA78692.1
B5EI27	ACH38291.1
A0L2N9	ABK50308.1
C4XH03	BAH76308.1
Q1GB31	CAI97454.1
Q2JLD5	ABD02476.1
Q5GT26	AAW70848.1
Q8FGA5	AAN80936.1
Q8CPD8	AAO04594.1
Q5Z0M4	BAD56017.1
A1A8P2	ABJ00032.1
Q6G4C6	CAF27249.1
