scientific_name,temp,dif,taxid
Roseovarius confluentis,28.0,0.0,1852027
Micrococcus diversus,30.0,0.0,
Aromatoleum toluvorans,30.0,0.0,92002
Mycobacterium koreense,37.0,0.0,
Serratia vespertilionis,28.0,0.0,1521428
Streptomyces enissocaesilis,28.0,0.0,332589
Streptomyces viridobrunneus,28.0,0.0,284041
Chaetomium thermophilum var. thermophilum,45.0,0.0,285224
Volvulina pringsheimii,20.0,0.0,47793
Halomonas subterranea,29.0,0.0,416874
Blautia hydrogenotrophica,37.0,0.0,53443
Acetobacterium sp.,30.0,0.0,1872094
Fusarium javanicum,25.0,0.0,
Methylobacterium mesophilicum,27.0,0.22222222222222232,39956
Carnobacterium maltaromaticum,30.0,0.7647058823529399,2751
Filobasidium capsuligenum,20.0,0.0,
Streptomyces intermedius,29.0,0.0,53449
Nocardia elegans,29.0,0.0,300029
Leptospira interrogans Kuwait,29.0,0.0,
Tetragenococcus halophilus subsp. halophilus,30.0,0.0,1513897
Ashbya gossypii,22.0,0.0,
Leptospira  uncertain Banna,29.0,0.0,
Lactobacillus siliginis,33.5,0.0,348151
Haemophilus massiliensis,37.0,0.0,1461579
Bacillus thuringiensis  medellin,0.0,0.0,
Laminaria digitata,10.0,0.0,80365
Mycobacterium riyadhense,34.5,0.0,486698
Actinoalloteichus hymeniacidonis,29.0,0.0,340345
Streptomyces alboniger,28.0,0.0,132473
Salmonella enterica enterica Enteritidis,30.0,2.1,
Marinobacter persicus,28.0,0.0,930118
Micromonospora pattaloongensis,28.0,0.0,405436
Nocardiopsis exhalans,28.0,0.0,163604
Thioalkalibacter halophilus,30.0,0.0,469656
Hydrogenophaga crassostreae,20.0,0.0,1763535
Serratia fonticola,29.33333333333333,0.500000000111111,47917
Mangrovibacter plantisponsor,28.0,0.0,451513
Sphaerotrichia divaricata,10.0,0.0,86906
Kuckuckia kylinii,10.0,0.0,
Photobacterium iliopiscarium,17.5,0.0,56192
Desulfatibacillum alkenivorans,30.0,0.0,259354
Clostridium hungatei,30.0,0.0,
Bacillus thuringiensis  leesis,0.0,0.0,
Desulfovibrio mexicanus,37.0,0.0,147047
Lysinibacillus sphaericus,30.0,3.628571428666666,1421
Thermomonas koreensis,28.0,0.0,341470
Mucor circinelloides var. griseocyanus,24.0,0.0,
Desulfohalotomaculum peckii,60.0,0.0,1236215
Pseudomonas gessardii,30.0,0.0,78544
Caloramator australicus,60.0,0.0,515264
Lactobacillus delbrueckii lactis,37.0,0.0,
Fictibacillus enclensis,30.0,0.0,1017270
Aeromonas enteropelogenes,32.333333333333336,0.6888888887777777,29489
Chryseobacterium chaponense,26.5,0.0,713588
Hoeflea alexandrii,30.0,0.0,288436
Noviherbaspirillum malthae,30.0,0.0,1260987
Persicitalea jodogahamensis,27.5,0.0,402147
Aliivibrio finisterrensis,28.0,0.0,511998
Salmonella enterica enterica Typhimurium,30.0,0.225806452,
Deinococcus proteolyticus,31.75,1.75,55148
Pseudomonas aeruginosa 13,30.0,0.0,
Aeromonas taiwanensis,29.0,0.0,633417
Corynebacterium renale,37.0,0.8425925925925926,1724
Aureobasidium pullulans,24.0,0.5,5580
Corynebacterium confusum,37.0,0.0,71254
Fodinicurvata sediminis,28.0,0.0,1121832
Nocardia xishanensis,28.0,0.0,238964
Georgenia ruanii,28.0,0.0,348442
Rhodococcus subtropicus,30.0,0.0,2545757
Nitrincola lacisaponensis,32.5,0.0,267850
Alloiococcus otitis,37.0,0.0,1652
Tuwongella immobilis,30.0,0.0,692036
Bradyrhizobium liaoningense,29.0,0.0,43992
Vibrio ponticus,25.0,0.0,265668
Drechslera erythrospila,22.0,0.0,139228
Trichosporon cutaneum,25.0,0.0,
Bacillus pseudomycoides,30.0,0.0,64104
Mucilaginibacter auburnensis,29.0,0.0,1457233
Pontibacter aurantiacus,28.0,0.0,1697944
Streptococcus equi subsp. equi,37.0,0.0,148942
Farysizyma acheniorum,20.0,0.0,
Phyllobacterium endophyticum,22.0,0.0,1149773
Virgibacillus natechei,30.0,0.0,1216297
Rahnella variigena,29.5,0.5,574964
Pandoraea pulmonicola,37.0,0.0,93221
Terrabacter aerolatus,29.0,0.0,422442
Salmonella enterica enterica Thompson,30.0,0.0,
Phytobacter ursingii,30.0,5.0,1972431
Streptomyces geysiriensis,28.0,0.0,68207
Marinobacter lutaoensis,41.0,0.0,135739
Methanosarcina barkeri,35.0,1.45,2208
Thiomicrospira crunogena,25.0,1.25,
Aneurinibacillus sediminis,42.0,0.0,1776164
Pullulanibacillus camelliae,35.0,0.0,1707096
Amphibacillus jilinensis,30.0,0.0,1216008
Campylobacter lari,37.0,0.4705882352941175,201
Paraliobacillus quinghaiensis,30.0,0.0,470815
Paenibacillus baekrokdamisoli,20.0,0.0,1712516
Roseivivax isoporae,25.0,0.0,591206
Streptomyces griseoaurantiacus,29.0,0.0,68213
Streptomyces olivoverticillatus,28.0,0.0,66427
Devosia chinhatensis,28.0,0.0,429727
Bradyrhizobium daqingense,32.0,0.0,993502
Haemophilus felis,37.0,0.0,
Haloferula rosea,28.0,0.0,490093
Intrasporangium flavum,30.0,0.0,1428657
Murinocardiopsis flavida,29.0,0.0,645275
Neptuniibacter pectenicola,25.0,0.0,1806669
Nesterenkonia halotolerans,28.0,0.0,225325
Agathobacter rectalis,37.0,0.0,
Sphingobacterium changzhouense,25.0,0.0,1324946
Cyanobium gracile,18.0,0.0,59930
Sphingorhabdus marina,30.0,0.0,
Sphingosinicella microcystinivorans,29.0,0.0,335406
Streptomyces jeddahensis,50.0,0.0,1716141
Sulfurospirillum cavolei,30.0,0.0,366522
Yersinia similis,30.0,0.0,367190
Mycosphaerella pinodes,24.0,0.0,
Shigella flexneri 1,30.0,0.0,
Bacillus cereus,30.0,0.5933755882032533,1396
Paracoccus chinensis,32.0,0.0,525640
Streptococcus mitis,37.0,0.0,28037
Fusarium chlamydosporum,25.0,0.0,86545
Pseudoxanthomonas dokdonensis,29.0,0.0,344882
Undibacterium arcticum,16.0,0.0,1762892
Klenkia terrae,28.0,0.0,1052259
Burkholderia sordidicola,28.0,0.0,
Sporosarcina luteola,30.0,0.0,582850
Bacillus ligniniphilus,30.0,0.0,1134413
Anaerobaculum thermoterrenum,50.0,0.0,
Desulfohalobium utahense,30.0,0.0,332174
Marinobacter maritimus,23.5,0.0,277961
Marinospirillum sp.,28.0,0.8,2183934
Okibacterium endophyticum,28.0,0.0,1521118
Clostridium thermoalcaliphilum,50.0,0.0,
Haemophilus somnus,37.0,0.0,
Escherichia sp.,37.0,0.0,1884818
Terrimonas ferruginea,30.0,0.0,249
Pelistega europaea,37.0,0.0,106147
Photorhabdus hainanensis,28.0,0.0,1004166
Aureimonas phyllosphaerae,28.0,0.0,1166078
Kribbella antibiotica,29.0,0.0,190195
Natrinema pellirubrum,37.0,0.0,69525
Actinomyces oricola,37.0,0.0,206043
Tremella indecorata,22.0,0.0,71787
Ulva linza,15.0,0.0,63409
Penicillium verrucosum,23.0,1.0,60171
Bacillus sphaericus  ,0.0,0.0,
Lactobacillus casei subsp. pseudoplantarum,30.0,0.0,
Listeria welshimeri,36.0,1.55,1643
Methylobacterium fujisawaense,30.0,0.0,107400
Sphingomonas zeicaulis,25.0,0.0,1632740
Schwanniomyces occidentalis,25.0,0.0,27300
Christensenella minuta,37.0,0.0,626937
Sphingomonas agri,24.0,0.0,1813878
Pseudomonas coronafaciens,28.0,0.0,53409
Hydrogenophaga defluvii,29.0,0.0,249410
Aeromonas salmonicida masoucida,22.0,0.0,
Aquimarina longa,17.0,0.0,1080221
Pseudanabaena cenerea,20.0,0.0,
Soonwooa buanensis,28.0,0.0,619805
Streptomyces krungchingensis,26.0,0.0,1565034
Pontibacillus litoralis,30.0,0.0,516703
Conyzicola lurida,25.0,0.0,1172621
Legionella gresilensis,37.0,0.0,91823
Thermotalea metallivorans,42.0,0.0,520762
Streptomyces albus albus,30.0,0.0,
Streptoverticillium reticulum subsp. protomycicum,28.0,0.0,1433416
Pseudodonghicola xiamenensis,28.0,0.0,337702
Pseudomonas psychrophila,27.5,0.0,122355
Taphrina wiesneri,20.0,0.0,5012
Stropharia rugosoannulata,24.0,0.3,68746
Legionella pneumophila pneumophila 6,37.0,0.0,
Devosia glacialis,20.0,0.0,866566
Empedobacter stercoris,37.0,3.0,1628248
Nocardioides fonticola,31.0,0.0,450363
Rhizopus oryzae,30.0,0.0,64495
Bacillus sphaericus  H40,0.0,0.0,
Pseudomonas aeruginosa 1,30.0,0.0,
Micromonospora phytophila,28.0,0.0,709888
Propioniferax innocua,37.0,0.0,1753
Rugosimonospora africana,28.0,0.0,556532
Desulfonatronospira delicata,30.0,0.0,488938
Treponema succinifaciens,37.0,0.0,167
Cellulosimicrobium sp.,28.0,0.0,1871614
Rhodococcus hoagii,29.0,1.18548387096774,43767
Brevibacterium salitolerans,37.0,0.0,1403566
Mycetohabitans rhizoxinica,28.0,0.0,
Streptomyces chitinivorans,50.0,0.0,1257027
Enterobacter hormaechei subsp. hormaechei,30.0,0.0,301105
Micromonospora inositola,28.0,0.0,47865
Leucosporidium scottii,15.0,0.0,5278
Clostridium sporosphaeroides,37.0,0.0,
Kingella oralis,37.0,0.0,505
Mazzaella splendens,10.0,0.0,29236
Sphingobacterium sp.,30.0,2.875,341027
Sorangium bulgaricum,28.0,0.0,2093423
Mycobacterium lehmannii,37.0,0.0,2048550
Zeaxanthinibacter aestuarii,36.0,0.0,1796906
Paenibacillus macquariensis subsp. defensor,25.0,0.0,467974
Escherichia coli O127: K63(B8),30.0,0.0,
Pseudopleurococcus printzii,20.0,0.0,1400012
Sphingomonas yunnanensis,29.0,0.0,310400
Alkalibacillus flavidus,35.0,0.0,546021
Knoellia aerolata,28.0,0.0,442954
Chryseobacterium nakagawai,28.0,0.0,1241982
Agrocybe aegerita,24.0,0.666666667,5400
Tenacibaculum litoreum,22.0,0.0,321269
Herminiimonas arsenicoxydans,29.0,0.0,204773
Meiothermus cerbereus,50.0,0.0,65552
Paracoccus aminophilus,30.0,0.0,34003
Pelobacter carbinolicus,30.0,0.0,19
Stigmatella erecta,28.0,0.04255319124468085,83460
Streptomyces ghanaensis,28.0,0.0,
Glomerella cingulata,24.0,0.0,
Methanobacterium aarhusense,40.0,0.0,256826
Algoriphagus marisflavi,30.0,0.0,2006132
Epicoccum sp.,24.0,0.0,1859956
Brevibacillus agri,32.5,4.57142857142857,51101
Oceanobacillus pacificus,30.0,0.0,1247518
Halorubrum californiensis DSM 19288,37.0,0.0,1227465
Kerstersia sp.,34.0,0.0,1930783
Vitreoscilla stercoraria,26.0,0.0,61
Thermosipho geolei,70.0,0.0,117503
Rufusiella insignis,20.0,0.0,
Ecklonia radiata,10.0,0.0,309355
Campylobacter canadensis,37.0,0.0,449520
Deinococcus enclensis,28.0,0.0,1049582
Geobacillus icigianus,55.0,0.0,1430331
Lechevalieria atacamensis,28.0,0.0,531938
Botrydiopsis arrhiza,20.0,0.0,
Arthrobacter roseus,24.5,2.5,136274
Demequina salsinemoris,28.0,0.0,577470
Hirschia maritima,28.0,0.0,1121961
Nitritalea halalkaliphila,37.0,0.0,590849
Nocardia donostiensis,28.0,0.0,1538463
Clostridium ganghwense,35.0,0.0,312089
Janibacter sanguinis,37.0,0.0,256549
Actinomycetospora atypica,28.0,0.0,1290095
Nocardia africana,29.0,0.0,134964
Clostridium ljungdahlii,37.0,0.0,1538
Thermococcus fumicolans,85.0,0.0,46540
Tsukamurella pseudospumae,28.0,0.0,239498
Haemophilus canis,37.0,0.0,
Pseudoalteromonas luteoviolacea,24.0,0.6666666666666666,43657
Tianweitania sediminis,28.0,0.0,1502156
Allostreptomyces psammosilenae,30.0,0.0,1892865
Methylobacillus flagellatus,30.0,0.0,405
Photobacterium kishitanii,23.66666666666667,1.88888888888889,318456
Mucilaginibacter fluminis,26.0,0.0,1472866
Vibrio gallicus,25.0,0.0,190897
Mycoplasma hafezii,37.0,0.0,
Shimwellia pseudoproteus,29.66666666666667,0.5555555555555557,570012
Bacteroides congonensis,37.0,0.0,1871006
Vogesella fluminis,28.0,0.0,1069161
Burkholderia unamae,30.0,0.0,
Gaetbulibacter saemankumensis,29.0,0.0,311208
Vibrio rhizosphaerae,28.0,0.0,398736
Pseudidiomarina aquimaris,28.0,0.0,
Deinococcus carri,28.0,0.0,1211323
Pedobacter ruber,20.0,0.0,990371
Bacillus pacificus,30.0,0.0,2026187
Azonexus fungiphilus,28.0,0.0,146940
Bradyrhizobium paxllaeri,28.0,0.0,190148
Aquimarina hainanensis,26.0,0.0,1578017
Saccharopolyspora lacisalsi,37.0,0.0,1000566
Lactobacillus concavus,37.0,0.0,287844
Lactobacillus johnsonii,37.0,0.0,33959
Xiangella phaseoli,28.0,0.0,1144548
Natronorubrum thiooxidans,30.0,0.0,308853
Paraburkholderia hospita,29.0,0.0,169430
Treponema azotonutricium,20.0,0.0,150829
Reichenbachiella agariperforans,26.5,0.0,156994
Roseibacterium elongatum,26.5,0.0,159346
Oerskovia sp.,28.0,0.0,1915060
Cylindrocarpon faginatum,26.0,0.0,303666
Leohumicola sp.,22.0,0.0,1955105
Cryobacterium mesophilum,28.0,0.0,433647
Hansschlegelia zhihuaiae,28.0,0.0,405005
Glycomyces rutgersensis,30.25,2.25,58115
Mycobacterium chelonae,37.0,1.46153846153846,
Perithalia caudata,10.0,0.0,461192
Corynebacterium lipophiloflavum,37.0,0.0,161889
Streptomyces polychromogenes,28.0,0.0,67342
Massilimalia sp.,37.0,0.0,
Chaetomium indicum,24.0,0.0,
Pseudomonas saponiphila,29.0,0.0,556534
Roseomonas terpenica,25.0,0.0,433613
Bipolaris maydis,24.0,0.0,5016
Streptomyces thioluteus,29.0,0.0,66431
Lactobacillus gorillae,37.0,0.0,1450649
Actinomyces coleocanis,37.0,0.0,
Leptospira borgpetersenii Dikkeni,29.0,0.0,
Campylobacter mucosalis,37.0,0.4761904761904767,202
Olsenella scatoligenes,37.0,0.0,1299998
Porphyridium sp. ,20.0,0.0,
Streptomyces abikoensis,29.0,0.0,97398
Acetonema longum,30.0,0.0,2374
Clostridium tepidum,44.0,4.0,1962263
Haoranjiania flava,29.0,0.0,1856322
Lentibacillus jeotgali,28.0,0.0,558169
Bartonella vinsonii subsp. arupensis,37.0,0.0,110578
Streptomyces mentougouensis,28.0,0.0,
Litorihabitans aurantiacus,28.0,0.0,
Zobellia laminariae,21.0,0.0,248906
Grateloupia okamurae,10.0,0.0,1134035
Blastochloris sulfoviridis,25.0,0.0,50712
Hypomyces semitranslucens,22.0,0.0,193391
Oscillatoria mougeotii,20.0,0.0,
Paenibacillus chungangensis,28.0,0.0,696535
Hymenobacter latericoloratus,28.0,0.0,1411121
Haemophilus haemolyticus,37.0,0.0,726
Nalanthamala diospyri,26.0,0.0,259996
Pseudomonas aeruginosa 4,30.0,0.0,
Flavobacterium eburneum,22.0,0.0,1842667
Pseudoalteromonas denitrificans,12.5,0.0,43656
Listeria thailandensis,37.0,0.0,2268407
Brevundimonas sp.,28.0,2.325,1871086
Streptococcus parasanguinis,37.0,0.0,1318
Paenibacillus prosopidis,29.0,0.0,630520
Nitrincola alkalilacustris,24.0,0.0,1571224
Rhodococcus agglutinans,28.0,0.0,1644129
Cobetia amphilecti,23.0,0.0,1055104
Metschnikowia pulcherrima,25.0,1.25,27326
Chroococcidiopsis cubana,18.0,0.0,171392
Lactobacillus curtus,22.0,0.0,1746200
Neoscardovia arbecensis,37.0,0.0,1004583
Halovivax asiaticus JCM 14624,37.0,0.0,1227490
Galdieria  sulphuraria,37.0,0.0,
Stereum complicatum,25.0,0.0,5645
Candida versatilis,22.0,0.0,
Meiothermus timidus,50.0,0.0,307124
Salmonella enterica enterica Bovismorbificans,30.0,0.0,
Methanolobus taylorii,37.0,0.0,38025
Cercospora apii,24.0,0.0,132184
Pseudonocardia thermophila,43.75,1.25,1848
Micromonospora yasonensis,28.0,0.0,1128667
Shinella curvata,24.0,0.0,1817964
Streptomonospora arabica,28.0,0.0,412417
Lysinibacillus sp.,31.75,2.3333333335,1869345
Azotobacter beijerinckii,30.0,0.0,170623
Edaphobacter acidisoli,26.0,0.0,2040573
Algicola sagamiensis,26.5,0.0,163869
Mycobacterium elephantis,37.0,0.3333333333333333,
Auricularia mesenterica,27.5,2.5,160862
Chloropicon roscoffensis,20.0,0.0,1461544
Lampropedia hyalina,29.66666666666667,0.5555555555555557,198706
Massilia solisilvae,24.0,0.0,1811225
Aeromicrobium flavum,26.5,0.0,416568
Cribrihabitans marinus,30.0,0.0,1227549
Flavobacterium macrobrachii,25.0,0.0,591204
Mesorhizobium alhagi,28.0,0.0,475067
Pedobacter panaciterrae,17.0,0.0,363849
Streptococcus pneumoniae 28A,37.0,0.0,
Adlercreutzia mucosicola,37.0,0.0,
Arcanobacterium sp.,37.0,0.0,72409
Legionella parisiensis,37.0,0.0,45071
Oceanobacillus halophilus,32.0,0.0,930130
Bacillus tianshenii,30.0,0.0,1463404
Escherichia coli O150: H21,30.0,0.0,
Erwinia mallotivora,25.5,0.0,69222
Pseudomonas rhodesiae,30.0,0.5833333333333334,76760
Methanosaeta harundinacea 6Ac,37.0,0.0,1110509
Isoptericola sp.,28.0,0.0,1884817
Streptoalloteichus tenebrarius,28.0,0.0,1933
Platydorina caudata,21.5,1.5,51709
Bradyrhizobium canariense,30.0,0.0,255045
Pseudomonas turukhanskensis,17.0,0.0,1806536
Anaerosporobacter mobilis,30.0,0.0,264463
Spiroplasma cantharicola,30.0,0.0,362837
Bacillus psychrosaccharolyticus,21.5,2.833333333333333,1407
Geobacillus thermodenitrificans subsp. calidus,60.0,0.0,504926
Curvularia indica,24.0,0.0,1937648
Campylobacter fetus subsp. testudinum,37.0,0.0,1507806
Crassaminicella profunda,30.0,0.0,1286698
Nocardioides deserti,28.0,0.0,1588644
Providencia rustigianii,32.166666666666664,1.0333333333333334,158850
Listeria sp.,30.0,0.0,1960103
Deinococcus piscis,28.0,0.0,394230
Gramella aestuarii,22.0,0.0,1028746
Spiroplasma syrphidicola,30.0,0.0,216945
Laminaria pallida,10.0,0.0,1674033
Longilinea arvoryzae,35.0,0.0,360412
Yersinia enterocolitica enterocolitica O:3,30.0,0.0,
Streptococcus pneumoniae 41A,37.0,0.0,
Actinomadura alkaliterrae,28.0,0.0,1735446
Desmarestia muelleri,10.0,0.0,62308
Litorimicrobium taeanense,25.0,0.0,657014
Nesterenkonia sp.,28.0,1.125,704201
Rhizorhabdus argentea,28.0,0.0,1387174
Singulisphaera rosea,28.0,0.0,643672
Acidicapsa ferrireducens,30.0,0.0,1335629
Pseudolabrys sp.,28.0,0.0,1960880
Kitasatospora putterlickiae,29.0,0.0,221725
Cohaesibacter marisflavi,24.0,0.0,655353
Pseudomonas gallaeciensis,30.0,0.0,857227
Actinomadura formosensis,31.66666666666667,0.0,60706
Gryllotalpicola daejeonensis,31.0,0.0,993087
Carboxydothermus hydrogenoformans,65.0,0.0,129958
Nocardiopsis metallicus,29.0,0.0,179819
Bellilinea caldifistulae,55.0,0.0,360411
Wojnowicia graminis,20.0,0.0,
Sphingobium scionense,28.0,0.0,1404341
Micrococcus flavus,30.5,1.5416666666666667,384602
Streptacidiphilus griseoplanus,28.0,0.0,
Glycomyces paridis,28.0,0.0,2126555
Bacillus trypoxylicola,30.0,0.0,519424
Microbulbifer marinus,28.0,0.0,658218
Treponema ruminis,37.0,0.0,744515
Alicyclobacillus dauci,40.0,0.0,1475485
Helicobacter muridarum,37.0,0.0,216
Herbidospora cretacea,28.0,0.0,28444
Mucilaginibacter amnicola,20.0,0.0,1815558
Nonomuraea roseola,28.66666666666667,0.22222222222222232,46179
Salmonella bongori,30.0,0.0,54736
Aquisalimonas asiatica,37.0,0.0,406100
Halomonas zhaodongensis,35.0,0.0,1176240
Fusarium sublunatum,25.0,0.0,86547
Rhodonia placenta,24.0,0.0,
Treponema agilis,37.0,0.0,
Actinomyces massiliensis,33.5,0.0,461393
Dyella japonica,29.5,0.5,231455
Oceanobacillus chungangensis,28.0,0.0,1229152
Sphingomonas silvisoli,22.0,0.0,1795387
Ornithinimicrobium flavum,28.0,0.0,1288636
Lysobacter aestuarii,28.0,0.0,1706195
Sulfitobacter pseudonitzschiae,30.0,0.0,1402135
Lentimicrobium saccharophilum,30.0,0.0,1678841
Defluviimonas pyrenivorans,25.0,0.0,
Enterococcus devriesei,37.0,0.0,319970
Prevotella melaninogenica,37.0,0.0,28132
Pseudaminobacter manganicus,28.0,0.0,1873176
Ascoidea rubescens,22.0,0.0,54195
Climacocystis borealis,22.0,0.0,239101
Mucilaginibacter polysacchareus,16.0,0.0,910545
Staphylococcus capitis ureolyticus,37.0,2.333333333,
Paenibacillus jamilae,30.0,0.0,114136
Schwartzia succinivorans,37.0,0.0,55507
Vibrio palustris,26.0,0.0,1918946
Stephanoascus ciferrii,25.0,0.0,
Lactobacillus oeni,33.5,0.0,303241
Cladobotryum virescens,25.0,0.0,
Cryptomonas curvata,20.0,0.0,233186
Nematoloma frowardii,25.0,0.0,
Zhizhongheella caldifontis,40.0,0.0,1452508
Streptomyces sp.,28.0,0.079387849937788,1931
Bacillus oryzisoli,30.0,0.0,1737571
Bacillus sphaericus  H15,0.0,0.0,
Brevibacillus panacihumi,31.75,1.75,497735
Desulfoplanes formicivorans,45.0,0.0,1592317
Asanoa endophytica,40.0,0.0,1623397
Neisseria elongata subsp. glycolytica,33.5,0.7,88719
Phycicoccus ginsengisoli,24.0,0.0,1462998
Corynebacterium afermentans subsp. lipophilum,37.0,0.5,144184
Proteus vulgaris,32.333333333333336,1.65128205128205,585
Strasseria geniculata,25.0,0.0,1395782
Saccharolobus shibatae,75.0,0.0,2286
Streptomyces hygroscopicus ascomyceticus,30.0,0.0,
Clostridium scatologenes,37.0,0.0,1548
Alcanivorax marinus,26.0,0.0,1177169
Leuconostoc suionicum,30.0,0.0,1511761
Streptomyces olivaceiscleroticus,28.0,0.0,68245
Catenuloplanes castaneus,28.0,0.0,679732
Streptomyces recifensis,28.0,0.0,67355
Actinospica durhamensis,28.0,0.0,1508375
Flavitalea gansuensis,26.0,0.0,708199
Halopelagius inordinatus,36.0,0.0,553467
Paraburkholderia ferrariae,29.0,0.0,386056
Salinispora pacifica,28.0,0.0,351187
Bacillus halodurans,30.0,0.2333333333333333,86665
Brumimicrobium aurantiacum,29.0,0.0,1737063
Coleofasciculus chtonoplastes,18.0,1.0,
Defluviitoga tunisiensis,55.0,0.0,1006576
Micromonospora eburnea,26.5,0.0,227316
Lactobacillus casei,34.666666666666664,1.9055555556666668,1582
Pseudomonas azotoformans,26.5,0.0,47878
Pusillimonas sp.,32.0,2.0,1979962
Endozoicomonas elysicola,28.0,0.0,305900
Streptobacillus felis,37.0,0.0,1384509
Venenivibrio stagnispumantis,70.0,0.0,407998
Mycoplasma neurolyticum,37.0,0.0,2120
Clostridium grantii,28.0,0.0,40575
Paracoccus versutus,27.5,0.0,34007
Snow mold basidiomycete,15.0,0.0,
Anaerofustis stercorihominis,37.0,0.0,214853
Arcanobacterium hippocoleae,37.0,0.0,149017
Corynebacterium pelargi,30.0,0.0,1471400
Mycobacterium abscessus,37.0,0.0,
Geobacillus pallidus thailandica,37.0,0.0,
Gracilaria chilensis,10.0,1.25,
Thermoanaerobacterium bryantii,60.0,0.0,208304
Exiguobacterium sibiricum,30.16666666666667,1.5,332410
Streptomyces sporoverrucosus,28.0,0.0,285567
Microbacterium mangrovi,28.0,0.0,1348253
Bizionia berychis,25.0,0.0,2036822
Sphaerisporangium melleum,28.0,0.0,321316
Sporosarcina thermotolerans,28.0,0.0,633404
Komagataeibacter oboediens,30.0,0.0,65958
Ceratocystis adiposa,25.0,0.0,72027
Actinobacillus suis,37.0,0.0,716
Streptomyces viridiviolaceus,28.0,0.0,68282
Cetobacterium somerae,37.0,0.0,188913
Enterococcus avium,37.0,0.0,33945
Vallitalea guaymasensis,30.0,0.0,1185412
Mesorhizobium loti,27.33333333333333,0.11428571433333334,381
Microbacterium aoyamense,28.0,0.0,344166
Flavobacterium hauense,18.0,0.0,1204512
Bifidobacterium aquikefiri,20.0,0.0,1653207
Nocardia inohanensis,30.83333333333333,2.5,209246
Thermosipho japonicus,70.0,0.0,90323
Tetrasphaera duodecadis,26.5,0.0,173053
Tremella encephala,22.0,0.0,
Bacteroides salanitronis,37.0,0.0,376805
Desulfobacterium indolicum,28.0,0.0,90733
Paucibacter toxinivorans,28.0,0.0,270368
Nocardioides lianchengensis,28.0,0.0,1045774
Sphaerisporangium flaviroseum,28.0,0.0,509199
Microvirga guangxiensis,29.0,0.0,549386
Desulfofundulus thermocisternus,60.0,0.0,42471
Desulfosporosinus lacus,28.0,0.0,329936
Trentepohlia arborum,20.0,0.0,173375
Frondihabitans cladoniiphilus,20.0,0.0,715785
Bifidobacterium callitrichos,37.0,0.0,762209
Niabella aurantiaca,26.5,0.0,379900
Enorma timonensis,37.0,0.0,1232436
