level1	level2	level3	function	ERR599063	ERR599115	ERR599105	ERR3589586	ERR599052	ERR598981	ERR599048	ERR3589593	ERR598964	ERR599020	ERR599125	ERR598963	ERR598989	ERR599076	ERR599176
Environmental Information Processing	Membrane transport	02010 ABC transporters [PATH:ko02010]	ABC-2.CPSE.P1; capsular polysaccharide transport system permease protein	28	37	31	0	52	40	165	12	46	52	11	78	28	0	3
Environmental Information Processing	Membrane transport	02010 ABC transporters [PATH:ko02010]	ABC-2.CPSE.P; capsular polysaccharide transport system permease protein	20	25	15	0	45	33	48	2	14	31	4	35	16	0	0
Environmental Information Processing	Membrane transport	02010 ABC transporters [PATH:ko02010]	"ABC-2.CYL.A, cylA; multidrug/hemolysin transport system ATP-binding protein"	0	0	0	0	2	4	1	0	2	1	0	0	1	0	0
Environmental Information Processing	Membrane transport	02010 ABC transporters [PATH:ko02010]	ABC-2.LPSE.A; lipopolysaccharide transport system ATP-binding protein	373	733	166	0	296	827	460	457	807	586	520	309	332	0	230
Environmental Information Processing	Membrane transport	02010 ABC transporters [PATH:ko02010]	ABC-2.LPSE.P; lipopolysaccharide transport system permease protein	89	204	25	0	44	244	89	126	203	157	167	38	96	0	81
Environmental Information Processing	Membrane transport	02010 ABC transporters [PATH:ko02010]	"ABC.ARG.S, argT; lysine/arginine/ornithine transport system substrate-binding protein"	1	10	3	0	3	5	8	6	6	5	6	5	1	0	0
Environmental Information Processing	Membrane transport	02010 ABC transporters [PATH:ko02010]	ABC.ATM; mitochondrial ABC transporter ATM	77	56	45	0	130	45	59	167	66	49	104	101	73	0	365
Environmental Information Processing	Membrane transport	02010 ABC transporters [PATH:ko02010]	"ABC.CEB.A, msiK; cellobiose transport system ATP-binding protein"	137	127	81	0	106	91	84	92	101	87	121	117	206	3	114
Environmental Information Processing	Membrane transport	02010 ABC transporters [PATH:ko02010]	"ABC.CEB.P, cebF; cellobiose transport system permease protein"	3	52	15	0	3	3	18	2	22	11	10	10	13	0	1
Environmental Information Processing	Membrane transport	02010 ABC transporters [PATH:ko02010]	"ABC.CEB.P1, cebG; cellobiose transport system permease protein"	0	18	0	0	2	2	9	6	17	2	10	1	1	0	0
Environmental Information Processing	Membrane transport	02010 ABC transporters [PATH:ko02010]	"ABC.CEB.S, cebE; cellobiose transport system substrate-binding protein"	0	15	0	0	0	0	7	0	14	1	7	0	0	0	7
Environmental Information Processing	Membrane transport	02010 ABC transporters [PATH:ko02010]	ABC.CYST.A; cystine transport system ATP-binding protein [EC:3.6.3.-]	7	70	4	0	14	17	15	31	40	31	38	24	7	0	11
Environmental Information Processing	Membrane transport	02010 ABC transporters [PATH:ko02010]	ABC.CYST.P; cystine transport system permease protein	11	13	3	0	6	8	5	11	9	4	8	4	3	0	2
Environmental Information Processing	Membrane transport	02010 ABC transporters [PATH:ko02010]	ABC.FEV.A; iron complex transport system ATP-binding protein [EC:3.6.3.34]	482	673	841	1	634	600	933	479	559	603	576	343	488	3	555
Environmental Information Processing	Membrane transport	02010 ABC transporters [PATH:ko02010]	ABC.FEV.P; iron complex transport system permease protein	1185	732	520	1	547	465	741	392	650	625	513	246	778	6	884
Environmental Information Processing	Membrane transport	02010 ABC transporters [PATH:ko02010]	ABC.FEV.S; iron complex transport system substrate-binding protein	487	650	339	0	384	275	594	756	854	430	778	423	438	2	815
Environmental Information Processing	Membrane transport	02010 ABC transporters [PATH:ko02010]	"ABC.GGU.A, gguA; putative multiple sugar transport system ATP-binding protein"	30	144	46	0	58	55	86	45	68	45	88	45	28	0	51
Environmental Information Processing	Membrane transport	02010 ABC transporters [PATH:ko02010]	"ABC.GGU.P, gguB; putative multiple sugar transport system permease protein"	2	54	12	0	5	4	20	11	26	11	13	6	1	0	15
Environmental Information Processing	Membrane transport	02010 ABC transporters [PATH:ko02010]	"ABC.GGU.S, chvE; putative multiple sugar transport system substrate-binding protein"	0	50	11	0	0	5	25	13	36	5	8	2	2	0	26
Environmental Information Processing	Membrane transport	02010 ABC transporters [PATH:ko02010]	ABC.GLC.A; glucose/arabinose transport system ATP-binding protein	23	4	2	0	14	11	2	3	7	9	3	11	20	0	2
Environmental Information Processing	Membrane transport	02010 ABC transporters [PATH:ko02010]	ABC.GLC.P1; glucose/arabinose transport system permease protein	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
Environmental Information Processing	Membrane transport	02010 ABC transporters [PATH:ko02010]	ABC.GLN1.A; putative glutamine transport system ATP-binding protein [EC:3.6.3.-]	312	262	104	0	229	254	146	255	171	203	204	197	268	0	367
Environmental Information Processing	Membrane transport	02010 ABC transporters [PATH:ko02010]	ABC.GLN1.P; putative glutamine transport system permease protein	58	61	40	0	73	42	27	123	34	52	63	40	48	1	220
Environmental Information Processing	Membrane transport	02010 ABC transporters [PATH:ko02010]	ABC.GLN1.S; putative glutamine transport system substrate-binding protein	16	18	6	0	31	4	4	19	11	2	13	9	12	0	43
Environmental Information Processing	Membrane transport	02010 ABC transporters [PATH:ko02010]	"ABC.LPT.A, lolD; lipoprotein-releasing system ATP-binding protein [EC:3.6.3.-]"	1524	2587	807	17	1544	2681	1670	2182	2700	2029	2116	1401	1376	36	2180
Environmental Information Processing	Membrane transport	02010 ABC transporters [PATH:ko02010]	"ABC.LPT.P, lolC, lolE; lipoprotein-releasing system permease protein"	1489	2269	946	22	1708	1811	1633	2503	2351	1819	1413	1326	1390	0	4334
Environmental Information Processing	Membrane transport	02010 ABC transporters [PATH:ko02010]	ABC.MAL1.A; maltooligosaccharide transport system ATP-binding protein	73	66	49	0	125	50	37	51	70	62	42	67	95	0	128
Environmental Information Processing	Membrane transport	02010 ABC transporters [PATH:ko02010]	ABC.MAL1.P1; maltooligosaccharide transport system permease protein	1	0	0	0	1	0	1	0	1	2	0	1	6	0	0
Environmental Information Processing	Membrane transport	02010 ABC transporters [PATH:ko02010]	ABC.MAL1.P; maltooligosaccharide transport system permease protein	1	1	2	0	0	1	7	2	3	3	1	1	0	0	0
Environmental Information Processing	Membrane transport	02010 ABC transporters [PATH:ko02010]	ABC.MAL1.S; maltooligosaccharide transport system substrate-binding protein	0	0	1	0	0	0	1	1	1	0	1	0	1	0	0
Environmental Information Processing	Membrane transport	02010 ABC transporters [PATH:ko02010]	"ABC.MET.A, metN; D-methionine transport system ATP-binding protein"	118	214	129	0	106	110	164	69	80	102	99	74	100	2	25
Environmental Information Processing	Membrane transport	02010 ABC transporters [PATH:ko02010]	"ABC.MET.P, metI; D-methionine transport system permease protein"	12	85	35	0	16	9	39	5	17	9	27	13	0	0	0
Environmental Information Processing	Membrane transport	02010 ABC transporters [PATH:ko02010]	"ABC.MET.S, metQ; D-methionine transport system substrate-binding protein"	3	180	18	0	6	11	46	8	20	14	39	6	0	0	0
Environmental Information Processing	Membrane transport	02010 ABC transporters [PATH:ko02010]	ABC.NGC.P1; N-acetylglucosamine transport system permease protein	0	0	1	0	2	1	0	0	0	3	2	0	0	0	0
Environmental Information Processing	Membrane transport	02010 ABC transporters [PATH:ko02010]	ABC.NGC.P; N-acetylglucosamine transport system permease protein	0	0	1	0	0	0	0	0	0	0	6	0	0	0	0
Environmental Information Processing	Membrane transport	02010 ABC transporters [PATH:ko02010]	ABC.NGC.S; N-acetylglucosamine transport system substrate-binding protein	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
Environmental Information Processing	Membrane Transport	02010 ABC transporters [PATH:ko02010]	ABC.PE.A; peptide/nickel transport system ATP-binding protein	3553	6943	2406	42	4664	6155	4127	5240	6957	5175	6110	3209	3470	18	2461
Environmental Information Processing	Membrane Transport	02010 ABC transporters [PATH:ko02010]	ABC.PE.P1; peptide/nickel transport system permease protein	4284	7011	3387	13	4254	6601	4854	5576	6988	5771	5879	4090	4054	8	2560
Environmental Information Processing	Membrane Transport	02010 ABC transporters [PATH:ko02010]	ABC.PE.P; peptide/nickel transport system permease protein	4965	5689	3319	4	4858	4835	4574	4205	5577	4647	4712	3463	4188	9	3168
Environmental Information Processing	Membrane Transport	02010 ABC transporters [PATH:ko02010]	ABC.PE.S; peptide/nickel transport system substrate-binding protein	4873	6086	2996	27	5183	5498	4177	4417	6145	5091	4983	3716	4462	84	3136
Environmental Information Processing	Membrane Transport	02010 ABC transporters [PATH:ko02010]	"ABC.SN.P, ssuC, tauC; sulfonate/nitrate/taurine transport system permease protein"	3771	5819	2681	153	4874	4933	4032	4034	5562	4341	2807	3965	3947	86	4674
Environmental Information Processing	Membrane Transport	02010 ABC transporters [PATH:ko02010]	"ABC.SN.S, ssuA, tauA; sulfonate/nitrate/taurine transport system substrate-binding protein"	3418	4231	2501	0	4361	4253	2841	3463	4241	3707	2372	3325	3553	0	5007
Environmental Information Processing	Membrane Transport	02010 ABC transporters [PATH:ko02010]	"ABC.SX.P, cysT; putative sulfate transport system permease protein"	14	5	9	0	13	11	15	10	10	10	9	20	14	0	7
Environmental Information Processing	Membrane Transport	02010 ABC transporters [PATH:ko02010]	ABC.SX.S; putative sulfate transport system substrate-binding protein	1	1	0	0	0	5	0	0	0	1	0	2	0	0	0
Environmental Information Processing	Membrane Transport	02010 ABC transporters [PATH:ko02010]	ABC.TG.A; putative tungstate transport system ATP-binding protein	0	2	0	0	0	7	0	0	0	1	2	0	0	0	0
Environmental Information Processing	Membrane transport	02010 ABC transporters [PATH:ko02010]	"ABC.VB12.A, btuD; vitamin B12 transport system ATP-binding protein [EC:3.6.3.33]"	1	0	1	0	0	0	0	0	0	2	0	0	0	0	0
Environmental Information Processing	Membrane transport	02010 ABC transporters [PATH:ko02010]	"ABC.VB12.P, btuC; vitamin B12 transport system permease protein"	13	3	2	0	2	4	4	2	0	2	1	2	3	0	2
Environmental Information Processing	Membrane transport	02010 ABC transporters [PATH:ko02010]	"ABC.VB12.S1, btuF; vitamin B12 transport system substrate-binding protein"	17	20	8	0	0	28	60	32	10	14	24	0	2	0	2
Environmental Information Processing	Membrane transport	02010 ABC transporters [PATH:ko02010]	"ABCA10; ATP-binding cassette, subfamily A (ABC1), member 10"	2	0	1	0	0	1	0	0	0	0	2	1	0	0	0
Environmental Information Processing	Membrane transport	02010 ABC transporters [PATH:ko02010]	"ABCA12; ATP-binding cassette, subfamily A (ABC1), member 12"	0	0	3	0	1	0	0	1	0	0	0	3	0	0	1
Environmental Information Processing	Membrane transport	02010 ABC transporters [PATH:ko02010]	"ABCA13; ATP binding cassette, subfamily A (ABC1), member 13"	1	0	0	0	0	0	0	2	0	0	1	5	1	0	1
Environmental Information Processing	Membrane transport	02010 ABC transporters [PATH:ko02010]	"ABCA1; ATP-binding cassette, subfamily A (ABC1), member 1"	3	2	6	0	4	0	5	3	1	1	4	44	2	0	6
Cellular Processes	Transport and catabolism	04142 Lysosome [PATH:ko04142]	"ABCA2; ATP-binding cassette, subfamily A (ABC1), member 2"	5	2	6	0	3	1	5	3	2	3	1	9	1	0	3
Environmental Information Processing	Membrane transport	02010 ABC transporters [PATH:ko02010]	"ABCA3; ATP-binding cassette, subfamily A (ABC1), member 3"	6	6	39	0	17	1	23	14	8	13	8	89	17	0	23
Environmental Information Processing	Membrane transport	02010 ABC transporters [PATH:ko02010]	"ABCA4; ATP-binding cassette, subfamily A (ABC1), member 4"	0	1	3	0	1	0	1	1	1	1	2	1	2	0	2
Environmental Information Processing	Membrane transport	02010 ABC transporters [PATH:ko02010]	"ABCA5; ATP-binding cassette, subfamily A (ABC1), member 5"	2	4	12	1	9	6	10	7	4	10	0	23	12	0	9
Environmental Information Processing	Membrane transport	02010 ABC transporters [PATH:ko02010]	"ABCA6; ATP-binding cassette, subfamily A (ABC1), member 6"	0	0	1	0	1	0	1	0	0	2	0	0	0	0	0
Environmental Information Processing	Membrane transport	02010 ABC transporters [PATH:ko02010]	"ABCA7; ATP-binding cassette, subfamily A (ABC1), member 7"	0	0	2	0	1	0	1	0	1	1	0	3	2	0	0
Environmental Information Processing	Membrane transport	02010 ABC transporters [PATH:ko02010]	"ABCA8; ATP-binding cassette, subfamily A (ABC1), member 8"	0	1	1	0	0	0	0	0	1	0	1	2	1	0	0
Environmental Information Processing	Membrane transport	02010 ABC transporters [PATH:ko02010]	"ABCA9; ATP-binding cassette, subfamily A (ABC1), member 9"	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0
Environmental Information Processing	Membrane transport	02010 ABC transporters [PATH:ko02010]	"ABCB10; ATP-binding cassette, subfamily B (MDR/TAP), member 10"	47	65	31	1	37	70	32	59	59	68	78	55	39	0	12
Environmental Information Processing	Membrane transport	02010 ABC transporters [PATH:ko02010]	"ABCB11; ATP-binding cassette, subfamily B (MDR/TAP), member 11"	2	7	2	0	6	3	6	1	5	6	3	6	4	0	2
Environmental Information Processing	Membrane transport	02010 ABC transporters [PATH:ko02010]	"ABCB1; ATP-binding cassette, subfamily B (MDR/TAP), member 1"	246	122	190	0	167	137	160	162	135	158	156	287	204	0	195
Cellular Processes	Transport and catabolism	04145 Phagosome [PATH:ko04145]	"ABCB2, TAP1; ATP-binding cassette, subfamily B (MDR/TAP), member 2"	5	4	0	0	3	1	2	3	1	2	3	6	6	0	1
Cellular Processes	Transport and catabolism	04145 Phagosome [PATH:ko04145]	"ABCB3, TAP2; ATP-binding cassette, subfamily B (MDR/TAP), member 3"	0	0	1	0	1	3	1	4	1	5	2	2	14	0	1
Environmental Information Processing	Membrane transport	02010 ABC transporters [PATH:ko02010]	"ABCB4; ATP-binding cassette, subfamily B (MDR/TAP), member 4"	2	7	4	0	5	8	3	7	8	7	9	14	10	0	1
Environmental Information Processing	Membrane transport	02010 ABC transporters [PATH:ko02010]	"ABCB5; ATP-binding cassette, subfamily B (MDR/TAP), member 5"	10	2	16	0	6	11	12	9	8	10	2	10	4	0	6
Environmental Information Processing	Membrane transport	02010 ABC transporters [PATH:ko02010]	"ABCB6; ATP-binding cassette, subfamily B (MDR/TAP), member 6"	25	37	25	0	32	31	26	55	49	30	76	40	25	0	62
Environmental Information Processing	Membrane transport	02010 ABC transporters [PATH:ko02010]	"ABCB7; ATP-binding cassette, subfamily B (MDR/TAP), member 7"	64	41	43	0	118	49	63	154	54	46	72	87	58	0	367
Environmental Information Processing	Membrane transport	02010 ABC transporters [PATH:ko02010]	"ABCB8; ATP-binding cassette, subfamily B (MDR/TAP), member 8"	92	52	75	0	62	61	52	71	62	74	70	56	87	0	41
Cellular Processes	Transport and catabolism	04142 Lysosome [PATH:ko04142]	"ABCB9, TAPL; ATP-binding cassette, subfamily B (MDR/TAP), member 9"	6	11	11	0	6	10	10	9	11	13	9	14	13	0	14
Environmental Information Processing	Signal transduction	02020 Two-component system [PATH:ko02020]	"ABCC-BAC.COMA, comA; ATP-binding cassette, subfamily C, bacterial, competence factor transporting protein [EC:3.4.22.-]"	0	0	0	0	1	0	0	0	1	0	2	1	0	0	2
Environmental Information Processing	Membrane transport	02010 ABC transporters [PATH:ko02010]	"ABCC-BAC; ATP-binding cassette, subfamily C, bacterial"	406	847	337	3	433	965	681	679	824	624	806	405	385	0	586
Environmental Information Processing	Membrane transport	02010 ABC transporters [PATH:ko02010]	"ABCC10; ATP-binding cassette, subfamily C (CFTR/MRP), member 10"	1	3	5	0	2	0	3	3	2	4	3	12	2	0	7
Environmental Information Processing	Membrane transport	02010 ABC transporters [PATH:ko02010]	"ABCC11; ATP-binding cassette, subfamily C (CFTR/MRP), member 11"	0	2	3	0	2	0	3	4	0	3	2	5	0	0	4
Environmental Information Processing	Membrane transport	02010 ABC transporters [PATH:ko02010]	"ABCC12; ATP-binding cassette, subfamily C (CFTR/MRP), member 12"	2	1	4	2	1	0	3	3	1	3	1	2	0	0	8
Environmental Information Processing	Membrane transport	02010 ABC transporters [PATH:ko02010]	"ABCC1; ATP-binding cassette, subfamily C (CFTR/MRP), member 1"	2	0	8	0	1	0	5	2	1	1	2	8	5	0	6
Environmental Information Processing	Membrane transport	02010 ABC transporters [PATH:ko02010]	"ABCC2; ATP-binding cassette, subfamily C (CFTR/MRP), member 2"	3	3	12	0	7	0	10	4	2	18	4	92	5	0	14
Environmental Information Processing	Membrane transport	02010 ABC transporters [PATH:ko02010]	"ABCC3; ATP-binding cassette, subfamily C (CFTR/MRP), member 3"	0	0	0	0	2	0	6	1	0	3	0	5	1	0	8
Environmental Information Processing	Membrane transport	02010 ABC transporters [PATH:ko02010]	"ABCC4; ATP-binding cassette, subfamily C (CFTR/MRP), member 4"	5	1	10	0	8	0	9	6	3	11	4	5	7	0	13
Environmental Information Processing	Membrane transport	02010 ABC transporters [PATH:ko02010]	"ABCC5; ATP-binding cassette, subfamily C (CFTR/MRP), member 5"	6	0	20	0	15	0	11	4	5	8	7	23	8	0	11
Environmental Information Processing	Membrane transport	02010 ABC transporters [PATH:ko02010]	"ABCC6; ATP-binding cassette, subfamily C (CFTR/MRP), member 6"	0	0	0	0	0	2	0	1	0	0	0	3	0	0	1
Environmental Information Processing	Membrane transport	02010 ABC transporters [PATH:ko02010]	"ABCC8, SUR1; ATP-binding cassette subfamily C (CFTR/MRP) member 8"	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0
Environmental Information Processing	Membrane transport	02010 ABC transporters [PATH:ko02010]	"ABCC9, SUR2; ATP-binding cassette subfamily C (CFTR/MRP) member 9"	1	0	1	0	4	0	2	1	0	2	1	4	2	0	4
Cellular Processes	Transport and catabolism	04146 Peroxisome [PATH:ko04146]	"ABCD1, ALD; ATP-binding cassette, subfamily D (ALD), member 1"	1	0	2	0	0	0	0	0	0	0	0	2	1	0	0
Cellular Processes	Transport and catabolism	04146 Peroxisome [PATH:ko04146]	"ABCD2, ALDL1; ATP-binding cassette, subfamily D (ALD), member 2"	4	4	11	2	2	1	5	2	3	3	5	4	1	0	2
Cellular Processes	Transport and catabolism	04146 Peroxisome [PATH:ko04146]	"ABCD3, PMP70; ATP-binding cassette, subfamily D (ALD), member 3"	6	0	23	0	8	0	8	4	0	7	4	41	1	0	9
Environmental Information Processing	Membrane transport	02010 ABC transporters [PATH:ko02010]	"ABCG1; ATP-binding cassette, subfamily G (WHITE), member 1"	0	0	0	0	0	0	4	0	0	2	0	0	0	0	0
Environmental Information Processing	Membrane transport	02010 ABC transporters [PATH:ko02010]	"ABCG2.PDR; ATP-binding cassette, subfamily G (WHITE), member 2, PDR"	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0
Environmental Information Processing	Membrane transport	02010 ABC transporters [PATH:ko02010]	"ABCG2.SNQ2; ATP-binding cassette, subfamily G (WHITE), member 2, SNQ2"	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Environmental Information Processing	Membrane transport	02010 ABC transporters [PATH:ko02010]	"ABCG2; ATP-binding cassette, subfamily G (WHITE), member 2"	5	0	11	0	2	0	3	2	7	3	3	53	3	0	4
Environmental Information Processing	Membrane transport	02010 ABC transporters [PATH:ko02010]	"ABCG4; ATP-binding cassette, subfamily G (WHITE), member 4"	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0
Environmental Information Processing	Membrane transport	02010 ABC transporters [PATH:ko02010]	"ABCG5; ATP-binding cassette, subfamily G (WHITE), member 5 (sterolin 1)"	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0
Cellular Processes	Cell growth and death	04110 Cell cycle [PATH:ko04110]	ABL1; abelson tyrosine-protein kinase 1 [EC:2.7.10.2]	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Environmental Information Processing	Signal transduction	04012 ErbB signaling pathway [PATH:ko04012]	ABL2; abelson tyrosine-protein kinase 2 [EC:2.7.10.2]	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Metabolism	Glycan biosynthesis and metabolism	00601 Glycosphingolipid biosynthesis - lacto and neolacto series [PATH:ko00601]	ABO; histo-blood group ABO system transferase [EC:2.4.1.40 2.4.1.37]	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0
Metabolism	Amino acid metabolism	00330 Arginine and proline metabolism [PATH:ko00330]	"ABP1, AOC1; diamine oxidase [EC:1.4.3.22]"	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
Cellular Processes	Transport and catabolism	04146 Peroxisome [PATH:ko04146]	ACAA1; acetyl-CoA acyltransferase 1 [EC:2.3.1.16]	7	14	23	0	13	6	9	21	11	12	10	69	16	0	9
Metabolism	Amino acid metabolism	"00280 Valine, leucine and isoleucine degradation [PATH:ko00280]"	ACAA2; acetyl-CoA acyltransferase 2 [EC:2.3.1.16]	24	32	15	0	27	45	29	33	38	34	36	45	37	0	10
Metabolism	Carbohydrate metabolism	00620 Pyruvate metabolism [PATH:ko00620]	ACAC; acetyl-CoA carboxylase / biotin carboxylase [EC:6.4.1.2 6.3.4.14]	43	7	142	0	114	4	60	66	17	88	21	488	124	0	165
Metabolism	Amino acid metabolism	"00280 Valine, leucine and isoleucine degradation [PATH:ko00280]"	ACAD8; isobutyryl-CoA dehydrogenase [EC:1.3.99.-]	80	23	66	0	58	17	27	34	20	26	15	61	54	0	9
Metabolism	Lipid metabolism	00071 Fatty acid metabolism [PATH:ko00071]	ACADL; long-chain-acyl-CoA dehydrogenase [EC:1.3.8.8]	249	128	70	1	199	124	141	190	202	160	133	168	222	8	111
Metabolism	Amino acid metabolism	"00280 Valine, leucine and isoleucine degradation [PATH:ko00280]"	"ACADM, acd; acyl-CoA dehydrogenase [EC:1.3.8.7]"	10117	7754	5492	31	10327	8672	7108	7873	8185	7881	6398	8835	10012	33	10558
Metabolism	Amino acid metabolism	"00280 Valine, leucine and isoleucine degradation [PATH:ko00280]"	"ACADS, bcd; butyryl-CoA dehydrogenase [EC:1.3.8.1]"	1026	1585	656	57	805	2039	1490	1416	1251	1356	1384	1009	947	6	1539
Metabolism	Amino acid metabolism	"00280 Valine, leucine and isoleucine degradation [PATH:ko00280]"	ACADSB; short/branched chain acyl-CoA dehydrogenase [EC:1.3.99.12]	5	27	16	0	9	16	25	33	20	17	41	17	21	0	22
Metabolism	Lipid metabolism	00071 Fatty acid metabolism [PATH:ko00071]	ACADVL; very long chain acyl-CoA dehydrogenase [EC:1.3.8.9]	16	14	6	0	9	15	9	9	17	12	10	11	14	0	3
Cellular Processes	Transport and catabolism	04144 Endocytosis [PATH:ko04144]	"ACAP; Arf-GAP with coiled-coil, ANK repeat and PH domain-containing protein"	1	0	1	0	4	0	2	2	0	0	0	8	4	0	3
Metabolism	Glycan biosynthesis and metabolism	00604 Glycosphingolipid biosynthesis - ganglio series [PATH:ko00604]	"ACATN, SLC33A1; MFS transporter, PAT family, solute carrier family 33 (acetyl-CoA transportor), member 1 [EC:2.3.1.-]"	2	0	19	0	10	0	6	8	3	2	0	28	6	0	10
Organismal Systems	Sensory system	04742 Taste transduction [PATH:ko04742]	"ACCN1, BNAC1; amiloride-sensitive cation channel 1, neuronal (degenerin)"	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Human Diseases	Endocrine and metabolic diseases	04930 Type II diabetes mellitus [PATH:ko04930]	ACDC; adiponectin	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Organismal Systems	Digestive system	04974 Protein digestion and absorption [PATH:ko04974]	"ACEH, ACE2; angiotensin-converting enzyme 2 [EC:3.4.17.23]"	5	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Metabolism	Lipid metabolism	00600 Sphingolipid metabolism [PATH:ko00600]	"ACER, ASAH3; alkaline ceramidase [EC:3.5.1.23]"	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
Metabolism	Lipid metabolism	00564 Glycerophospholipid metabolism [PATH:ko00564]	ACHE; acetylcholinesterase [EC:3.1.1.7]	8	4	8	0	5	7	4	4	3	7	3	2	7	0	4
Genetic Information Processing	Transcription	03040 Spliceosome [PATH:ko03040]	"ACIN1, ACINUS; apoptotic chromatin condensation inducer in the nucleus"	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1
Metabolism	Carbohydrate metabolism	00020 Citrate cycle (TCA cycle) [PATH:ko00020]	ACLY; ATP citrate (pro-S)-lyase [EC:2.3.3.8]	11	39	56	0	44	96	46	36	59	61	11	63	42	2	10
Metabolism	Amino acid metabolism	00300 Lysine biosynthesis [PATH:ko00300]	"ACO, acnA; aconitate hydratase 1 / homoaconitase [EC:4.2.1.3 4.2.1.-]"	11988	15637	7698	56	12283	14727	11956	12819	16350	14371	10803	14130	13726	138	11261
Cellular Processes	Transport and catabolism	04146 Peroxisome [PATH:ko04146]	"ACOT8, PTE; acyl-CoA thioesterase 8 [EC:3.1.2.27]"	21	0	3	0	5	0	3	0	0	4	0	1	11	0	10
